ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1979,1979-09-02,1,22.029,PHI,,NYG,W 23-17,,,,,,,,,,
2,1979,1979-09-10,2,22.037,PHI,,ATL,L 10-14,1,12,12.00,0,0,0,,0,0,0
3,1979,1979-09-16,3,22.043,PHI,@,NOR,W 26-14,1,14,14.00,0,0,0,,0,0,0
4,1979,1979-09-23,4,22.050,PHI,@,NYG,W 17-13,,,,,,,,,,
5,1979,1979-09-30,5,22.057,PHI,,PIT,W 17-14,2,32,16.00,0,0,0,,0,0,0
6,1979,1979-10-07,6,22.064,PHI,,WAS,W 28-17,,,,,,,,,,
7,1979,1979-10-14,7,22.071,PHI,@,STL,W 24-20,,,,,,,,,,
8,1979,1979-10-21,8,22.078,PHI,@,WAS,L 7-17,,,,,,,,,,
9,1979,1979-10-28,9,22.085,PHI,@,CIN,L 13-37,,,,,,,,,,
10,1979,1979-11-04,10,22.092,PHI,,CLE,L 19-24,,,,,,,,,,
11,1979,1979-11-12,11,22.100,PHI,@,DAL,W 31-21,,,,,,,,,,
12,1979,1979-11-25,13,22.113,PHI,@,GNB,W 21-10,,,,,,,,,,
13,1979,1979-12-02,14,22.120,PHI,,DET,W 44-7,,,,,,,,,,
14,1979,1979-12-08,15,22.126,PHI,,DAL,L 17-24,2,24,12.00,0,0,0,,0,0,0
15,1979,1979-12-16,16,22.134,PHI,@,HOU,W 26-20,2,23,11.50,1,0,0,,0,1,6
16,1980,1980-09-07,1,23.034,PHI,,DEN,W 27-6,1,16,16.00,1,0,0,,0,1,6
17,1980,1980-09-14,2,23.041,PHI,@,MIN,W 42-7,1,45,45.00,1,0,0,,0,1,6
18,1980,1980-09-22,3,23.049,PHI,,NYG,W 35-3,0,0,,0,1,15,15.00,0,0,0
19,1980,1980-09-28,4,23.055,PHI,@,STL,L 14-24,,,,,,,,,,
20,1980,1980-12-07,14,23.125,PHI,,ATL,L 17-20,,,,,,,,,,
21,1980,1980-12-14,15,23.132,PHI,,STL,W 17-3,1,12,12.00,0,0,0,,0,0,0
22,1980,1980-12-21,16,23.139,PHI,@,DAL,L 27-35,3,96,32.00,0,0,0,,0,0,0
23,1981,1981-11-22,12,24.110,SDG,@,OAK,W 55-21,,,,,,,,,,
24,1981,1981-11-29,13,24.117,SDG,,DEN,W 34-17,,,,,,,,,,
25,1981,1981-12-06,14,24.124,SDG,,BUF,L 27-28,,,,,,,,,,
26,1981,1981-12-13,15,24.131,SDG,@,TAM,W 24-23,,,,,,,,,,
27,1981,1981-12-21,16,24.139,SDG,,OAK,W 23-10,,,,,,,,,,
28,1982,1982-09-12,1,25.039,SDG,@,DEN,W 23-3,1,18,18.00,1,0,0,,0,1,6
29,1982,1982-09-19,2,25.046,SDG,@,KAN,L 12-19,0,0,,0,,,,,,
30,1982,1982-11-22,3,25.110,SDG,@,RAI,L 24-28,0,0,,0,,,,,,
31,1982,1982-11-28,4,25.116,SDG,,DEN,W 30-20,0,0,,0,,,,,,
32,1982,1982-12-05,5,25.123,SDG,@,CLE,W 30-13,0,0,,0,,,,,,
33,1982,1982-12-11,6,25.129,SDG,@,SFO,W 41-37,0,0,,0,,,,,,
34,1982,1982-12-20,7,25.138,SDG,,CIN,W 50-34,2,29,14.50,0,0,0,,0,0,0
35,1982,1982-12-26,8,25.144,SDG,,BAL,W 44-26,0,0,,0,,,,,,
36,1982,1983-01-02,9,25.151,SDG,,RAI,L 34-41,0,0,,0,,,,,,
