ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1996,1996-12-09,14,26.326,OAK,,KAN,W 26-7,,1,0,0.00,0,0,0,,0,0,0,,,,,,5,209,41.80,0
2,1996,1996-12-15,15,26.332,OAK,@,DEN,L 19-24,,0,0,,0,0,0,,0,0,0,,,,,,4,177,44.25,0
3,1996,1996-12-22,16,26.339,OAK,,SEA,L 21-28,,0,0,,0,0,0,,0,0,0,,,,,,4,148,37.00,0
4,1997,1997-08-31,1,27.225,OAK,@,TEN,L 21-24,,0,0,,0,0,0,,0,0,0,,,,,,6,249,41.50,0
5,1997,1997-09-08,2,27.233,OAK,,KAN,L 27-28,,0,0,,0,0,0,,0,0,0,,,,,,7,315,45.00,0
6,1997,1997-09-14,3,27.239,OAK,@,ATL,W 36-31,,0,0,,0,0,0,,0,0,0,,,,,,7,318,45.43,0
7,1997,1997-09-21,4,27.246,OAK,@,NYJ,L 22-23,,0,0,,0,0,0,,0,0,0,,,,,,4,184,46.00,0
8,1997,1997-09-28,5,27.253,OAK,,STL,W 35-17,,0,0,,0,0,0,,0,0,0,,,,,,7,327,46.71,0
9,1997,1997-10-05,6,27.260,OAK,,SDG,L 10-25,,1,0,0.00,0,0,0,,0,0,0,,,,,,7,327,46.71,0
10,1997,1997-10-19,7,27.274,OAK,,DEN,W 28-25,,0,0,,0,0,0,,0,0,0,,,,,,5,232,46.40,0
11,1997,1997-10-26,8,27.281,OAK,@,SEA,L 34-45,,0,0,,0,0,0,,0,0,0,,,,,,6,246,41.00,0
12,1997,1997-11-02,9,27.288,OAK,@,CAR,L 14-38,,0,0,,0,0,0,,0,0,0,,,,,,5,213,42.60,0
13,1997,1997-11-09,10,27.295,OAK,,NOR,L 10-13,,0,0,,0,0,0,,0,0,0,,,,,,8,356,44.50,0
14,1997,1997-11-16,11,27.302,OAK,@,SDG,W 38-13,,0,0,,0,0,0,,0,0,0,,,,,,4,183,45.75,0
15,1997,1997-11-24,12,27.310,OAK,@,DEN,L 3-31,,0,0,,0,0,0,,0,0,0,,,,,,8,350,43.75,0
16,1997,1997-11-30,13,27.316,OAK,,MIA,L 16-34,,0,0,,0,0,0,,0,0,0,,,,,,5,233,46.60,0
17,1997,1997-12-07,14,27.323,OAK,@,KAN,L 0-30,,0,0,,0,0,0,,0,0,0,,,,,,5,238,47.60,0
18,1997,1997-12-14,15,27.330,OAK,,SEA,L 21-22,,0,0,,0,0,0,,0,0,0,,,,,,3,166,55.33,0
19,1997,1997-12-21,16,27.337,OAK,,JAX,L 9-20,,0,0,,0,0,0,,0,0,0,,,,,,6,252,42.00,0
20,1998,1998-09-06,1,28.231,OAK,@,KAN,L 8-28,,0,0,,0,0,0,,0,0,0,,,0,,,4,189,47.25,0
21,1998,1998-09-13,2,28.238,OAK,,NYG,W 20-17,,0,0,,0,0,0,,0,0,0,,,0,,,8,338,42.25,0
22,1998,1998-09-20,3,28.245,OAK,,DEN,L 17-34,,0,0,,0,0,0,,0,0,0,,,0,,,5,202,40.40,0
23,1998,1998-09-27,4,28.252,OAK,@,DAL,W 13-12,,1,-12,-12.00,0,0,0,,0,0,0,,,0,,,5,232,46.40,0
