ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2004,2004-11-07,8,23.299,TAM,,KAN,W 34-31,,,,,,0,,,,,0.0%,,,,,,
2,2004,2004-11-14,9,23.306,TAM,@,ATL,L 14-24,,,,,,0,,,,,0.0%,,,,,,
3,2004,2004-11-21,10,23.313,TAM,,SFO,W 35-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,1.0
4,2004,2004-11-28,11,23.320,TAM,@,CAR,L 14-21,,,,,,,,,,,0.0%,,,,,,
5,2004,2004-12-05,12,23.327,TAM,,ATL,W 27-0,,,,,,,,,,,0.0%,,,,,,
6,2004,2004-12-12,13,23.334,TAM,@,SDG,L 24-31,,,,,,,,,,,0.0%,,,,,,
7,2005,2005-10-02,4,24.262,TAM,,DET,W 17-13,,,,,,,,,,,0.0%,,,,,,
8,2005,2005-10-09,5,24.269,TAM,@,NYJ,L 12-14,,,,,,,,,,,0.0%,,,,,,
9,2005,2005-10-16,6,24.276,TAM,,MIA,W 27-13,,,,,,,,,,,0.0%,,,,,,
10,2005,2005-10-30,7,24.290,TAM,@,SFO,L 10-15,,,,,,,,,,,0.0%,,,,,,
11,2005,2005-11-06,8,24.297,TAM,,CAR,L 14-34,,,,,,,,,,,0.0%,,,,,,
12,2005,2005-11-13,9,24.304,TAM,,WAS,W 36-35,,,,,,,,,,,0.0%,,,,,,
13,2005,2005-11-20,10,24.311,TAM,@,ATL,W 30-27,,,,,,,,,,,0.0%,,,,,,
14,2005,2005-11-27,11,24.318,TAM,,CHI,L 10-13,,,,,,,,,,,0.0%,,,,,,
15,2005,2005-12-04,12,24.325,TAM,@,NOR,W 10-3,,,,,,,,,,,0.0%,,,,,,
16,2005,2005-12-11,13,24.332,TAM,@,CAR,W 20-10,,,,,,,,,,,0.0%,,,,,,
17,2005,2005-12-17,14,24.338,TAM,@,NWE,L 0-28,,0,0,,0,0,0,0,,0,0.0%,,1,2,2.00,0,0.0
18,2005,2005-12-24,15,24.345,TAM,,ATL,W 27-24,,,,,,,,,,,0.0%,,,,,,
19,2005,2006-01-01,16,24.353,TAM,,NOR,W 27-13,,,,,,,,,,,0.0%,,,,,,
20,2006,2006-10-22,6,25.282,TAM,,PHI,W 23-21,,,,,,0,,,,,0.0%,,,,,,
21,2006,2006-10-29,7,25.289,TAM,@,NYG,L 3-17,,,,,,0,,,,,0.0%,,,,,,
22,2006,2006-11-05,8,25.296,TAM,,NOR,L 14-31,,,,,,,,,,,0.0%,,,,,,
23,2006,2006-11-13,9,25.304,TAM,@,CAR,L 10-24,*,,,,,,,,,,0.0%,,,,,,
24,2006,2006-11-19,10,25.310,TAM,,WAS,W 20-17,*,,,,,0,,,,,0.0%,,,,,,
25,2006,2006-11-23,11,25.314,TAM,@,DAL,L 10-38,*,,,,,0,,,,,0.0%,,,,,,
26,2006,2006-12-31,16,25.352,TAM,,SEA,L 7-23,,,,,,0,,,,,0.0%,,,,,,
27,2007,2007-09-09,1,26.239,DET,@,OAK,W 36-21,,,,,,,,,,,0.0%,,,,,,
28,2007,2007-09-16,2,26.246,DET,,MIN,W 20-17,,,,,,,,,,,0.0%,,,,,,
29,2007,2007-09-23,3,26.253,DET,@,PHI,L 21-56,,,,,,,,,,,0.0%,,,,,,
30,2007,2007-09-30,4,26.260,DET,,CHI,W 37-27,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0
31,2007,2007-10-07,5,26.267,DET,@,WAS,L 3-34,,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0
32,2007,2007-10-21,6,26.281,DET,,TAM,W 23-16,*,,,,,,,,,,0.0%,,,,,,
33,2007,2007-10-28,7,26.288,DET,@,CHI,W 16-7,*,2,3,1.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0
34,2007,2007-11-04,8,26.295,DET,,DEN,W 44-7,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0
35,2007,2007-11-11,9,26.302,DET,@,ARI,L 21-31,*,0,0,,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0.0
36,2007,2007-11-18,10,26.309,DET,,NYG,L 10-16,,0,0,,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0.0
37,2007,2007-11-22,11,26.313,DET,,GNB,L 26-37,*,,,,,,,,,,0.0%,,,,,,
38,2007,2007-12-09,13,26.330,DET,,DAL,L 27-28,*,,,,,,,,,,0.0%,,,,,,
39,2007,2007-12-16,14,26.337,DET,@,SDG,L 14-51,*,,,,,1,,,,,0.0%,,,,,,
40,2007,2007-12-23,15,26.344,DET,,KAN,W 25-20,,,,,,,,,,,0.0%,,,,,,
41,2007,2007-12-30,16,26.351,DET,@,GNB,L 13-34,,,,,,,,,,,0.0%,,,,,,
