ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1990,1990-09-10,1,22.227,SFO,@,NOR,W 13-12,,0,0,,0,,,,,,
2,1990,1990-09-16,2,22.233,SFO,,WAS,W 26-13,,0,0,,0,,,,,,
3,1990,1990-09-23,3,22.240,SFO,,ATL,W 19-13,,0,0,,0,,,,,,
4,1990,1990-10-07,4,22.254,SFO,@,HOU,W 24-21,,0,0,,0,,,,,,
5,1990,1990-10-14,5,22.261,SFO,@,ATL,W 45-35,,0,0,,0,,,,,,
6,1990,1990-10-21,6,22.268,SFO,,PIT,W 27-7,,0,0,,0,,,,,,
7,1990,1990-10-28,7,22.275,SFO,,CLE,W 20-17,,0,0,,0,,,,,,
8,1990,1990-11-04,8,22.282,SFO,@,GNB,W 24-20,,0,0,,0,,,,,,
9,1990,1990-11-11,9,22.289,SFO,@,DAL,W 24-6,,0,0,,0,,,,,,
10,1990,1990-11-18,10,22.296,SFO,,TAM,W 31-7,,0,0,,0,,,,,,
11,1990,1990-11-25,11,22.303,SFO,,RAM,L 17-28,,0,0,,0,,,,,,
12,1990,1990-12-03,12,22.311,SFO,,NYG,W 7-3,,0,0,,0,,,,,,
13,1990,1990-12-09,13,22.317,SFO,@,CIN,W 20-17,,0,0,,0,0,0,0.0,1,13,0
14,1990,1990-12-17,14,22.325,SFO,@,RAM,W 26-10,,0,0,,0,,,,,,
15,1990,1990-12-23,15,22.331,SFO,,NOR,L 10-13,,4,32,8.00,0,0,0,0.0,0,0,0
16,1990,1990-12-30,16,22.338,SFO,@,MIN,W 20-17,,1,6,6.00,0,0,0,0.0,0,0,0
17,1991,1991-09-02,1,23.219,SFO,@,NYG,L 14-16,,,,,,,,,,,
18,1991,1991-09-08,2,23.225,SFO,,SDG,W 34-14,,,,,,,,,,,
19,1992,1992-09-06,1,24.224,SFO,@,NYG,W 31-14,,,,,,,,,,,
20,1992,1992-09-13,2,24.231,SFO,,BUF,L 31-34,,,,,,,,,,,
21,1992,1992-09-20,3,24.238,SFO,@,NYJ,W 31-14,,,,,,,,,,,
22,1992,1992-09-27,4,24.245,SFO,@,NOR,W 16-10,,0,0,,0,0,0,0.0,1,0,0
23,1992,1992-10-04,5,24.252,SFO,,RAM,W 27-24,,,,,,,,,,,
24,1992,1992-10-11,6,24.259,SFO,@,NWE,W 24-12,,,,,,,,,,,
25,1992,1992-10-18,7,24.266,SFO,,ATL,W 56-17,,0,0,,0,0,0,0.0,1,37,0
26,1992,1992-11-01,8,24.280,SFO,@,PHO,L 14-24,,,,,,,,,,,
27,1992,1992-11-09,9,24.288,SFO,@,ATL,W 41-3,,0,0,,0,0,0,0.0,1,15,0
28,1992,1992-11-15,10,24.294,SFO,,NOR,W 21-20,,,,,,,,,,,
29,1992,1992-11-22,11,24.301,SFO,@,RAM,W 27-10,,,,,,,,,,,
30,1992,1992-11-29,12,24.308,SFO,,PHI,W 20-14,,,,,,,,,,,
31,1992,1992-12-06,13,24.315,SFO,,MIA,W 27-3,,,,,,,,,,,
32,1992,1992-12-13,14,24.322,SFO,@,MIN,W 20-17,,,,,,,,,,,
33,1992,1992-12-19,15,24.328,SFO,,TAM,W 21-14,,,,,,,,,,,
34,1992,1992-12-28,16,24.337,SFO,,DET,W 24-6,,,,,,,,,,,
35,1993,1993-09-05,1,25.222,SFO,@,PIT,W 24-13,,,,,,,,,,,
