ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,22.332,DET,,ARI,W 42-24,*,0,,,,,0.0%,,,,,,,,,,,
2,2003,2003-09-14,2,22.339,DET,@,GNB,L 6-31,,6,2,18,9.00,0,33.3%,3.00,0,0,,0,,0,0,0.0,,
3,2003,2003-09-21,3,22.346,DET,,MIN,L 13-23,,,,,,,0.0%,,,,,,,,,,,
4,2003,2003-09-28,4,22.353,DET,@,DEN,L 16-20,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,,0,0,0.0,,
5,2003,2003-10-05,5,22.360,DET,@,SFO,L 17-24,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,,
6,2003,2003-10-19,6,23.009,DET,,DAL,L 7-38,*,3,,,,,0.0%,,,,,,,,,,,
7,2003,2003-10-26,7,23.016,DET,@,CHI,L 16-24,*,2,1,1,1.00,0,50.0%,0.50,0,0,,0,,0,0,0.0,,
8,2003,2003-11-02,8,23.023,DET,,OAK,W 23-13,*,0,,,,,0.0%,,,,,,,,,,,
9,2003,2003-11-09,9,23.030,DET,,CHI,W 12-10,*,8,5,33,6.60,0,62.5%,4.13,0,0,,0,,0,0,0.0,,
10,2003,2003-11-16,10,23.037,DET,@,SEA,L 14-35,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,
11,2003,2003-11-23,11,23.044,DET,@,MIN,L 14-24,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,,0,0,0.0,,
12,2003,2003-11-27,12,23.048,DET,,GNB,W 22-14,,3,3,13,4.33,0,100.0%,4.33,0,0,,0,,0,0,0.0,,
13,2003,2003-12-07,13,23.058,DET,,SDG,L 7-14,*,5,3,9,3.00,1,60.0%,1.80,0,0,,0,,1,6,0.0,,
14,2003,2003-12-14,14,23.065,DET,@,KAN,L 17-45,*,,,,,,0.0%,,,,,,,,,,,
15,2003,2003-12-21,15,23.072,DET,@,CAR,L 14-20,*,,,,,,0.0%,,,,,,,,,,,
16,2003,2003-12-28,16,23.079,DET,,STL,W 30-20,*,5,4,36,9.00,1,80.0%,7.20,0,0,,0,,1,6,0.0,,
17,2004,2004-09-12,1,23.338,DET,@,CHI,W 20-16,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,,
18,2004,2004-09-19,2,23.345,DET,,HOU,W 28-16,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0,0.0,,
19,2004,2004-09-26,3,23.352,DET,,PHI,L 13-30,,0,,,,,0.0%,,,,,,,,,,,
20,2004,2004-10-10,4,24.000,DET,@,ATL,W 17-10,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,
21,2004,2004-10-17,5,24.007,DET,,GNB,L 10-38,,,,,,,0.0%,,,,,,,,,,,
22,2004,2004-10-24,6,24.014,DET,@,NYG,W 28-13,,0,,,,,0.0%,,,,,,,,,,,
23,2004,2004-10-31,7,24.021,DET,@,DAL,L 21-31,*,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,,
24,2004,2004-11-07,8,24.028,DET,,WAS,L 10-17,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,,0,0,0.0,,
25,2004,2004-11-14,9,24.035,DET,@,JAX,L 17-23,,1,,,,,0.0%,,,,,,,,,,,
26,2004,2004-11-21,10,24.042,DET,@,MIN,L 19-22,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,,0,0,0.0,,
27,2004,2004-11-25,11,24.046,DET,,IND,L 9-41,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,
28,2004,2004-12-05,12,24.056,DET,,ARI,W 26-12,,1,,,,,0.0%,,,,,,,,,,,
29,2004,2004-12-12,13,24.063,DET,@,GNB,L 13-16,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,,0,0,0.0,,
30,2004,2004-12-19,14,24.070,DET,,MIN,L 27-28,,1,,,,,0.0%,,,,,,,,,,,
31,2004,2004-12-26,15,24.077,DET,,CHI,W 19-13,,2,1,27,27.00,0,50.0%,13.50,0,0,,0,,0,0,0.0,,
32,2004,2005-01-02,16,24.084,DET,@,TEN,L 19-24,,1,1,5,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,,
33,2005,2005-09-11,1,24.336,DET,,GNB,W 17-3,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
34,2005,2005-09-18,2,24.343,DET,@,CHI,L 6-38,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,,0,0,0.0,,
35,2005,2005-10-02,3,24.357,DET,@,TAM,L 13-17,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,,
36,2005,2005-10-09,4,24.364,DET,,BAL,W 35-17,,1,1,2,2.00,1,100.0%,2.00,0,0,,0,,1,6,0.0,,
37,2005,2005-10-16,5,25.006,DET,,CAR,L 20-21,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,,0,0,0.0,,
38,2005,2005-10-23,6,25.013,DET,@,CLE,W 13-10,*,2,2,10,5.00,0,100.0%,5.00,0,0,,0,,0,0,0.0,,
39,2005,2005-10-30,7,25.020,DET,,CHI,L 13-19,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
40,2005,2005-11-06,8,25.027,DET,@,MIN,L 14-27,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
41,2005,2005-11-13,9,25.034,DET,,ARI,W 29-21,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
42,2005,2005-11-20,10,25.041,DET,@,DAL,L 7-20,*,1,1,0,0.00,0,100.0%,0.00,0,0,,0,,0,0,0.0,,
43,2005,2005-11-24,11,25.045,DET,,ATL,L 7-27,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
44,2005,2005-12-04,12,25.055,DET,,MIN,L 16-21,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,,0,0,0.0,,
45,2005,2005-12-24,15,25.075,DET,@,NOR,W 13-12,,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,
46,2005,2006-01-01,16,25.083,DET,@,PIT,L 21-35,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
47,2006,2006-09-24,3,25.349,DET,,GNB,L 24-31,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
48,2006,2006-10-01,4,25.356,DET,@,STL,L 34-41,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
49,2006,2006-10-22,7,26.012,DET,@,NYJ,L 24-31,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
50,2006,2006-11-05,8,26.026,DET,,ATL,W 30-14,,3,2,35,17.50,0,66.7%,11.67,0,0,,0,,0,0,0.0,,
51,2006,2006-11-12,9,26.033,DET,,SFO,L 13-19,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
52,2006,2006-11-19,10,26.040,DET,@,ARI,L 10-17,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
53,2006,2006-11-23,11,26.044,DET,,MIA,L 10-27,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
54,2006,2006-12-03,12,26.054,DET,@,NWE,L 21-28,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
55,2006,2006-12-10,13,26.061,DET,,MIN,L 20-30,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
56,2006,2006-12-17,14,26.068,DET,@,GNB,L 9-17,*,5,4,29,7.25,0,80.0%,5.80,0,0,,0,,0,0,0.0,,
57,2006,2006-12-24,15,26.075,DET,,CHI,L 21-26,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,,0,0,0.0,,
58,2007,2007-09-09,1,26.334,DET,@,OAK,W 36-21,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
59,2007,2007-09-16,2,26.341,DET,,MIN,W 20-17,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,,
60,2007,2007-09-23,3,26.348,DET,@,PHI,L 21-56,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
61,2007,2007-09-30,4,26.355,DET,,CHI,W 37-27,,0,0,0,,0,0.0%,,1,41,41.00,1,,1,6,0.0,,
62,2007,2007-10-07,5,26.362,DET,@,WAS,L 3-34,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,,
63,2007,2007-10-21,6,27.011,DET,,TAM,W 23-16,,2,1,12,12.00,0,50.0%,6.00,0,0,,0,,0,0,0.0,,
64,2007,2007-10-28,7,27.018,DET,@,CHI,W 16-7,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0,0.0,,
65,2007,2007-11-04,8,27.025,DET,,DEN,W 44-7,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
66,2007,2007-11-11,9,27.032,DET,@,ARI,L 21-31,,2,2,27,13.50,0,100.0%,13.50,0,0,,0,,0,0,0.0,,
67,2007,2007-11-18,10,27.039,DET,,NYG,L 10-16,*,1,1,21,21.00,0,100.0%,21.00,0,0,,0,,0,0,0.0,,
68,2007,2007-11-22,11,27.043,DET,,GNB,L 26-37,,0,0,0,,0,0.0%,,1,15,15.00,0,,0,0,0.0,,
69,2007,2007-12-02,12,27.053,DET,@,MIN,L 10-42,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,,1,6,0.0,,
70,2007,2007-12-09,13,27.060,DET,,DAL,L 27-28,,,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
71,2007,2007-12-16,14,27.067,DET,@,SDG,L 14-51,,0,0,0,,0,0.0%,,1,6,6.00,0,,0,0,0.0,,
72,2007,2007-12-23,15,27.074,DET,,KAN,W 25-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,,
73,2007,2007-12-30,16,27.081,DET,@,GNB,L 13-34,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0,0.0,,
74,2008,2008-09-07,1,27.333,DET,@,ATL,L 21-34,,1,1,1,1.00,1,100.0%,1.00,0,0,,0,,1,6,0.0,0,0
75,2008,2008-09-14,2,27.340,DET,,GNB,L 25-48,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,,0,0,0.0,0,0
76,2008,2008-09-21,3,27.347,DET,@,SFO,L 13-31,,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0,0.0,0,1
77,2008,2008-10-05,4,27.361,DET,,CHI,L 7-34,,,,,,,0.0%,,,,,,,,,,,
78,2008,2008-10-12,5,28.002,DET,@,MIN,L 10-12,,0,0,0,,0,0.0%,,1,16,16.00,0,,0,0,0.0,0,0
79,2008,2008-10-19,6,28.009,DET,@,HOU,L 21-28,,1,,,,,0.0%,,,,,,,,,,,
80,2008,2008-10-26,7,28.016,DET,,WAS,L 17-25,,0,0,0,,0,0.0%,,0,0,,0,,0,0,0.0,0,0
81,2008,2008-11-16,10,28.037,DET,@,CAR,L 22-31,,4,3,11,3.67,0,75.0%,2.75,0,0,,0,,0,0,0.0,0,0
82,2008,2008-11-23,11,28.044,DET,,TAM,L 20-38,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,,0,0,0.0,0,0
83,2008,2008-11-27,12,28.048,DET,,TEN,L 10-47,,4,1,14,14.00,0,25.0%,3.50,0,0,,0,,0,0,0.0,0,0
84,2008,2008-12-07,13,28.058,DET,,MIN,L 16-20,,1,,,,,0.0%,,,,,,,,,,,
85,2008,2008-12-14,14,28.065,DET,@,IND,L 21-31,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,1,0,2,0.0,0,0
86,2008,2008-12-21,15,28.072,DET,,NOR,L 7-42,,,,,,,0.0%,,,,,,,,,,,
87,2008,2008-12-28,16,28.079,DET,@,GNB,L 21-31,,7,1,7,7.00,0,14.3%,1.00,2,25,12.50,0,,0,0,0.0,0,0
88,2009,2009-09-13,1,28.338,DET,@,NOR,L 27-45,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,,0,0,0.0,0,0
89,2009,2009-09-20,2,28.345,DET,,MIN,L 13-27,,1,1,2,2.00,0,100.0%,2.00,0,0,,0,,0,0,0.0,0,0
90,2009,2009-09-27,3,28.352,DET,,WAS,W 19-14,,0,,,,,0.0%,,,,,,,,,,,
