ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1961,1961-10-15,6,22.027,DEN,,OAK,W 27-24,0,0,,0,0,0,1,0,0
2,1961,1961-10-22,7,22.034,DEN,,NYT,W 27-10,0,0,,0,0,0,2,17,0
3,1961,1961-12-03,13,22.076,DEN,,BOS,L 24-28,0,0,,0,0,0,1,13,0
4,1961,1961-12-10,14,22.083,DEN,@,DTX,L 21-49,0,0,,0,0,0,1,26,0
5,1962,1962-09-30,4,23.012,DEN,@,NYT,W 32-10,0,0,,0,0,0,1,10,0
6,1962,1962-10-14,6,23.026,DEN,@,OAK,W 23-6,1,6,6.00,0,0,0,0,0,0
7,1962,1962-11-22,12,23.065,DEN,,NYT,L 45-46,0,0,,0,1,6,1,67,1
8,1962,1962-12-02,13,23.075,DEN,@,HOU,L 17-34,0,0,,0,0,0,1,26,0
9,1962,1962-12-09,14,23.082,DEN,@,DTX,L 10-17,0,0,,0,0,0,1,14,0
10,1963,1963-09-07,1,23.354,OAK,@,HOU,W 24-13,0,0,,0,0,0,1,12,0
11,1963,1963-09-28,4,24.010,OAK,@,NYJ,L 7-10,0,0,,0,0,0,1,3,0
12,1963,1963-10-11,6,24.023,OAK,@,BOS,L 14-20,0,0,,0,1,6,2,47,1
13,1963,1963-11-08,10,24.051,OAK,@,KAN,W 22-7,1,23,23.00,0,0,0,0,0,0
14,1964,1964-11-15,10,25.058,DEN,,NYJ,W 20-16,0,0,,0,0,0,1,3,0
