ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2007,2007-10-21,6,26.315,BUF,,BAL,W 19-14,,0,0,,0,0,0,,0,0.0,,
2,2007,2007-10-28,7,26.322,BUF,@,NYJ,W 13-3,,0,0,,0,0,0,,0,0.0,,
3,2007,2007-11-04,8,26.329,BUF,,CIN,W 33-21,,0,0,,0,0,0,,0,0.0,,
4,2007,2007-11-11,9,26.336,BUF,@,MIA,W 13-10,,0,0,,0,0,0,,0,0.0,,
5,2007,2007-11-18,10,26.343,BUF,,NWE,L 10-56,,0,0,,0,0,0,,0,0.0,,
6,2007,2007-11-25,11,26.350,BUF,@,JAX,L 14-36,,0,0,,0,0,0,,0,0.0,,
7,2007,2007-12-02,12,26.357,BUF,@,WAS,W 17-16,,0,0,,0,0,0,,0,0.0,,
8,2007,2007-12-09,13,26.364,BUF,,MIA,W 38-17,,0,0,,0,0,0,,0,0.0,,
9,2007,2007-12-16,14,27.006,BUF,@,CLE,L 0-8,,0,0,,0,0,0,,0,0.0,,
10,2007,2007-12-23,15,27.013,BUF,,NYG,L 21-38,,0,0,,0,0,0,,0,0.0,,
11,2007,2007-12-30,16,27.020,BUF,@,PHI,L 9-17,,0,0,,0,0,0,,0,0.0,,
12,2008,2008-09-07,1,27.272,BUF,,SEA,W 34-10,,0,0,,0,0,0,,0,0.0,0,0
13,2008,2008-09-14,2,27.279,BUF,@,JAX,W 20-16,,,,,,,,,,,,
14,2008,2008-09-21,3,27.286,BUF,,OAK,W 24-23,,,,,,,,,,,,
15,2008,2008-09-28,4,27.293,BUF,@,STL,W 31-14,,,,,,,,,,,,
16,2008,2008-10-05,5,27.300,BUF,@,ARI,L 17-41,,,,,,,,,,,,
17,2008,2008-10-19,6,27.314,BUF,,SDG,W 23-14,,,,,,,,,,,,
18,2008,2008-11-02,8,27.328,BUF,,NYJ,L 17-26,,0,0,,0,0,0,,0,0.0,0,0
19,2008,2008-11-09,9,27.335,BUF,@,NWE,L 10-20,,,,,,,,,,,,
20,2008,2008-11-23,11,27.349,BUF,@,KAN,W 54-31,,,,,,,,,,,,
21,2008,2008-11-30,12,27.356,BUF,,SFO,L 3-10,,,,,,,,,,,,
22,2008,2008-12-14,14,28.004,BUF,@,NYJ,L 27-31,,0,0,,0,0,0,,0,0.0,0,0
23,2008,2008-12-21,15,28.011,BUF,@,DEN,W 30-23,,,,,,,,,,,,
24,2008,2008-12-28,16,28.018,BUF,,NWE,L 0-13,,,,,,,,,,,,
25,2009,2009-10-04,4,28.298,BUF,@,MIA,L 10-38,,,,,,,,,,,,
26,2009,2009-10-11,5,28.305,BUF,,CLE,L 3-6,,,,,,,,,,,,
27,2009,2009-10-18,6,28.312,BUF,@,NYJ,W 16-13,,0,0,,0,0,0,,0,0.0,0,0
28,2009,2009-10-25,7,28.319,BUF,@,CAR,W 20-9,,0,0,,0,0,0,,0,0.0,0,0
29,2009,2009-11-01,8,28.326,BUF,,HOU,L 10-31,,1,-3,-3.00,0,0,0,,0,0.0,0,0
30,2009,2009-11-15,9,28.340,BUF,@,TEN,L 17-41,,0,0,,0,1,18,18.00,0,0.0,0,0
31,2009,2009-11-22,10,28.347,BUF,@,JAX,L 15-18,,0,0,,0,1,19,19.00,0,0.0,0,0
32,2009,2009-11-29,11,28.354,BUF,,MIA,W 31-14,,,,,,,,,,,,
33,2009,2009-12-03,12,28.358,BUF,,NYJ,L 13-19,,,,,,,,,,,,
34,2009,2009-12-20,14,29.010,BUF,,NWE,L 10-17,,,,,,,,,,,,
35,2009,2009-12-27,15,29.017,BUF,@,ATL,L 3-31,,0,0,,0,1,8,8.00,0,0.0,0,0
36,2009,2010-01-03,16,29.024,BUF,,IND,W 30-7,,0,0,,0,0,0,,0,0.0,0,1
