ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1992,1992-09-06,1,23.059,GNB,,MIN,L 20-23,0,0,,0,0,0,,0
2,1992,1992-09-13,2,23.066,GNB,@,TAM,L 3-31,1,8,8.00,0,0,0,,0
3,1992,1992-09-20,3,23.073,GNB,,CIN,W 24-23,0,0,,0,0,0,,0
4,1992,1992-09-27,4,23.080,GNB,,PIT,W 17-3,0,0,,0,0,0,,0
5,1992,1992-10-04,5,23.087,GNB,@,ATL,L 10-24,0,0,,0,0,0,,0
6,1992,1992-10-18,6,23.101,GNB,@,CLE,L 6-17,0,0,,0,0,0,,0
7,1992,1992-10-25,7,23.108,GNB,,CHI,L 10-30,0,0,,0,0,0,,0
8,1992,1992-11-01,8,23.115,GNB,@,DET,W 27-13,0,0,,0,0,0,,0
9,1992,1992-11-08,9,23.122,GNB,@,NYG,L 7-27,0,0,,0,0,0,,0
10,1992,1992-11-15,10,23.129,GNB,,PHI,W 27-24,0,0,,0,0,0,,0
11,1992,1992-11-22,11,23.136,GNB,@,CHI,W 17-3,0,0,,0,1,15,15.00,0
12,1992,1992-11-29,12,23.143,GNB,,TAM,W 19-14,0,0,,0,0,0,,0
13,1992,1992-12-06,13,23.150,GNB,,DET,W 38-10,1,3,3.00,0,0,0,,0
14,1992,1992-12-13,14,23.157,GNB,@,HOU,W 16-14,0,0,,0,0,0,,0
15,1992,1992-12-20,15,23.164,GNB,,RAM,W 28-13,0,0,,0,0,0,,0
16,1992,1992-12-27,16,23.171,GNB,@,MIN,L 7-27,0,0,,0,0,0,,0
17,1993,1993-09-05,1,24.058,GNB,,RAM,W 36-6,,,,,,,,
18,1993,1993-09-12,2,24.065,GNB,,PHI,L 17-20,,,,,,,,
19,1993,1993-09-26,3,24.079,GNB,@,MIN,L 13-15,,,,,,,,
20,1993,1993-10-03,4,24.086,GNB,@,DAL,L 14-36,,,,,,,,
21,1993,1993-10-10,5,24.093,GNB,,DEN,W 30-27,,,,,,,,
22,1993,1993-10-24,6,24.107,GNB,@,TAM,W 37-14,,,,,,,,
23,1993,1993-10-31,7,24.114,GNB,,CHI,W 17-3,,,,,,,,
24,1993,1993-11-08,8,24.122,GNB,@,KAN,L 16-23,,,,,,,,
25,1993,1993-11-14,9,24.128,GNB,@,NOR,W 19-17,,,,,,,,
26,1993,1993-11-21,10,24.135,GNB,,DET,W 26-17,,,,,,,,
27,1993,1993-11-28,11,24.142,GNB,,TAM,W 13-10,,,,,,,,
28,1993,1993-12-05,12,24.149,GNB,@,CHI,L 17-30,,,,,,,,
29,1993,1993-12-12,13,24.156,GNB,@,SDG,W 20-13,,,,,,,,
30,1993,1993-12-19,14,24.163,GNB,,MIN,L 17-21,,,,,,,,
31,1993,1993-12-26,15,24.170,GNB,,RAI,W 28-0,,,,,,,,
32,1993,1994-01-02,16,24.177,GNB,@,DET,L 20-30,,,,,,,,
33,1995,1995-10-15,7,26.098,PHI,@,NYG,W 17-14,,,,,,,,
