ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1960,1960-09-09,1,23.171,DEN,@,BOS,W 13-10,11,33,3.00,0,1,13,13.00,0,0,0
2,1960,1960-09-18,2,23.180,DEN,@,BUF,W 27-21,9,20,2.22,0,1,2,2.00,1,1,6
3,1960,1960-09-23,3,23.185,DEN,@,NYT,L 24-28,16,73,4.56,0,3,38,12.67,0,0,0
4,1960,1960-10-02,4,23.194,DEN,,OAK,W 31-14,9,99,11.00,1,2,15,7.50,0,1,6
5,1960,1960-10-16,5,23.208,DEN,,LAC,L 19-23,10,11,1.10,0,3,27,9.00,0,0,0
6,1960,1960-10-23,6,23.215,DEN,,BOS,W 31-24,13,29,2.23,0,2,12,6.00,0,0,0
7,1960,1960-10-30,7,23.222,DEN,,DTX,L 14-17,3,46,15.33,0,1,-7,-7.00,0,0,0
8,1960,1960-11-06,8,23.229,DEN,,HOU,L 25-45,7,45,6.43,0,3,22,7.33,0,0,0
9,1960,1960-11-13,9,23.236,DEN,@,DTX,L 7-34,12,28,2.33,1,2,2,1.00,0,1,6
10,1960,1960-11-20,10,23.243,DEN,@,HOU,L 10-20,6,22,3.67,0,1,1,1.00,0,0,0
11,1960,1960-11-27,11,23.250,DEN,,BUF,T 38-38,9,15,1.67,0,1,4,4.00,0,0,0
12,1960,1960-12-04,12,23.257,DEN,,NYT,L 27-30,5,-8,-1.60,0,1,-7,-7.00,0,0,0
13,1960,1960-12-10,13,23.263,DEN,@,LAC,L 33-41,17,68,4.00,0,0,0,,0,0,0
14,1960,1960-12-17,14,23.270,DEN,@,OAK,L 10-48,3,20,6.67,0,0,0,,0,0,0
