ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring
1,2015,2015-10-04,4,21.309,MIN,@,DEN,L 20-23,,10,6,87,14.50,0,60.0%,8.70,0,0,,0,0,0,,0,0,0,,0,,0,0
2,2015,2015-10-18,5,21.323,MIN,,KAN,W 16-10,*,9,7,129,18.43,0,77.8%,14.33,0,0,,0,0,0,,0,0,0,,0,,0,0
3,2015,2015-10-25,6,21.330,MIN,@,DET,W 28-19,*,9,6,108,18.00,1,66.7%,12.00,1,9,9.00,0,0,0,,0,0,0,,0,,1,6
4,2015,2015-11-01,7,21.337,MIN,@,CHI,W 23-20,*,12,6,95,15.83,1,50.0%,7.92,0,0,,0,0,0,,0,0,0,,0,,1,6
5,2015,2015-11-08,8,21.344,MIN,,STL,W 21-18,*,5,3,42,14.00,0,60.0%,8.40,0,0,,0,0,0,,0,0,0,,0,,0,0
6,2015,2015-11-15,9,21.351,MIN,@,OAK,W 30-14,*,2,2,46,23.00,0,100.0%,23.00,1,10,10.00,0,0,0,,0,0,0,,0,,0,0
7,2015,2015-11-22,10,21.358,MIN,,GNB,L 13-30,*,9,6,66,11.00,0,66.7%,7.33,0,0,,0,0,0,,0,0,0,,0,,0,0
8,2015,2015-11-29,11,22.000,MIN,@,ATL,W 20-10,*,4,4,31,7.75,0,100.0%,7.75,0,0,,0,0,0,,0,0,0,,0,,0,0
9,2015,2015-12-06,12,22.007,MIN,,SEA,L 7-38,,6,2,22,11.00,0,33.3%,3.67,1,-6,-6.00,0,0,0,,0,0,0,,0,,0,0
10,2015,2015-12-10,13,22.011,MIN,@,ARI,L 20-23,*,7,2,12,6.00,0,28.6%,1.71,0,0,,0,0,0,,0,0,0,,0,,0,0
11,2015,2015-12-20,14,22.021,MIN,,CHI,W 38-17,,4,3,55,18.33,2,75.0%,13.75,0,0,,0,1,22,22.00,0,0,0,,0,,2,12
12,2015,2015-12-27,15,22.028,MIN,,NYG,W 49-17,,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,0,0,0,,0,,0,0
13,2015,2016-01-03,16,22.035,MIN,@,GNB,W 20-13,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,,0,0
14,2016,2016-09-11,1,22.287,MIN,@,TEN,W 25-16,*,9,7,103,14.71,0,77.8%,11.44,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0
15,2016,2016-09-18,2,22.294,MIN,,GNB,W 17-14,*,11,9,182,20.22,1,81.8%,16.55,0,0,,0,0,0,,0,0,0,,0,,1,6
16,2016,2016-09-25,3,22.301,MIN,@,CAR,W 22-10,*,7,4,40,10.00,0,57.1%,5.71,0,0,,0,0,0,,0,0,0,,0,,0,0
17,2016,2016-10-03,4,22.309,MIN,,NYG,W 24-10,*,7,5,47,9.40,0,71.4%,6.71,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0
18,2016,2016-10-23,6,22.329,MIN,@,PHI,L 10-21,*,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,0,0
19,2016,2016-10-31,7,22.337,MIN,@,CHI,L 10-20,*,13,8,76,9.50,1,61.5%,5.85,0,0,,0,0,0,,0,2,11,5.50,0,,1,6
20,2016,2016-11-06,8,22.343,MIN,,DET,L 16-22,*,14,13,80,6.15,0,92.9%,5.71,1,12,12.00,0,0,0,,0,3,29,9.67,0,,0,0
21,2016,2016-11-13,9,22.350,MIN,@,WAS,L 20-26,*,15,13,164,12.62,0,86.7%,10.93,0,0,,0,0,0,,0,1,5,5.00,0,,0,0
22,2016,2016-11-20,10,22.357,MIN,,ARI,W 30-24,,7,6,37,6.17,0,85.7%,5.29,0,0,,0,0,0,,0,0,0,,0,,0,0
23,2016,2016-12-01,12,23.002,MIN,,DAL,L 15-17,*,8,8,59,7.38,0,100.0%,7.38,0,0,,0,0,0,,0,0,0,,0,,0,0
24,2016,2016-12-11,13,23.012,MIN,@,JAX,W 25-16,*,5,3,55,18.33,0,60.0%,11.00,0,0,,0,0,0,,0,0,0,,0,,0,0
25,2016,2016-12-18,14,23.019,MIN,,IND,L 6-34,,5,2,13,6.50,0,40.0%,2.60,0,0,,0,0,0,,0,0,0,,0,,0,0
26,2016,2016-12-24,15,23.025,MIN,@,GNB,L 25-38,*,6,4,29,7.25,1,66.7%,4.83,0,0,,0,0,0,,0,0,0,,0,,1,6
27,2017,2017-09-11,1,23.286,MIN,,NOR,W 29-19,*,8,7,93,13.29,2,87.5%,11.63,1,-6,-6.00,0,0,0,,0,0,0,,0,,2,12
28,2017,2017-09-17,2,23.292,MIN,@,PIT,L 9-26,*,6,2,27,13.50,0,33.3%,4.50,1,4,4.00,0,0,0,,0,0,0,,0,,0,0
29,2017,2017-09-24,3,23.299,MIN,,TAM,W 34-17,*,11,8,173,21.63,2,72.7%,15.73,0,0,,0,0,0,,0,0,0,,0,,2,12
30,2017,2017-10-01,4,23.306,MIN,,DET,L 7-14,*,7,5,98,19.60,0,71.4%,14.00,0,0,,0,0,0,,0,0,0,,0,,0,0
31,2017,2017-10-09,5,23.314,MIN,@,CHI,W 20-17,*,4,1,4,4.00,0,25.0%,1.00,0,0,,0,0,0,,0,0,0,,0,,0,0
32,2017,2017-10-29,8,23.334,MIN,@,CLE,W 33-16,*,6,4,27,6.75,0,66.7%,4.50,1,-1,-1.00,0,0,0,,0,0,0,,0,,0,0
33,2017,2017-11-12,9,23.348,MIN,@,WAS,W 38-30,*,5,4,78,19.50,1,80.0%,15.60,0,0,,0,0,0,,0,0,0,,0,,1,6
34,2017,2017-11-19,10,23.355,MIN,,LAR,W 24-7,*,6,4,32,8.00,0,66.7%,5.33,0,0,,0,0,0,,0,0,0,,0,,0,0
35,2017,2017-11-23,11,23.359,MIN,@,DET,W 30-23,*,7,5,66,13.20,0,71.4%,9.43,1,9,9.00,0,0,0,,0,0,0,,0,,0,0
36,2017,2017-12-03,12,24.004,MIN,@,ATL,W 14-9,*,5,2,32,16.00,0,40.0%,6.40,1,5,5.00,0,0,0,,0,0,0,,0,,0,0
37,2017,2017-12-10,13,24.011,MIN,@,CAR,L 24-31,*,10,6,64,10.67,0,60.0%,6.40,0,0,,0,0,0,,0,0,0,,0,,0,0
38,2017,2017-12-17,14,24.018,MIN,,CIN,W 34-7,*,6,5,30,6.00,1,83.3%,5.00,1,7,7.00,0,0,0,,0,0,0,,0,,1,6
39,2017,2017-12-23,15,24.024,MIN,@,GNB,W 16-0,*,8,5,60,12.00,1,62.5%,7.50,1,3,3.00,0,0,0,,0,0,0,,0,,1,6
40,2017,2017-12-31,16,24.032,MIN,,CHI,W 23-10,*,6,6,65,10.83,1,100.0%,10.83,1,-8,-8.00,0,0,0,,0,0,0,,0,,1,6
41,2018,2018-09-09,1,24.284,MIN,,SFO,W 24-16,*,6,3,43,14.33,1,50.0%,7.17,1,8,8.00,0,0,0,,0,0,0,,0,,1,6
42,2018,2018-09-16,2,24.291,MIN,@,GNB,T 29-29,*,13,9,128,14.22,2,69.2%,9.85,1,1,1.00,0,0,0,,0,0,0,,0,1,2,14
43,2018,2018-09-23,3,24.298,MIN,,BUF,L 6-27,*,10,4,17,4.25,0,40.0%,1.70,0,0,,0,0,0,,0,0,0,,0,,0,0
44,2018,2018-09-27,4,24.302,MIN,@,LAR,L 31-38,*,15,11,123,11.18,0,73.3%,8.20,0,0,,0,0,0,,0,0,0,,0,,0,0
