ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-09-26,3,22.280,CHI,@,OAK,L 17-24,,,,,
2,1999,1999-12-26,15,23.006,CHI,@,STL,L 12-34,*,,,,
3,2000,2000-09-03,1,23.258,CHI,@,MIN,L 27-30,,,,,
4,2000,2000-09-24,4,23.279,CHI,,DET,L 14-21,,1,0,0.00,0
5,2000,2000-10-01,5,23.286,CHI,@,GNB,W 27-24,,,,,
6,2000,2000-10-08,6,23.293,CHI,,NOR,L 10-31,,,,,
7,2000,2000-10-15,7,23.300,CHI,,MIN,L 16-28,,,,,
8,2000,2000-12-24,16,24.004,CHI,@,DET,W 23-20,,,,,
9,2001,2001-09-09,1,24.263,CHI,@,BAL,L 6-17,*,,,,
10,2001,2001-09-23,2,24.277,CHI,,MIN,W 17-10,*,,,,
11,2001,2001-10-07,3,24.291,CHI,@,ATL,W 31-3,*,,,,
12,2001,2001-10-14,4,24.298,CHI,,ARI,W 20-13,*,,,,
13,2001,2001-10-21,5,24.305,CHI,@,CIN,W 24-0,*,,,,
14,2001,2001-10-28,6,24.312,CHI,,SFO,W 37-31,*,,,,
15,2001,2001-11-04,7,24.319,CHI,,CLE,W 27-21,*,,,,
16,2001,2001-11-11,8,24.326,CHI,,GNB,L 12-20,*,,,,
17,2001,2001-11-18,9,24.333,CHI,@,TAM,W 27-24,*,,,,
18,2001,2001-11-25,10,24.340,CHI,@,MIN,W 13-6,*,,,,
19,2001,2001-12-02,11,24.347,CHI,,DET,W 13-10,*,,,,
20,2001,2001-12-09,12,24.354,CHI,@,GNB,L 7-17,*,,,,
21,2001,2001-12-16,13,24.361,CHI,,TAM,W 27-3,*,,,,
22,2001,2001-12-23,14,25.003,CHI,@,WAS,W 20-15,*,,,,
23,2001,2001-12-30,15,25.010,CHI,@,DET,W 24-0,*,,,,
24,2001,2002-01-06,16,25.017,CHI,,JAX,W 33-13,*,,,,
25,2002,2002-09-08,1,25.262,CHI,,MIN,W 27-23,*,,,,
26,2002,2002-09-15,2,25.269,CHI,@,ATL,W 14-13,*,,,,
27,2002,2002-09-22,3,25.276,CHI,,NOR,L 23-29,*,,,,
28,2002,2002-09-29,4,25.283,CHI,@,BUF,L 27-33,*,,,,
29,2002,2002-10-07,5,25.291,CHI,,GNB,L 21-34,*,,,,
30,2004,2004-10-31,7,27.316,CHI,,SFO,W 23-13,*,,,,
31,2004,2004-11-07,8,27.323,CHI,@,NYG,W 28-21,*,,,,
32,2004,2004-11-14,9,27.330,CHI,@,TEN,W 19-17,*,,,,
33,2004,2004-11-21,10,27.337,CHI,,IND,L 10-41,*,,,,
34,2004,2004-11-25,11,27.341,CHI,@,DAL,L 7-21,*,,,,
35,2004,2004-12-05,12,27.351,CHI,,MIN,W 24-14,,,,,
36,2005,2005-09-11,1,28.265,STL,@,SFO,L 25-28,*,,,,
37,2005,2005-10-30,8,28.314,STL,,JAX,W 24-21,,,,,
38,2005,2005-11-13,9,28.328,STL,@,SEA,L 16-31,,,,,
39,2005,2005-11-20,10,28.335,STL,,ARI,L 28-38,,,,,
40,2005,2005-11-27,11,28.342,STL,@,HOU,W 33-27,,,,,
41,2005,2005-12-04,12,28.349,STL,,WAS,L 9-24,*,,,,
42,2005,2005-12-11,13,28.356,STL,@,MIN,L 13-27,*,,,,
43,2005,2006-01-01,16,29.012,STL,@,DAL,W 20-10,,,,,
44,2006,2006-09-10,1,29.264,DET,,SEA,L 6-9,,,,,
45,2006,2006-09-17,2,29.271,DET,@,CHI,L 7-34,*,,,,
46,2006,2006-11-05,8,29.320,DET,,ATL,W 30-14,*,,,,
47,2006,2006-11-12,9,29.327,DET,,SFO,L 13-19,*,,,,
48,2006,2006-11-19,10,29.334,DET,@,ARI,L 10-17,*,,,,
49,2006,2006-11-23,11,29.338,DET,,MIA,L 10-27,*,,,,
