ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1996,1996-09-01,1,23.088,NOR,@,SFO,L 11-27,,0,0,,0,,,,
2,1996,1996-09-08,2,23.095,NOR,,CAR,L 20-22,,0,0,,0,1.0,0,0,0
3,1996,1996-09-15,3,23.102,NOR,@,CIN,L 15-30,,0,0,,0,,,,
4,1996,1996-09-22,4,23.109,NOR,,ARI,L 14-28,,0,0,,0,,,,
5,1996,1996-09-29,5,23.116,NOR,@,BAL,L 10-17,,0,0,,0,,,,
6,1996,1996-10-06,6,23.123,NOR,,JAX,W 17-13,,0,0,,0,,,,
7,1996,1996-10-13,7,23.130,NOR,,CHI,W 27-24,,0,0,,0,,,,
8,1996,1996-10-20,8,23.137,NOR,@,CAR,L 7-19,,0,0,,0,,,,
9,1996,1996-11-03,9,23.151,NOR,,SFO,L 17-24,,0,0,,0,1.0,0,0,0
10,1996,1996-11-10,10,23.158,NOR,,HOU,L 14-31,,0,0,,0,,,,
11,1996,1996-11-17,11,23.165,NOR,@,ATL,L 15-17,,0,0,,0,,,,
12,1996,1996-11-24,12,23.172,NOR,@,TAM,L 7-13,,0,0,,0,,,,
13,1996,1996-12-01,13,23.179,NOR,,STL,L 10-26,,0,0,,0,,,,
14,1996,1996-12-08,14,23.186,NOR,,ATL,L 15-31,,1,8,8.00,0,0.0,0,0,0
15,1996,1996-12-15,15,23.193,NOR,@,NYG,W 17-3,,1,6,6.00,0,0.0,0,0,0
16,1996,1996-12-21,16,23.199,NOR,@,STL,L 13-14,,0,0,,0,,,,
17,1997,1997-08-31,1,24.087,NOR,@,STL,L 24-38,,,,,,,,,
18,1997,1997-09-07,2,24.094,NOR,,SDG,L 6-20,,0,0,,0,1.0,0,0,0
19,1997,1997-09-14,3,24.101,NOR,@,SFO,L 7-33,,,,,,,,,
20,1997,1997-09-21,4,24.108,NOR,,DET,W 35-17,,,,,,,,,
21,1997,1997-09-28,5,24.115,NOR,@,NYG,L 9-14,,,,,,,,,
22,1997,1997-10-05,6,24.122,NOR,@,CHI,W 20-17,,,,,,,,,
23,1997,1997-10-12,7,24.129,NOR,,ATL,L 17-23,,,,,,,,,
