ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-10-01,4,23.115,IND,@,NYJ,W 31-28,,,,,,,,,,,,,,
2,2006,2006-10-08,5,23.122,IND,,TEN,W 14-13,,2,67,33.50,0,2,14,7.00,0,0,0,0.0,,
3,2006,2006-11-12,9,23.157,IND,,BUF,W 17-16,,,,,,,,,,,,,,
4,2006,2006-11-19,10,23.164,IND,@,DAL,L 14-21,,,,,,,,,,,,,,
5,2006,2006-11-26,11,23.171,IND,,PHI,W 45-21,,,,,,,,,,,,,,
6,2006,2006-12-18,14,23.193,IND,,CIN,W 34-16,,,,,,,,,,,,,,
7,2007,2007-09-06,1,24.090,IND,,NOR,W 41-10,,0,0,,0,3,29,9.67,0,0,0,0.0,,
8,2007,2007-09-16,2,24.100,IND,@,TEN,W 22-20,,4,106,26.50,0,1,5,5.00,0,0,0,0.0,,
9,2007,2007-09-23,3,24.107,IND,@,HOU,W 30-24,,4,106,26.50,0,0,0,,0,0,0,0.0,,
10,2007,2007-09-30,4,24.114,IND,,DEN,W 38-20,,4,112,28.00,0,1,2,2.00,0,0,0,0.0,,
11,2007,2007-10-22,6,24.136,IND,@,JAX,W 29-7,,3,56,18.67,0,0,0,,0,0,0,0.0,,
12,2007,2007-10-28,7,24.142,IND,@,CAR,W 31-7,,1,28,28.00,0,4,45,11.25,0,0,0,0.0,,
13,2007,2007-11-04,8,24.149,IND,,NWE,L 20-24,,3,46,15.33,0,1,11,11.00,0,0,0,0.0,,
14,2007,2007-11-18,10,24.163,IND,,KAN,W 13-10,,0,0,,0,2,16,8.00,0,0,0,0.0,,
15,2007,2007-11-22,11,24.167,IND,@,ATL,W 31-13,,0,0,,0,3,29,9.67,0,0,0,0.0,,
16,2007,2007-12-02,12,24.177,IND,,JAX,W 28-25,,1,22,22.00,0,0,0,,0,0,0,0.0,,
17,2007,2007-12-09,13,24.184,IND,@,BAL,W 44-20,,3,52,17.33,0,0,0,,0,0,0,0.0,,
18,2007,2007-12-16,14,24.191,IND,@,OAK,W 21-14,,3,73,24.33,0,2,94,47.00,1,1,6,0.0,,
19,2007,2007-12-23,15,24.198,IND,,HOU,W 38-15,,1,13,13.00,0,0,0,,0,0,0,0.0,,
20,2007,2007-12-30,16,24.205,IND,,TEN,L 10-16,,4,100,25.00,0,2,18,9.00,0,0,0,0.0,,
21,2009,2009-09-13,1,26.097,IND,,JAX,W 14-12,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0
22,2009,2009-09-21,2,26.105,IND,@,MIA,W 27-23,,0,0,,0,1,2,2.00,0,0,0,0.0,0,0
23,2009,2009-09-27,3,26.111,IND,@,ARI,W 31-10,,0,0,,0,3,14,4.67,0,0,0,0.0,0,0
24,2009,2009-10-04,4,26.118,IND,,SEA,W 34-17,,1,19,19.00,0,2,25,12.50,0,0,0,0.0,2,0
25,2009,2009-10-11,5,26.125,IND,@,TEN,W 31-9,,4,74,18.50,0,1,0,0.00,0,0,0,0.0,0,0
26,2009,2009-10-25,6,26.139,IND,@,STL,W 42-6,,0,0,,0,1,11,11.00,0,0,0,0.0,0,0
27,2009,2009-11-08,8,26.153,IND,,HOU,W 20-17,,0,0,,0,2,8,4.00,0,0,0,0.0,0,0
28,2009,2009-11-15,9,26.160,IND,,NWE,W 35-34,,0,0,,0,0,0,,0,0,0,0.0,0,0
29,2009,2009-11-22,10,26.167,IND,@,BAL,W 17-15,,1,14,14.00,0,1,2,2.00,0,0,0,0.0,0,0
30,2009,2009-11-29,11,26.174,IND,@,HOU,W 35-27,,0,0,,0,1,7,7.00,0,0,0,0.0,0,0
31,2009,2009-12-06,12,26.181,IND,,TEN,W 27-17,,0,0,,0,0,0,,0,0,0,0.0,0,0
32,2009,2009-12-13,13,26.188,IND,,DEN,W 28-16,,0,0,,0,2,19,9.50,0,0,0,0.0,1,0
33,2009,2009-12-17,14,26.192,IND,@,JAX,W 35-31,,1,20,20.00,0,2,8,4.00,0,0,0,0.0,0,0
34,2009,2009-12-27,15,26.202,IND,,NYJ,L 15-29,,0,0,,0,2,8,4.00,0,0,0,0.0,0,0
35,2009,2010-01-03,16,26.209,IND,@,BUF,L 7-30,,0,0,,0,2,10,5.00,0,0,0,0.0,0,0
