ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
11,1966,1966-12-11,13,23.281,PHI,,CLE,W 33-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,36,0
12,1966,1966-12-18,14,23.288,PHI,@,WAS,W 37-28,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,15,0
13,1967,1967-10-01,3,24.210,PHI,,PIT,W 34-24,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,0,0
14,1967,1967-11-05,8,24.245,PHI,@,NOR,L 24-31,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,26,0
15,1967,1967-11-19,10,24.259,PHI,,NOR,W 48-21,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,6,0
16,1967,1967-12-10,13,24.280,PHI,@,DAL,L 17-38,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,67,1
17,1967,1967-12-17,14,24.287,PHI,,CLE,W 28-24,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,0
18,1968,1968-09-15,1,25.194,PHI,@,GNB,L 13-30,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,5,0
19,1968,1968-10-27,7,25.236,PHI,@,PIT,L 3-6,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,12,6.00,0,0,0,0,0,0
20,1968,1968-11-03,8,25.243,PHI,,STL,L 17-45,,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,0,0,0,0,0
21,1968,1968-11-10,9,25.250,PHI,,WAS,L 10-16,,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,0,0,1,17,0
22,1968,1968-11-17,10,25.257,PHI,@,NYG,L 6-7,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,0
23,1968,1968-11-28,12,25.268,PHI,@,DET,W 12-0,,1,1,100.00,3,0,0,79.2,0,0,3.00,3.00,0,0,,0,0,0,,0,0,0,0,0,0
24,1969,1969-09-21,1,26.200,PHI,,CLE,L 20-27,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,1,34,1
25,1969,1969-09-28,2,26.207,PHI,,PIT,W 41-27,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,0
26,1969,1969-10-05,3,26.214,PHI,,DAL,L 7-38,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,0,0,0
27,1969,1969-10-26,6,26.235,PHI,,NOR,W 13-10,,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,0,0,1,4,0
28,1969,1969-11-30,11,26.270,PHI,@,NOR,L 17-26,,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0,0,0
29,1969,1969-12-21,14,26.291,PHI,@,SFO,L 13-14,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,2,16,0
30,1970,1970-09-20,1,27.199,NOR,,ATL,L 3-14,,,,,,,,,,,,,,,,,,,,,,,,,
31,1970,1970-09-27,2,27.206,NOR,@,MIN,L 0-26,,,,,,,,,,,,,,,,,,,,,,,,,
32,1970,1970-10-04,3,27.213,NOR,,NYG,W 14-10,,,,,,,,,,,,,,,,,,,,,,,,,
33,1970,1970-10-11,4,27.220,NOR,@,STL,L 17-24,,,,,,,,,,,,,,,,,,,,,,,,,
34,1970,1970-10-18,5,27.227,NOR,@,SFO,T 20-20,,,,,,,,,,,,,,,,,,,,,,,,,
35,1970,1970-10-25,6,27.234,NOR,@,ATL,L 14-32,,,,,,,,,,,,,,,,,,,,,,,,,
36,1970,1970-11-01,7,27.241,NOR,,RAM,L 17-30,,,,,,,,,,,,,,,,,,,,,,,,,
37,1970,1970-11-08,8,27.248,NOR,,DET,W 19-17,,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0,1,4,0
38,1970,1970-11-15,9,27.255,NOR,@,MIA,L 10-21,,,,,,,,,,,,,,,,,,,,,,,,,
39,1970,1970-11-22,10,27.262,NOR,,DEN,L 6-31,,,,,,,,,,,,,,,,,,,,,,,,,
40,1970,1970-11-29,11,27.269,NOR,@,CIN,L 6-26,,,,,,,,,,,,,,,,,,,,,,,,,
41,1970,1970-12-06,12,27.276,NOR,@,RAM,L 16-34,,,,,,,,,,,,,,,,,,,,,,,,,
42,1970,1970-12-13,13,27.283,NOR,,SFO,L 27-38,,,,,,,,,,,,,,,,,,,,,,,,,
43,1970,1970-12-20,14,27.290,NOR,,CHI,L 3-24,,,,,,,,,,,,,,,,,,,,,,,,,
