ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2004,2004-09-12,1,23.068,NOR,,SEA,L 7-21,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,0.0,,
2,2004,2004-09-19,2,23.075,NOR,,SFO,W 30-27,,,,,,,0.0%,,,,,,,,,,,,,,
3,2004,2004-09-26,3,23.082,NOR,@,STL,W 28-25,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
4,2004,2004-10-03,4,23.089,NOR,@,ARI,L 10-34,,,,,,,0.0%,,,,,,,,,,,,,,
5,2004,2004-10-10,5,23.096,NOR,,TAM,L 17-20,*,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0,0,0.0,,
6,2004,2004-10-17,6,23.103,NOR,,MIN,L 31-38,,,,,,,0.0%,,,,,,,,,,,,,,
7,2004,2004-10-24,7,23.110,NOR,@,OAK,W 31-26,,,,,,,0.0%,,,,,,,,,,,,,,
8,2004,2004-11-07,8,23.124,NOR,@,SDG,L 17-43,,,,,,,0.0%,,,,,,,,,,,,,,
9,2004,2004-11-14,9,23.131,NOR,,KAN,W 27-20,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0,0,0,0.0,,
10,2004,2004-11-21,10,23.138,NOR,,DEN,L 13-34,*,,,,,,0.0%,,,,,,,,,,,,,,
11,2004,2004-11-28,11,23.145,NOR,@,ATL,L 21-24,*,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,0,0,0,0.0,,
12,2004,2004-12-05,12,23.152,NOR,,CAR,L 21-32,*,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,0,0.0,,
13,2004,2004-12-12,13,23.159,NOR,@,DAL,W 27-13,*,,,,,,0.0%,,,,,,,,,,,,,,
14,2004,2004-12-19,14,23.166,NOR,@,TAM,W 21-17,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0,0.0,,
15,2004,2004-12-26,15,23.173,NOR,,ATL,W 26-13,*,,,,,,0.0%,,,,,,,,,,,,,,
16,2004,2005-01-02,16,23.180,NOR,@,CAR,W 21-18,,0,0,0,,0,0.0%,,2,6,3.00,0,0,0,,0,0,0,0.0,,
17,2005,2005-09-11,1,24.067,NOR,@,CAR,W 23-20,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
18,2005,2005-09-19,2,24.075,NOR,,NYG,L 10-27,*,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,0,0.0,,
19,2005,2005-09-25,3,24.081,NOR,@,MIN,L 16-33,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
20,2005,2005-10-02,4,24.088,NOR,,BUF,W 19-7,*,1,1,4,4.00,0,100.0%,4.00,3,6,2.00,0,0,0,,0,0,0,0.0,,
21,2005,2005-10-09,5,24.095,NOR,@,GNB,L 3-52,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
22,2005,2005-10-16,6,24.102,NOR,,ATL,L 31-34,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,,
23,2005,2005-10-23,7,24.109,NOR,@,STL,L 17-28,*,1,1,10,10.00,0,100.0%,10.00,1,3,3.00,0,0,0,,0,0,0,0.0,,
24,2005,2005-10-30,8,24.116,NOR,,MIA,L 6-21,*,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,,0,0,0,0.0,,
25,2005,2005-11-06,9,24.123,NOR,,CHI,L 17-20,*,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,0,0,0,0.0,,
26,2005,2005-11-20,10,24.137,NOR,@,NWE,L 17-24,*,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0,0,0,0.0,,
27,2005,2005-11-27,11,24.144,NOR,@,NYJ,W 21-19,,2,2,13,6.50,0,100.0%,6.50,0,0,,0,0,0,,0,0,0,0.0,,
28,2005,2005-12-04,12,24.151,NOR,,TAM,L 3-10,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
29,2005,2005-12-12,13,24.159,NOR,@,ATL,L 17-36,*,1,0,0,,0,0.0%,0.00,1,3,3.00,0,0,0,,0,0,0,0.0,,
30,2005,2005-12-18,14,24.165,NOR,,CAR,L 10-27,*,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,0.0,,
31,2005,2005-12-24,15,24.171,NOR,,DET,L 12-13,*,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,,0,0,0,0.0,,
32,2005,2006-01-01,16,24.179,NOR,@,TAM,L 13-27,*,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,0.0,,
