ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1965,1965-09-12,1,26.196,OAK,,KAN,W 37-10,17,87,5.12,0,2,19,9.50,0,1,17,17.00,0,0,0,,0,0,0
2,1965,1965-09-19,2,26.203,OAK,,SDG,L 6-17,8,14,1.75,0,3,9,3.00,0,0,0,,0,0,0,,0,0,0
3,1965,1965-09-26,3,26.210,OAK,,HOU,W 21-17,1,13,13.00,0,0,0,,0,1,20,20.00,0,0,0,,0,0,0
4,1965,1965-10-08,5,26.222,OAK,@,BOS,W 24-10,4,5,1.25,1,0,0,,0,0,0,,0,1,3,3.00,0,1,6
5,1965,1965-10-16,6,26.230,OAK,@,NYJ,T 24-24,8,33,4.13,0,4,51,12.75,0,1,13,13.00,0,0,0,,0,0,0
6,1965,1965-10-24,7,26.238,OAK,,BOS,W 30-21,6,0,0.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,0
7,1965,1965-10-31,8,26.245,OAK,@,KAN,L 7-14,3,10,3.33,0,1,15,15.00,0,0,0,,0,0,0,,0,0,0
8,1965,1965-12-19,14,26.294,OAK,@,SDG,L 14-24,1,9,9.00,0,1,14,14.00,0,0,0,,0,0,0,,0,0,0
9,1966,1966-09-02,1,27.186,OAK,@,MIA,W 23-14,6,23,3.83,0,2,37,18.50,0,1,13,13.00,0,0,0,,0,0,0
10,1966,1966-09-10,2,27.194,OAK,@,HOU,L 0-31,3,38,12.67,0,2,6,3.00,0,0,0,,0,0,0,,0,0,0
11,1966,1966-09-18,3,27.202,OAK,,KAN,L 10-32,13,30,2.31,0,6,48,8.00,0,0,0,,0,0,0,,0,0,0
12,1966,1966-09-25,4,27.209,OAK,,SDG,L 20-29,7,45,6.43,0,2,46,23.00,0,0,0,,0,0,0,,0,0,0
13,1966,1966-10-09,5,27.223,OAK,,MIA,W 21-10,11,48,4.36,0,3,38,12.67,1,0,0,,0,0,0,,0,1,6
14,1966,1966-10-16,6,27.230,OAK,@,KAN,W 34-13,3,4,1.33,0,1,11,11.00,0,0,0,,0,0,0,,0,0,0
15,1966,1966-10-23,7,27.237,OAK,@,NYJ,W 24-21,2,8,4.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
16,1966,1966-10-30,8,27.244,OAK,@,BOS,L 21-24,2,10,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
17,1966,1966-11-06,9,27.251,OAK,,HOU,W 38-23,4,28,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
18,1966,1966-11-13,10,27.258,OAK,@,SDG,W 41-19,5,22,4.40,0,0,0,,0,0,0,,0,0,0,,0,0,0
19,1966,1966-11-24,12,27.269,OAK,,BUF,L 10-31,4,14,3.50,0,3,49,16.33,0,0,0,,0,0,0,,0,0,0
20,1966,1966-12-03,13,27.278,OAK,,NYJ,T 28-28,1,11,11.00,0,1,7,7.00,0,0,0,,0,0,0,,0,0,0
21,1966,1966-12-11,14,27.286,OAK,,DEN,W 28-10,1,1,1.00,0,1,6,6.00,0,0,0,,0,0,0,,0,0,0
22,1967,1967-09-10,1,28.194,OAK,,DEN,W 51-0,5,16,3.20,0,1,15,15.00,0,0,0,,0,0,0,,0,0,0
23,1967,1967-10-22,6,28.236,OAK,@,BOS,W 48-14,19,67,3.53,1,4,38,9.50,1,0,0,,0,0,0,,0,2,12
24,1967,1967-10-29,7,28.243,OAK,,SDG,W 51-10,1,2,2.00,0,1,21,21.00,0,0,0,,0,0,0,,0,0,0
25,1967,1967-11-19,9,28.264,OAK,,MIA,W 31-17,9,24,2.67,0,5,40,8.00,0,0,0,,0,0,0,,0,0,0
26,1967,1967-11-23,10,28.268,OAK,@,KAN,W 44-22,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
27,1967,1967-12-03,11,28.278,OAK,@,SDG,W 41-21,2,7,3.50,0,0,0,,0,0,0,,0,0,0,,0,0,0
28,1967,1967-12-17,13,28.292,OAK,,NYJ,W 38-29,1,6,6.00,1,0,0,,0,1,2,2.00,0,0,0,,0,1,6
29,1967,1967-12-24,14,28.299,OAK,,BUF,W 28-21,6,24,4.00,0,0,0,,0,1,10,10.00,0,0,0,,0,0,0
30,1968,1968-09-15,1,29.200,OAK,@,BUF,W 48-6,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
31,1968,1968-09-29,3,29.214,OAK,@,HOU,W 24-15,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
32,1968,1968-10-06,4,29.221,OAK,,BOS,W 41-10,4,17,4.25,0,0,0,,0,0,0,,0,0,0,,0,0,0
33,1968,1968-10-20,6,29.235,OAK,@,KAN,L 10-24,0,0,,0,1,22,22.00,0,0,0,,0,0,0,,0,0,0
34,1968,1968-10-27,7,29.242,OAK,,CIN,W 31-10,12,69,5.75,1,3,18,6.00,1,1,21,21.00,0,0,0,,0,2,12
35,1968,1968-11-03,8,29.249,OAK,,KAN,W 38-21,0,0,,0,1,9,9.00,0,0,0,,0,0,0,,0,0,0
36,1968,1968-11-10,9,29.256,OAK,@,DEN,W 43-7,8,48,6.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
37,1968,1968-11-24,11,29.270,OAK,@,CIN,W 34-0,7,17,2.43,0,0,0,,0,0,0,,0,0,0,,0,0,0
38,1968,1968-11-28,12,29.274,OAK,,BUF,W 13-10,2,1,0.50,0,2,18,9.00,0,0,0,,0,0,0,,0,0,0
39,1968,1968-12-08,13,29.284,OAK,,DEN,W 33-27,4,8,2.00,0,1,11,11.00,0,0,0,,0,0,0,,0,0,0
40,1969,1969-09-28,3,30.212,OAK,@,BOS,W 38-23,1,3,3.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,0
41,1969,1969-10-26,7,30.240,OAK,@,SDG,W 24-12,0,0,,0,1,15,15.00,1,0,0,,0,0,0,,0,1,6
42,1969,1969-11-02,8,30.247,OAK,@,CIN,L 17-31,0,0,,0,2,19,9.50,0,0,0,,0,0,0,,0,0,0
43,1969,1969-11-16,10,30.261,OAK,,SDG,W 21-16,0,0,,0,2,34,17.00,0,0,0,,0,0,0,,0,0,0
