ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-10-28,7,27.123,GNB,@,DAL,W 28-17,4,4,100.0,,1,0.0,0,4,0,0,,0
2,1968,1968-11-03,8,27.129,GNB,,CHI,L 10-13,,,,,2,0.0,0,0,0,0,,0
3,1969,1969-09-21,1,28.086,DET,@,PIT,L 13-16,1,1,100.0,2,3,66.7,0,7,0,0,,0
4,1969,1969-09-28,2,28.093,DET,,NYG,W 24-0,3,3,100.0,1,1,100.0,0,6,0,0,,0
5,1969,1969-10-05,3,28.100,DET,@,CLE,W 28-21,4,4,100.0,,,,0,4,,,,
6,1969,1969-10-12,4,28.107,DET,,GNB,L 17-28,2,2,100.0,1,1,100.0,0,5,0,0,,0
7,1969,1969-10-19,5,28.114,DET,,CHI,W 13-7,1,1,100.0,2,3,66.7,0,7,0,0,,0
8,1969,1969-10-26,6,28.121,DET,@,MIN,L 10-24,1,1,100.0,1,1,100.0,0,4,0,0,,0
9,1969,1969-11-02,7,28.128,DET,@,SFO,W 26-14,2,2,100.0,4,5,80.0,0,14,0,0,,0
10,1969,1969-11-09,8,28.135,DET,,ATL,W 27-21,3,3,100.0,2,2,100.0,0,9,0,0,,0
11,1969,1969-11-16,9,28.142,DET,,STL,W 20-0,2,2,100.0,2,3,66.7,0,8,0,0,,0
12,1969,1969-11-23,10,28.149,DET,@,GNB,W 16-10,1,1,100.0,3,4,75.0,0,10,0,0,,0
13,1969,1969-11-27,11,28.153,DET,,MIN,L 0-27,,,,,2,0.0,0,0,0,0,,0
14,1969,1969-12-07,12,28.163,DET,@,BAL,T 17-17,2,2,100.0,1,5,20.0,0,5,0,0,,0
15,1969,1969-12-14,13,28.170,DET,,RAM,W 28-0,2,2,100.0,4,4,100.0,0,14,0,0,,0
16,1969,1969-12-21,14,28.177,DET,@,CHI,W 20-3,2,2,100.0,2,3,66.7,0,8,0,0,,0
17,1970,1970-09-20,1,29.085,DET,@,GNB,W 40-0,4,4,100.0,4,5,80.0,0,16,0,0,,0
18,1970,1970-09-27,2,29.092,DET,,CIN,W 38-3,5,5,100.0,1,2,50.0,0,8,0,0,,0
19,1970,1970-10-05,3,29.100,DET,,CHI,W 28-14,4,4,100.0,,,,0,4,,,,
20,1970,1970-10-11,4,29.106,DET,@,WAS,L 10-31,1,1,100.0,1,2,50.0,0,4,0,0,,0
21,1970,1970-10-18,5,29.113,DET,@,CLE,W 41-24,5,5,100.0,2,3,66.7,0,11,0,0,,0
22,1970,1970-10-25,6,29.120,DET,@,CHI,W 16-10,1,1,100.0,3,3,100.0,0,10,0,0,,0
23,1970,1970-11-01,7,29.127,DET,,MIN,L 17-30,2,2,100.0,1,1,100.0,0,5,0,0,,0
24,1970,1970-11-08,8,29.134,DET,@,NOR,L 17-19,2,2,100.0,1,1,100.0,0,5,0,0,,0
25,1970,1970-11-15,9,29.141,DET,@,MIN,L 20-24,2,2,100.0,2,4,50.0,0,8,0,0,,0
26,1970,1970-11-22,10,29.148,DET,,SFO,W 28-7,4,4,100.0,,,,0,4,,,,
27,1970,1970-11-26,11,29.152,DET,,OAK,W 28-14,4,4,100.0,,1,0.0,0,4,0,0,,0
28,1970,1970-12-06,12,29.162,DET,,STL,W 16-3,1,1,100.0,3,3,100.0,0,10,0,0,,0
29,1970,1970-12-14,13,29.170,DET,@,RAM,W 28-23,4,4,100.0,,,,0,4,,,,
30,1970,1970-12-20,14,29.176,DET,,GNB,W 20-0,2,2,100.0,2,4,50.0,0,8,0,0,,0
31,1971,1971-09-20,1,30.085,DET,,MIN,L 13-16,1,1,100.0,2,7,28.6,0,7,0,0,,0
32,1971,1971-09-26,2,30.091,DET,@,NWE,W 34-7,2,2,100.0,2,2,100.0,0,8,0,0,,0
33,1971,1971-10-03,3,30.098,DET,,ATL,W 41-38,5,5,100.0,2,2,100.0,0,11,0,0,,0
34,1971,1971-10-10,4,30.105,DET,,GNB,W 31-28,4,4,100.0,1,1,100.0,0,7,0,0,,0
35,1971,1971-10-17,5,30.112,DET,@,HOU,W 31-7,4,4,100.0,1,2,50.0,0,7,0,0,,0
36,1971,1971-10-24,6,30.119,DET,,CHI,L 23-28,2,2,100.0,3,3,100.0,0,11,0,0,,0
37,1971,1971-11-01,7,30.127,DET,@,GNB,T 14-14,2,2,100.0,,2,0.0,0,2,0,0,,0
38,1971,1971-11-07,8,30.133,DET,@,DEN,W 24-20,3,3,100.0,1,2,50.0,0,6,0,0,,0
39,1971,1971-11-14,9,30.140,DET,,RAM,L 13-21,1,1,100.0,2,4,50.0,0,7,0,0,,0
40,1971,1971-11-21,10,30.147,DET,@,CHI,W 28-3,4,4,100.0,,2,0.0,0,4,0,0,,0
41,1971,1971-11-25,11,30.151,DET,,KAN,W 32-21,3,3,100.0,3,3,100.0,0,12,0,0,,0
42,1971,1971-12-05,12,30.161,DET,,PHI,L 20-23,2,2,100.0,2,3,66.7,0,8,0,0,,0
43,1971,1971-12-11,13,30.167,DET,@,MIN,L 10-29,1,1,100.0,1,2,50.0,0,4,0,0,,0
44,1971,1971-12-19,14,30.175,DET,@,SFO,L 27-31,3,3,100.0,2,2,100.0,0,9,0,0,,0
45,1972,1972-09-17,1,31.082,DET,,NYG,W 30-16,3,3,100.0,3,3,100.0,0,12,0,0,,0
46,1972,1972-09-24,2,31.089,DET,,MIN,L 10-34,1,1,100.0,1,2,50.0,0,4,0,0,,0
47,1972,1972-10-01,3,31.096,DET,@,CHI,W 38-24,5,5,100.0,1,1,100.0,0,8,0,0,,0
48,1972,1972-10-08,4,31.103,DET,@,ATL,W 26-23,2,3,66.7,2,2,100.0,0,8,0,0,,0
49,1972,1972-10-16,5,31.111,DET,,GNB,L 23-24,2,2,100.0,3,4,75.0,0,11,0,0,,0
50,1972,1972-10-22,6,31.117,DET,,SDG,W 34-20,4,4,100.0,2,3,66.7,0,10,0,0,,0
51,1972,1972-10-30,7,31.125,DET,@,DAL,L 24-28,3,3,100.0,1,2,50.0,0,6,0,0,,0
52,1972,1972-11-05,8,31.131,DET,,CHI,W 14-0,1,1,100.0,,,,0,1,,,,
53,1972,1972-11-12,9,31.138,DET,@,MIN,L 14-16,2,2,100.0,,1,0.0,0,2,0,0,,0
54,1972,1972-11-19,10,31.145,DET,,NOR,W 27-14,3,3,100.0,2,2,100.0,0,9,0,0,,0
55,1972,1972-11-23,11,31.149,DET,,NYJ,W 37-20,4,4,100.0,3,3,100.0,0,13,0,0,,0
56,1972,1972-12-03,12,31.159,DET,@,GNB,L 7-33,1,1,100.0,,,,0,1,,,,
57,1972,1972-12-10,13,31.166,DET,@,BUF,T 21-21,3,3,100.0,,3,0.0,0,3,0,0,,0
58,1972,1972-12-17,14,31.173,DET,@,RAM,W 34-17,4,4,100.0,2,3,66.7,0,10,0,0,,0
59,1973,1973-09-16,1,32.081,DET,@,PIT,L 10-24,1,1,100.0,1,3,33.3,0,4,0,0,,0
60,1973,1973-09-23,2,32.088,DET,@,GNB,T 13-13,1,1,100.0,2,3,66.7,0,7,0,0,,0
61,1973,1973-10-01,3,32.096,DET,,ATL,W 31-6,4,4,100.0,1,1,100.0,0,7,0,0,,0
62,1973,1973-10-07,4,32.102,DET,,MIN,L 9-23,,,,3,3,100.0,0,9,0,0,,0
63,1973,1973-10-14,5,32.109,DET,@,NOR,L 13-20,1,1,100.0,2,4,50.0,0,7,0,0,,0
64,1973,1973-12-02,12,32.158,DET,@,STL,W 20-16,2,2,100.0,2,2,100.0,0,8,0,0,,0
65,1973,1973-12-09,13,32.165,DET,,CHI,W 40-7,4,4,100.0,2,3,66.7,0,10,0,0,,0
