ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,2000,2000-09-03,1,23.067,NWE,,TAM,L 16-21,,,,,,
2,2000,2000-09-11,2,23.075,NWE,@,NYJ,L 19-20,,,,,,
3,2000,2000-09-17,3,23.081,NWE,,MIN,L 13-21,,,,,,
4,2000,2000-10-15,7,23.109,NWE,,NYJ,L 17-34,,,,,,
5,2000,2000-10-22,8,23.116,NWE,@,IND,L 23-30,,,,,,
6,2000,2000-11-05,9,23.130,NWE,,BUF,L 13-16,,,,,,
7,2001,2001-09-23,2,24.087,NWE,,NYJ,L 3-10,,,,,,
8,2001,2001-10-07,4,24.101,NWE,@,MIA,L 10-30,,,,,,
9,2001,2001-10-21,6,24.115,NWE,@,IND,W 38-17,,,,,,
10,2001,2001-10-28,7,24.122,NWE,@,DEN,L 20-31,,,,,,
11,2001,2001-11-04,8,24.129,NWE,@,ATL,W 24-10,,,,,,
12,2001,2001-11-11,9,24.136,NWE,,BUF,W 21-11,,,,,,
13,2001,2001-11-25,11,24.150,NWE,,NOR,W 34-17,,,,,,
14,2001,2001-12-09,13,24.164,NWE,,CLE,W 27-16,,,,,,
15,2001,2001-12-16,14,24.171,NWE,@,BUF,W 12-9,,,,,,
16,2001,2001-12-22,15,24.177,NWE,,MIA,W 20-13,,,,,,
17,2001,2002-01-06,16,24.192,NWE,@,CAR,W 38-6,,,,,,
18,2002,2002-09-09,1,25.073,NWE,,PIT,W 30-14,,,,,,
19,2002,2002-09-15,2,25.079,NWE,@,NYJ,W 44-7,,,,,,
20,2002,2002-09-22,3,25.086,NWE,,KAN,W 41-38,,,,,,
21,2002,2002-09-29,4,25.093,NWE,@,SDG,L 14-21,,,,,,
22,2002,2002-10-06,5,25.100,NWE,@,MIA,L 13-26,,,,,,
23,2002,2002-10-13,6,25.107,NWE,,GNB,L 10-28,,,,,,
24,2002,2002-10-27,7,25.121,NWE,,DEN,L 16-24,,,,,,
25,2002,2002-11-03,8,25.128,NWE,@,BUF,W 38-7,,,,,,
26,2002,2002-11-10,9,25.135,NWE,@,CHI,W 33-30,,,,,,
27,2002,2002-11-17,10,25.142,NWE,@,OAK,L 20-27,,,,,,
28,2002,2002-11-24,11,25.149,NWE,,MIN,W 24-17,,,,,,
29,2002,2002-11-28,12,25.153,NWE,@,DET,W 20-12,,,,,,
30,2002,2002-12-08,13,25.163,NWE,,BUF,W 27-17,,,,,,
31,2003,2003-09-07,1,26.071,NWE,@,BUF,L 0-31,,,,,,
32,2003,2003-09-14,2,26.078,NWE,@,PHI,W 31-10,,0,0,,0,1.0
33,2003,2003-09-21,3,26.085,NWE,,NYJ,W 23-16,,,,,,
34,2003,2003-09-28,4,26.092,NWE,@,WAS,L 17-20,,,,,,
35,2003,2003-10-05,5,26.099,NWE,,TEN,W 38-30,*,,,,,
36,2003,2003-10-12,6,26.106,NWE,,NYG,W 17-6,*,0,0,,0,0.5
37,2003,2003-10-19,7,26.113,NWE,@,MIA,W 19-13,*,,,,,
38,2003,2003-10-26,8,26.120,NWE,,CLE,W 9-3,*,,,,,
39,2003,2003-11-03,9,26.128,NWE,@,DEN,W 30-26,,,,,,
40,2003,2003-11-16,10,26.141,NWE,,DAL,W 12-0,,,,,,
41,2003,2003-11-23,11,26.148,NWE,@,HOU,W 23-20,,,,,,
42,2003,2003-11-30,12,26.155,NWE,@,IND,W 38-34,,,,,,
43,2003,2003-12-07,13,26.162,NWE,,MIA,W 12-0,,,,,,
44,2003,2003-12-14,14,26.169,NWE,,JAX,W 27-13,,,,,,
45,2003,2003-12-20,15,26.175,NWE,@,NYJ,W 21-16,,,,,,
46,2003,2003-12-27,16,26.182,NWE,,BUF,W 31-0,,,,,,
47,2004,2004-10-24,6,27.118,NWE,,NYJ,W 13-7,,,,,,
48,2004,2004-10-31,7,27.125,NWE,@,PIT,L 20-34,,,,,,
49,2004,2004-11-07,8,27.132,NWE,@,STL,W 40-22,,,,,,
50,2004,2004-11-28,11,27.153,NWE,,BAL,W 24-3,,,,,,
51,2004,2004-12-05,12,27.160,NWE,@,CLE,W 42-15,,,,,,
52,2005,2005-09-08,1,28.072,NWE,,OAK,W 30-20,,,,,,
53,2005,2005-09-18,2,28.082,NWE,@,CAR,L 17-27,,,,,,
54,2005,2005-09-25,3,28.089,NWE,@,PIT,W 23-20,,,,,,
55,2005,2005-10-02,4,28.096,NWE,,SDG,L 17-41,,,,,,
56,2005,2005-10-16,6,28.110,NWE,@,DEN,L 20-28,,,,,,
57,2005,2005-10-30,7,28.124,NWE,,BUF,W 21-16,,,,,,
58,2005,2005-11-07,8,28.132,NWE,,IND,L 21-40,,,,,,
59,2005,2005-11-13,9,28.138,NWE,@,MIA,W 23-16,,,,,,
60,2005,2005-11-20,10,28.145,NWE,,NOR,W 24-17,,,,,,
61,2005,2005-11-27,11,28.152,NWE,@,KAN,L 16-26,,,,,,
62,2005,2005-12-04,12,28.159,NWE,,NYJ,W 16-3,,,,,,
63,2005,2005-12-11,13,28.166,NWE,@,BUF,W 35-7,,,,,,
64,2005,2005-12-17,14,28.172,NWE,,TAM,W 28-0,,,,,,
65,2005,2005-12-26,15,28.181,NWE,@,NYJ,W 31-21,,,,,,
