ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-12-06,12,23.082,SFO,@,SEA,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
2,2009,2009-12-14,13,23.090,SFO,,ARI,W 24-9,,,,,,,,,,,0.0%,,,,,,,,
3,2009,2009-12-20,14,23.096,SFO,@,PHI,L 13-27,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
4,2009,2009-12-27,15,23.103,SFO,,DET,W 20-6,,,,,,,,,,,0.0%,,,,,,,,
5,2009,2010-01-03,16,23.110,SFO,@,STL,W 28-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
6,2010,2010-10-17,6,24.032,STL,,SDG,W 20-17,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
7,2010,2010-10-24,7,24.039,STL,@,TAM,L 17-18,,,,,,,,,,,0.0%,,,,,,,,
8,2010,2010-10-31,8,24.046,STL,,CAR,W 20-10,,0,0,,0,0,0,0,,0,0.0%,,1,0,0.00,0,0.0,0,0
9,2010,2010-11-14,9,24.060,STL,@,SFO,L 20-23,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
10,2010,2010-11-21,10,24.067,STL,,ATL,L 17-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,1
11,2010,2010-11-28,11,24.074,STL,@,DEN,W 36-33,,,,,,0,,,,,0.0%,,,,,,,,
12,2010,2010-12-05,12,24.081,STL,@,ARI,W 19-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
13,2010,2010-12-12,13,24.088,STL,@,NOR,L 13-31,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
14,2010,2010-12-19,14,24.095,STL,,KAN,L 13-27,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
15,2011,2011-09-11,1,24.361,STL,,PHI,L 13-31,,1,12,12.00,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
16,2011,2011-09-19,2,25.004,STL,@,NYG,L 16-28,,,,,,,,,,,0.0%,,,,,,,,
17,2011,2011-09-25,3,25.010,STL,,BAL,L 7-37,,,,,,,,,,,0.0%,,,,,,,,
18,2011,2011-10-02,4,25.017,STL,,WAS,L 10-17,,0,0,,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0.0,0,0
19,2011,2011-10-16,5,25.031,STL,@,GNB,L 3-24,,,,,,,,,,,0.0%,,,,,,,,
20,2011,2011-10-23,6,25.038,STL,@,DAL,L 7-34,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
21,2011,2011-10-30,7,25.045,STL,,NOR,W 31-21,,,,,,,,,,,0.0%,,,,,,,,
22,2011,2011-11-06,8,25.052,STL,@,ARI,L 13-19,,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
23,2011,2011-11-13,9,25.059,STL,@,CLE,W 13-12,*,1,2,2.00,0,1,1,20,20.00,0,100.0%,20.00,0,0,,0,0.0,0,0
24,2011,2011-11-20,10,25.066,STL,,SEA,L 7-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0.0,0,0
25,2011,2011-11-27,11,25.073,STL,,ARI,L 20-23,,,,,,,,,,,0.0%,,,,,,,,
26,2011,2011-12-04,12,25.080,STL,@,SFO,L 0-26,,1,-1,-1.00,0,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0.0,0,0
27,2012,2012-09-09,1,25.360,STL,@,DET,L 23-27,,,,,,,,,,,0.0%,,,,,,,,
28,2012,2012-09-16,2,26.001,STL,,WAS,W 31-28,,,,,,,,,,,0.0%,,,,,,,,
29,2012,2012-09-23,3,26.008,STL,@,CHI,L 6-23,,,,,,,,,,,0.0%,,,,,,,,
30,2012,2012-09-30,4,26.015,STL,,SEA,W 19-13,*,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
31,2012,2012-10-04,5,26.019,STL,,ARI,W 17-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0.0,0,0
32,2012,2012-10-14,6,26.029,STL,@,MIA,L 14-17,,0,0,,0,0,0,0,,0,0.0%,,1,13,13.00,0,0.0,0,0
33,2012,2012-10-21,7,26.036,STL,,GNB,L 20-30,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
34,2012,2012-10-28,8,26.043,STL,,NWE,L 7-45,,,,,,1,,,,,0.0%,,,,,,,,
35,2012,2012-11-11,9,26.057,STL,@,SFO,T 24-24,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0.0,0,0
