ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1977,1977-09-18,1,22.128,DET,@,CHI,L 20-30,,,,,,,,
2,1977,1977-09-25,2,22.135,DET,,NOR,W 23-19,,,,,,,,
3,1977,1977-10-02,3,22.142,DET,,PHI,W 17-13,,,,,,,,
4,1977,1977-10-09,4,22.149,DET,@,MIN,L 7-14,,,,,,,,
5,1977,1977-10-16,5,22.156,DET,,GNB,W 10-6,,,,,,,,
6,1977,1977-10-23,6,22.163,DET,@,SFO,L 7-28,,,,,,,,
7,1977,1977-10-30,7,22.170,DET,@,DAL,L 0-37,,,,,,,,
8,1977,1977-11-06,8,22.177,DET,,SDG,W 20-0,,,,,,,,
9,1977,1977-11-13,9,22.184,DET,@,ATL,L 6-17,,,,,,,,
10,1977,1977-11-20,10,22.191,DET,,TAM,W 16-7,,,,,,,,
11,1977,1977-11-24,11,22.195,DET,,CHI,L 14-31,,,,,,,,
12,1977,1977-12-04,12,22.205,DET,@,GNB,L 9-10,,,,,,,,
13,1977,1977-12-11,13,22.212,DET,@,BAL,W 13-10,,,,,,,,
14,1977,1977-12-17,14,22.218,DET,,MIN,L 21-30,,,,,,,,
15,1978,1978-09-03,1,23.113,DET,,GNB,L 7-13,,,,,,,,
16,1978,1978-09-09,2,23.119,DET,@,TAM,W 15-7,,,,,,,,
17,1978,1978-09-17,3,23.127,DET,,CHI,L 0-19,,,,,,,,
18,1978,1978-09-24,4,23.134,DET,@,SEA,L 16-28,,,,,,,,
19,1978,1978-10-01,5,23.141,DET,@,GNB,L 14-35,,,,,,,,
20,1978,1978-10-08,6,23.148,DET,,WAS,L 19-21,,,,,,,,
21,1978,1978-10-15,7,23.155,DET,@,ATL,L 0-14,,,,,,,,
22,1978,1978-10-22,8,23.162,DET,,SDG,W 31-14,,,,,,,,
23,1978,1978-10-29,9,23.169,DET,@,CHI,W 21-17,,,,,,,,
24,1978,1978-11-05,10,23.176,DET,@,MIN,L 7-17,,,,,,,,
25,1978,1978-11-12,11,23.183,DET,,TAM,W 34-23,,,,,,,,
26,1978,1978-11-19,12,23.190,DET,@,OAK,L 17-29,,,,,,,,
27,1978,1978-11-23,13,23.194,DET,,DEN,W 17-14,,,,,,,,
28,1978,1978-12-03,14,23.204,DET,@,STL,L 14-21,,,,,,,,
29,1978,1978-12-09,15,23.210,DET,,MIN,W 45-14,1,8,8.00,0,0,0,,0
30,1978,1978-12-17,16,23.218,DET,,SFO,W 33-14,,,,,,,,
31,1979,1979-09-16,3,24.126,ATL,,DEN,L 17-20,,,,,,,,
32,1979,1979-09-23,4,24.133,ATL,@,DET,L 23-24,,,,,,,,
33,1979,1979-09-30,5,24.140,ATL,,WAS,L 7-16,,,,,,,,
34,1979,1979-10-07,6,24.147,ATL,,GNB,W 25-7,,,,,,,,
35,1979,1979-10-14,7,24.154,ATL,@,OAK,L 19-50,,,,,,,,
36,1979,1979-10-21,8,24.161,ATL,@,SFO,L 15-20,,,,,,,,
37,1979,1979-10-29,9,24.169,ATL,,SEA,L 28-31,,,,,,,,
38,1979,1979-11-04,10,24.175,ATL,,TAM,W 17-14,,,,,,,,
39,1979,1979-11-11,11,24.182,ATL,@,NYG,L 3-24,,,,,,,,
40,1979,1979-11-19,12,24.190,ATL,@,RAM,L 14-20,,,,,,,,
41,1979,1979-11-25,13,24.196,ATL,,NOR,L 6-37,,,,,,,,
42,1980,1980-09-07,1,25.117,ATL,@,MIN,L 23-24,,,,,,,,
43,1980,1980-09-14,2,25.124,ATL,@,NWE,W 37-21,,,,,,,,
44,1980,1980-09-21,3,25.131,ATL,,MIA,L 17-20,,,,,,,,
45,1980,1980-09-28,4,25.138,ATL,@,SFO,W 20-17,,,,,,,,
46,1980,1980-10-05,5,25.145,ATL,,DET,W 43-28,,,,,,,,
47,1980,1980-10-12,6,25.152,ATL,,NYJ,L 7-14,,,,,,,,
48,1980,1980-10-19,7,25.159,ATL,@,NOR,W 41-14,,,,,,,,
