ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-12-27,15,24.187,OAK,@,CLE,L 9-23,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,2,46,23.00,0,,0,0,0.0,0,0
2,2009,2010-01-03,16,24.194,OAK,,BAL,L 13-21,,3,1,11,11.00,0,33.3%,3.67,0,0,,0,0,0,,0,0,0,,,,,,1,12,12.00,0,,0,0,0.0,0,0
3,2010,2010-09-12,1,25.081,OAK,@,TEN,L 13-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
4,2010,2010-09-19,2,25.088,OAK,,STL,W 16-14,*,3,2,21,10.50,0,66.7%,7.00,3,9,3.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
5,2010,2010-09-26,3,25.095,OAK,@,ARI,L 23-24,*,2,2,2,1.00,0,100.0%,1.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
6,2010,2010-10-03,4,25.102,OAK,,HOU,L 24-31,*,1,1,13,13.00,1,100.0%,13.00,2,7,3.50,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
7,2010,2010-10-10,5,25.109,OAK,,SDG,W 35-27,*,4,2,7,3.50,0,50.0%,1.75,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
8,2010,2010-10-17,6,25.116,OAK,@,SFO,L 9-17,,1,0,0,,0,0.0%,0.00,1,2,2.00,0,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,0,0
9,2010,2010-10-24,7,25.123,OAK,@,DEN,W 59-14,*,3,1,19,19.00,0,33.3%,6.33,7,39,5.57,1,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
10,2010,2010-10-31,8,25.130,OAK,,SEA,W 33-3,*,4,3,90,30.00,1,75.0%,22.50,2,32,16.00,0,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,0,0
