ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,sacks
1,1994,1994-10-09,5,23.056,RAI,@,NWE,W 21-17,,,,,,,0.0%,,
2,1994,1994-10-16,6,23.063,RAI,@,MIA,L 17-20,,,,,,,0.0%,,
3,1994,1994-10-23,7,23.070,RAI,,ATL,W 30-17,,,,,,,0.0%,,
4,1994,1994-10-30,8,23.077,RAI,,HOU,W 17-14,,,,,,,0.0%,,
5,1994,1994-11-13,10,23.091,RAI,@,RAM,W 20-17,,,,,,,0.0%,,
6,1994,1994-11-20,11,23.098,RAI,,NOR,W 24-19,,,,,,,0.0%,,
7,1994,1994-12-18,15,23.126,RAI,@,SEA,W 17-16,,,,,,,0.0%,,
8,1995,1995-09-03,1,24.020,OAK,,SDG,W 17-7,,,,,,,0.0%,,
9,1995,1995-09-10,2,24.027,OAK,@,WAS,W 20-8,,,,,,,0.0%,,
10,1995,1995-09-17,3,24.034,OAK,@,KAN,L 17-23,,,,,,,0.0%,,
11,1995,1995-09-24,4,24.041,OAK,,PHI,W 48-17,,,,,,,0.0%,,
12,1995,1995-10-01,5,24.048,OAK,@,NYJ,W 47-10,,,,,,,0.0%,,
13,1995,1995-10-08,6,24.055,OAK,,SEA,W 34-14,,,,,,,0.0%,,
14,1995,1995-10-16,7,24.063,OAK,@,DEN,L 0-27,,,,,,,0.0%,,
15,1995,1995-10-22,8,24.069,OAK,,IND,W 30-17,,,,,,,0.0%,,
16,1995,1995-11-05,9,24.083,OAK,@,CIN,W 20-17,,,,,,,0.0%,,
17,1995,1995-11-12,10,24.090,OAK,@,NYG,W 17-13,,,,,,,0.0%,,
18,1995,1995-11-19,11,24.097,OAK,,DAL,L 21-34,,,,,,,0.0%,,
19,1995,1995-11-27,12,24.105,OAK,@,SDG,L 6-12,,,,,,,0.0%,,
20,1995,1995-12-03,13,24.111,OAK,,KAN,L 23-29,,,,,,,0.0%,,
21,1995,1995-12-10,14,24.118,OAK,,PIT,L 10-29,,,,,,,0.0%,,
22,1996,1996-09-22,4,25.039,OAK,,SDG,L 34-40,,,,,,,0.0%,,
23,1996,1996-09-29,5,25.046,OAK,@,CHI,L 17-19,,,,,,,0.0%,,
24,1996,1996-10-13,7,25.060,OAK,,DET,W 37-21,,,,,,,0.0%,,
25,1996,1996-10-21,8,25.068,OAK,@,SDG,W 23-14,,,,,,,0.0%,,
26,1996,1996-11-04,9,25.082,OAK,,DEN,L 21-22,,,,,,,0.0%,,
27,1996,1996-11-10,10,25.088,OAK,@,TAM,L 17-20,,,,,,,0.0%,,
28,1996,1996-11-17,11,25.095,OAK,,MIN,L 13-16,,,,,,,0.0%,,
29,1996,1996-11-24,12,25.102,OAK,@,SEA,W 27-21,,,,,,,0.0%,,
30,1996,1996-12-01,13,25.109,OAK,,MIA,W 17-7,,,,,,,0.0%,,
31,1996,1996-12-09,14,25.117,OAK,,KAN,W 26-7,,,,,,,0.0%,,
32,1996,1996-12-15,15,25.123,OAK,@,DEN,L 19-24,,,,,,,0.0%,,
33,1996,1996-12-22,16,25.130,OAK,,SEA,L 21-28,,,,,,,0.0%,,
34,1997,1997-08-31,1,26.017,OAK,@,TEN,L 21-24,,,,,,,0.0%,,
35,1997,1997-09-08,2,26.025,OAK,,KAN,L 27-28,,,,,,,0.0%,,
