ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-09-11,1,23.032,JAX,,SEA,W 26-14,,1,2,2.00,0,0,0,0,,0,0.0%,,1,17,17.00,0,3,24,8.00,0,0,0,0.0,,
2,2005,2005-09-18,2,23.039,JAX,@,IND,L 3-10,,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,2,40,20.00,0,0,0,0.0,,
3,2005,2005-09-25,3,23.046,JAX,@,NYJ,W 26-20,,4,22,5.50,0,1,1,8,8.00,0,100.0%,8.00,0,0,,0,4,32,8.00,0,0,0,0.0,,
4,2005,2005-10-02,4,23.053,JAX,,DEN,L 7-20,,0,0,,0,4,4,42,10.50,0,100.0%,10.50,3,87,29.00,0,3,24,8.00,0,0,0,0.0,,
5,2005,2005-10-09,5,23.060,JAX,,CIN,W 23-20,,3,15,5.00,0,1,1,19,19.00,0,100.0%,19.00,0,0,,0,1,8,8.00,0,0,0,0.0,,
6,2005,2005-10-16,6,23.067,JAX,@,PIT,W 23-17,,15,22,1.47,0,5,5,35,7.00,0,100.0%,7.00,0,0,,0,3,15,5.00,0,0,0,0.0,,
7,2005,2005-10-30,7,23.081,JAX,@,STL,L 21-24,,1,45,45.00,0,2,2,-5,-2.50,0,100.0%,-2.50,0,0,,0,3,26,8.67,0,0,0,0.0,,
8,2005,2005-11-06,8,23.088,JAX,,HOU,W 21-14,,2,7,3.50,0,5,5,34,6.80,0,100.0%,6.80,0,0,,0,3,8,2.67,0,0,0,0.0,,
9,2005,2005-11-13,9,23.095,JAX,,BAL,W 30-3,,3,9,3.00,0,2,1,4,4.00,0,50.0%,2.00,0,0,,0,7,59,8.43,0,0,0,0.0,,
10,2005,2005-11-20,10,23.102,JAX,@,TEN,W 31-28,,1,3,3.00,0,2,2,18,9.00,0,100.0%,9.00,1,21,21.00,0,2,23,11.50,0,0,0,0.0,,
