ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,24.010,KAN,@,NOR,W 47-27,,,,,,,,,,,
2,1985,1985-09-12,2,24.014,KAN,,RAI,W 36-20,0,0,,0,0,0,,0,1,0,0
3,1985,1985-09-22,3,24.024,KAN,@,MIA,L 0-31,,,,,,,,,,,
4,1985,1985-09-29,4,24.031,KAN,,SEA,W 28-7,,,,,,,,,,,
5,1985,1985-10-06,5,24.038,KAN,@,RAI,L 10-19,,,,,,,,,,,
6,1985,1985-10-13,6,24.045,KAN,@,SDG,L 20-31,,,,,,,,,,,
7,1985,1985-10-20,7,24.052,KAN,,RAM,L 0-16,,,,,,,,,,,
8,1985,1985-10-27,8,24.059,KAN,,DEN,L 10-30,,,,,,,,,,,
9,1985,1985-11-03,9,24.066,KAN,@,HOU,L 20-23,,,,,,,,,,,
10,1985,1985-11-10,10,24.073,KAN,,PIT,L 28-36,,,,,,,,,,,
11,1985,1985-11-17,11,24.080,KAN,@,SFO,L 3-31,,,,,,,,,,,
12,1985,1985-11-24,12,24.087,KAN,,IND,W 20-7,,,,,,,,,,,
13,1985,1985-12-01,13,24.094,KAN,@,SEA,L 6-24,,,,,,,,,,,
14,1985,1985-12-08,14,24.101,KAN,,ATL,W 38-10,,,,,,,,,,,
15,1985,1985-12-14,15,24.107,KAN,@,DEN,L 13-14,0,0,,0,0,0,,0,1,0,0
16,1985,1985-12-22,16,24.115,KAN,,SDG,W 38-34,0,0,,0,0,0,,0,1,27,0
17,1986,1986-09-07,1,25.009,KAN,,CIN,W 24-14,0,0,,0,,,,,,,
18,1986,1986-09-14,2,25.016,KAN,@,SEA,L 17-23,0,0,,0,,,,,,,
19,1986,1986-09-21,3,25.023,KAN,,HOU,W 27-13,0,0,,0,0,0,,0,1,13,0
20,1986,1986-09-28,4,25.030,KAN,@,BUF,W 20-17,0,0,,0,,,,,,,
21,1986,1986-10-05,5,25.037,KAN,,RAI,L 17-24,0,0,,0,,,,,,,
22,1986,1986-10-12,6,25.044,KAN,@,CLE,L 7-20,0,0,,0,,,,,,,
23,1986,1986-10-19,7,25.051,KAN,,SDG,W 42-41,0,0,,0,,,,,,,
24,1986,1986-10-26,8,25.058,KAN,,TAM,W 27-20,0,0,,0,,,,,,,
25,1986,1986-11-02,9,25.065,KAN,@,SDG,W 24-23,0,0,,0,0,0,,0,1,10,0
26,1986,1986-11-09,10,25.072,KAN,,SEA,W 27-7,0,0,,0,,,,,,,
27,1986,1986-11-16,11,25.079,KAN,@,DEN,L 17-38,0,0,,0,,,,,,,
28,1986,1986-11-23,12,25.086,KAN,@,STL,L 14-23,0,0,,0,,,,,,,
29,1986,1986-11-30,13,25.093,KAN,,BUF,L 14-17,0,0,,0,,,,,,,
30,1986,1986-12-07,14,25.100,KAN,,DEN,W 37-10,0,0,,0,0,0,,0,1,9,0
31,1986,1986-12-14,15,25.107,KAN,@,RAI,W 20-17,1,23,23.00,0,0,0,,0,0,0,0
32,1986,1986-12-21,16,25.114,KAN,@,PIT,W 24-19,0,0,,0,,,,,,,
33,1987,1987-09-13,1,26.015,KAN,,SDG,W 20-13,,,,,0,0,,0,,,
34,1987,1987-09-20,2,26.022,KAN,@,SEA,L 14-43,,,,,0,0,,0,,,
35,1987,1987-10-25,6,26.057,KAN,@,SDG,L 21-42,,,,,0,0,,0,,,
36,1987,1987-11-01,7,26.064,KAN,@,CHI,L 28-31,,,,,0,0,,0,,,
37,1987,1987-11-08,8,26.071,KAN,,PIT,L 16-17,,,,,0,0,,0,,,
38,1987,1987-11-15,9,26.078,KAN,,NYJ,L 9-16,0,0,,0,1,0,0.00,0,0,0,0
39,1987,1987-11-22,10,26.085,KAN,,GNB,L 3-23,,,,,0,0,,0,,,
40,1987,1987-11-26,11,26.089,KAN,@,DET,W 27-20,,,,,0,0,,0,,,
41,1987,1987-12-06,12,26.099,KAN,@,CIN,L 27-30,,,,,0,0,,0,,,
42,1987,1987-12-13,13,26.106,KAN,,RAI,W 16-10,,,,,0,0,,0,,,
43,1987,1987-12-19,14,26.112,KAN,@,DEN,L 17-20,,,,,0,0,,0,,,
44,1987,1987-12-27,15,26.120,KAN,,SEA,W 41-20,,,,,0,0,,0,,,
45,1988,1988-09-18,3,27.020,BUF,@,NWE,W 16-14,,,,,,,,,,,
46,1988,1988-10-02,5,27.034,BUF,@,CHI,L 3-24,,,,,,,,,,,
47,1988,1988-10-09,6,27.041,BUF,,IND,W 34-23,0,0,,0,0,0,,0,1,17,0
48,1988,1988-10-17,7,27.049,BUF,@,NYJ,W 37-14,,,,,,,,,,,
