ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2015,2015-09-14,1,20.320,MIN,@,SFO,L 3-20,,0,0,,0,,0,0,0.0,1,0
2,2015,2015-10-04,4,20.340,MIN,@,DEN,L 20-23,,0,0,,0,,0,0,0.0,0,0
3,2015,2015-10-18,5,20.354,MIN,,KAN,W 16-10,*,0,0,,0,,0,0,0.5,3,1
4,2015,2015-10-25,6,20.361,MIN,@,DET,W 28-19,,0,0,,0,,0,0,0.0,0,0
5,2015,2015-11-01,7,21.003,MIN,@,CHI,W 23-20,,0,0,,0,,0,0,1.0,1,0
6,2015,2015-11-08,8,21.010,MIN,,STL,W 21-18,,0,0,,0,,0,0,0.0,1,1
7,2015,2015-11-15,9,21.017,MIN,@,OAK,W 30-14,,0,0,,0,,0,0,1.0,2,0
8,2015,2015-11-22,10,21.024,MIN,,GNB,L 13-30,,0,0,,0,,0,0,0.0,3,0
9,2015,2015-11-29,11,21.031,MIN,@,ATL,W 20-10,,0,0,,0,,0,0,0.0,1,0
10,2015,2015-12-06,12,21.038,MIN,,SEA,L 7-38,,0,0,,0,,0,0,0.0,3,0
11,2015,2015-12-10,13,21.042,MIN,@,ARI,L 20-23,,0,0,,0,,0,0,1.0,2,1
12,2015,2015-12-20,14,21.052,MIN,,CHI,W 38-17,,0,0,,0,,0,0,1.5,5,1
13,2015,2015-12-27,15,21.059,MIN,,NYG,W 49-17,,1,10,10.00,0,,0,0,1.0,2,0
14,2015,2016-01-03,16,21.066,MIN,@,GNB,W 20-13,,0,0,,0,,0,0,0.0,1,0
15,2016,2016-09-11,1,21.318,MIN,@,TEN,W 25-16,,0,0,,0,,1,6,1.0,3,0
16,2016,2016-09-18,2,21.325,MIN,,GNB,W 17-14,,0,0,,0,,0,0,1.0,3,1
17,2016,2016-09-25,3,21.332,MIN,@,CAR,W 22-10,,0,0,,0,1,0,2,1.0,1,4
18,2016,2016-10-03,4,21.340,MIN,,NYG,W 24-10,,0,0,,0,,0,0,0.0,2,0
19,2016,2016-10-09,5,21.346,MIN,,HOU,W 31-13,,0,0,,0,,0,0,1.0,1,2
20,2016,2016-10-23,6,21.360,MIN,@,PHI,L 10-21,,0,0,,0,,0,0,0.0,3,0
21,2016,2016-10-31,7,22.002,MIN,@,CHI,L 10-20,,0,0,,0,,0,0,0.0,1,1
22,2016,2016-11-06,8,22.008,MIN,,DET,L 16-22,,0,0,,0,,0,0,0.0,0,1
23,2016,2016-11-13,9,22.015,MIN,@,WAS,L 20-26,,0,0,,0,,0,0,1.0,1,2
24,2016,2016-11-20,10,22.022,MIN,,ARI,W 30-24,,0,0,,0,,0,0,2.0,2,0
25,2016,2016-11-24,11,22.026,MIN,@,DET,L 13-16,,0,0,,0,,0,0,0.5,0,2
26,2016,2016-12-01,12,22.033,MIN,,DAL,L 15-17,,0,0,,0,,0,0,2.0,3,3
27,2016,2016-12-11,13,22.043,MIN,@,JAX,W 25-16,,0,0,,0,,0,0,1.0,5,1
28,2016,2016-12-18,14,22.050,MIN,,IND,L 6-34,,0,0,,0,,0,0,0.0,1,0
29,2016,2016-12-24,15,22.056,MIN,@,GNB,L 25-38,,0,0,,0,,0,0,1.5,5,1
30,2016,2017-01-01,16,22.064,MIN,,CHI,W 38-10,,0,0,,0,,0,0,0.5,1,4
31,2017,2017-09-11,1,22.317,MIN,,NOR,W 29-19,*,0,0,,0,,0,0,0.0,0,1
32,2017,2017-09-17,2,22.323,MIN,@,PIT,L 9-26,*,0,0,,0,,0,0,0.0,0,4
33,2017,2017-09-24,3,22.330,MIN,,TAM,W 34-17,*,0,0,,0,,0,0,0.0,1,2
34,2017,2017-10-01,4,22.337,MIN,,DET,L 7-14,*,0,0,,0,,0,0,2.0,3,2
35,2017,2017-10-09,5,22.345,MIN,@,CHI,W 20-17,*,0,0,,0,,0,0,0.0,2,0
36,2017,2017-10-15,6,22.351,MIN,,GNB,W 23-10,*,0,0,,0,,0,0,0.0,1,1
37,2017,2017-10-22,7,22.358,MIN,,BAL,W 24-16,*,0,0,,0,,0,0,1.0,1,1
38,2017,2017-10-29,8,23.000,MIN,@,CLE,W 33-16,*,0,0,,0,,0,0,0.0,1,0
39,2017,2017-11-12,9,23.014,MIN,@,WAS,W 38-30,*,0,0,,0,,0,0,1.0,4,0
40,2017,2017-11-19,10,23.021,MIN,,LAR,W 24-7,*,0,0,,0,,0,0,1.0,1,2
41,2017,2017-11-23,11,23.025,MIN,@,DET,W 30-23,*,0,0,,0,,0,0,1.0,2,0
42,2017,2017-12-03,12,23.035,MIN,@,ATL,W 14-9,*,0,0,,0,,0,0,0.0,0,1
43,2017,2017-12-10,13,23.042,MIN,@,CAR,L 24-31,*,0,0,,0,,0,0,0.0,4,1
44,2017,2017-12-17,14,23.049,MIN,,CIN,W 34-7,*,0,0,,0,,0,0,1.0,1,2
45,2017,2017-12-23,15,23.055,MIN,@,GNB,W 16-0,*,0,0,,0,,0,0,0.0,3,1
46,2017,2017-12-31,16,23.063,MIN,,CHI,W 23-10,*,0,0,,0,,0,0,0.0,3,0
47,2018,2018-09-09,1,23.315,MIN,,SFO,W 24-16,*,0,0,,0,,0,0,1.0,4,0
48,2018,2018-09-16,2,23.322,MIN,@,GNB,T 29-29,*,0,0,,0,,0,0,1.0,5,1
49,2018,2018-09-23,3,23.329,MIN,,BUF,L 6-27,*,0,0,,0,,0,0,1.0,5,0
50,2018,2018-09-27,4,23.333,MIN,@,LAR,L 31-38,*,0,0,,0,,0,0,1.0,3,3
