ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1991,1991-09-08,2,23.038,NWE,,CLE,L 0-20,,1,11,11.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1991,1991-09-15,3,23.045,NWE,@,PIT,L 6-20,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
3,1991,1991-09-29,5,23.059,NWE,@,PHO,L 10-24,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
4,1991,1991-10-06,6,23.066,NWE,,MIA,L 10-20,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
5,1991,1991-10-20,7,23.080,NWE,,MIN,W 26-23,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
6,1991,1991-11-03,9,23.094,NWE,@,BUF,L 17-22,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
7,1991,1991-12-08,14,23.129,NWE,,IND,W 23-17,,2,34,17.00,0,,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1991,1991-12-15,15,23.136,NWE,@,NYJ,W 6-3,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
9,1991,1991-12-22,16,23.143,NWE,@,CIN,L 7-29,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,
10,1992,1992-09-06,1,24.036,NYJ,@,ATL,L 17-20,7,6,109,18.17,0,85.7%,15.57,0,0,,0,0,0,,0,0,0,,0,,,,3,18,6.00,0,0,0
11,1992,1992-09-13,2,24.043,NYJ,@,PIT,L 10-27,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,2,10,5.00,0,0,0
