ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,def_int,def_int_yds,def_int_td
1,1970,1970-09-20,1,23.100,DAL,@,PHI,W 17-7,,,,,,,,,,,
2,1970,1970-09-27,2,23.107,DAL,,NYG,W 28-10,,,,,,,,,,,
3,1970,1970-10-04,3,23.114,DAL,@,STL,L 7-20,,,,,,,,,,,
4,1970,1970-10-11,4,23.121,DAL,,ATL,W 13-0,,,,,,,,,,,
5,1970,1970-10-18,5,23.128,DAL,@,MIN,L 13-54,1,14,14.00,0,1,15,15.00,0,0,0,0
6,1970,1970-10-25,6,23.135,DAL,@,KAN,W 27-16,,,,,,,,,,,
7,1970,1970-11-01,7,23.142,DAL,,PHI,W 21-17,,,,,,,,,,,
8,1970,1970-11-08,8,23.149,DAL,@,NYG,L 20-23,,,,,,,,,,,
9,1970,1970-11-16,9,23.157,DAL,,STL,L 0-38,0,0,,0,1,17,17.00,0,0,0,0
10,1970,1970-11-22,10,23.163,DAL,@,WAS,W 45-21,,,,,,,,,,,
11,1970,1970-11-26,11,23.167,DAL,,GNB,W 16-3,,,,,,,,,,,
12,1970,1970-12-06,12,23.177,DAL,,WAS,W 34-0,,,,,,,,,,,
13,1970,1970-12-12,13,23.183,DAL,@,CLE,W 6-2,0,0,,0,1,18,18.00,0,0,0,0
14,1970,1970-12-20,14,23.191,DAL,,HOU,W 52-10,0,0,,0,0,0,,0,1,28,0
15,1971,1971-09-19,1,24.099,NWE,,OAK,W 20-6,,,,,,,,,,,
16,1971,1971-09-26,2,24.106,NWE,,DET,L 7-34,,,,,,,,,,,
17,1971,1971-10-03,3,24.113,NWE,,BAL,L 3-23,,,,,,,,,,,
18,1971,1971-10-10,4,24.120,NWE,,NYJ,W 20-0,,,,,,,,,,,
19,1971,1971-10-17,5,24.127,NWE,@,MIA,L 3-41,,,,,,,,,,,
20,1971,1971-10-24,6,24.134,NWE,@,DAL,L 21-44,,,,,,,,,,,
21,1971,1971-10-31,7,24.141,NWE,@,SFO,L 10-27,0,0,,0,0,0,,0,1,14,0
22,1971,1971-11-07,8,24.148,NWE,,HOU,W 28-20,0,0,,0,0,0,,0,1,11,0
23,1971,1971-11-14,9,24.155,NWE,,BUF,W 38-33,,,,,,,,,,,
