ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2012,2012-12-09,13,23.048,SFO,,MIA,W 27-13,,8,30,3.75,0,1,1,15,15.00,0,100.0%,15.00,3,79,26.33,0,0,0,,0
2,2012,2012-12-16,14,23.055,SFO,@,NWE,W 41-34,,8,31,3.88,0,2,0,0,,0,0.0%,0.00,4,133,33.25,0,0,0,,0
3,2012,2012-12-23,15,23.062,SFO,@,SEA,L 13-42,,4,15,3.75,0,2,2,14,7.00,0,100.0%,7.00,6,172,28.67,0,0,0,,0
4,2012,2012-12-30,16,23.069,SFO,,ARI,W 27-13,,7,49,7.00,0,0,0,0,,0,0.0%,,1,33,33.00,0,0,0,,0
5,2013,2013-09-26,4,23.339,SFO,@,STL,W 35-11,,3,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
6,2013,2013-10-06,5,23.349,SFO,,HOU,W 34-3,,4,31,7.75,0,0,0,0,,0,0.0%,,1,29,29.00,0,0,0,,0
7,2013,2013-11-10,9,24.019,SFO,,CAR,L 9-10,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,,0,3,35,11.67,0
8,2013,2013-11-17,10,24.026,SFO,@,NOR,L 20-23,,2,7,3.50,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,2,23,11.50,0
9,2013,2013-11-25,11,24.034,SFO,@,WAS,W 27-6,,0,0,,0,1,0,0,,0,0.0%,0.00,2,53,26.50,0,5,72,14.40,0
10,2013,2013-12-01,12,24.040,SFO,,STL,W 23-13,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,2,5,2.50,0
11,2013,2013-12-08,13,24.047,SFO,,SEA,W 19-17,,0,0,,0,0,0,0,,0,0.0%,,3,81,27.00,0,1,0,0.00,0
12,2013,2013-12-15,14,24.054,SFO,@,TAM,W 33-14,,2,22,11.00,0,0,0,0,,0,0.0%,,1,23,23.00,0,5,51,10.20,0
13,2013,2013-12-23,15,24.062,SFO,,ATL,W 34-24,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,2,20,10.00,0
14,2013,2013-12-29,16,24.068,SFO,@,ARI,W 23-20,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,2,62,31.00,0,3,45,15.00,0
15,2014,2014-09-07,1,24.320,SFO,@,DAL,W 28-17,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
16,2014,2014-11-23,11,25.032,MIA,@,DEN,L 36-39,,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
17,2014,2014-12-21,15,25.060,MIA,,MIN,W 37-35,,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
18,2015,2015-09-13,1,25.326,MIA,@,WAS,W 17-10,,0,0,,0,0,0,0,,0,0.0%,,2,54,27.00,0,0,0,,0
