ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1993,1993-09-26,3,22.267,TAM,@,CHI,L 17-47,4,2,22,11.00,0,50.0%,5.50,0,0,,0,0,0
2,1993,1993-10-03,4,22.274,TAM,,DET,W 27-10,3,1,49,49.00,0,33.3%,16.33,0,0,,0,0,0
3,1993,1993-10-10,5,22.281,TAM,@,MIN,L 0-15,3,0,0,,0,0.0%,0.00,0,0,,0,0,
4,1993,1993-10-24,6,22.295,TAM,,GNB,L 14-37,4,2,93,46.50,2,50.0%,23.25,1,22,22.00,0,2,12
5,1993,1993-10-31,7,22.302,TAM,@,ATL,W 31-24,2,2,104,52.00,2,100.0%,52.00,0,0,,0,2,12
6,1993,1993-11-07,8,22.309,TAM,@,DET,L 0-23,3,1,23,23.00,0,33.3%,7.67,0,0,,0,0,0
7,1993,1993-11-14,9,22.316,TAM,,SFO,L 21-45,5,3,71,23.67,0,60.0%,14.20,1,4,4.00,0,0,0
8,1993,1993-11-21,10,22.323,TAM,,MIN,W 23-10,4,2,35,17.50,0,50.0%,8.75,1,8,8.00,0,0,0
9,1993,1993-11-28,11,22.330,TAM,@,GNB,L 10-13,6,0,0,,0,0.0%,0.00,0,0,,0,0,
10,1993,1993-12-05,12,22.337,TAM,,WAS,L 17-23,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0
11,1993,1993-12-12,13,22.344,TAM,,CHI,W 13-10,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0
12,1993,1993-12-19,14,22.351,TAM,@,RAI,L 20-27,8,5,74,14.80,0,62.5%,9.25,0,0,,0,0,0
13,1993,1993-12-26,15,22.358,TAM,@,DEN,W 17-10,6,1,21,21.00,0,16.7%,3.50,0,0,,0,0,0
