ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1954,1954-10-17,4,25.356,CHI,,SFO,L 24-31,,1,3,33.33,40,0,1,42.4,0,0,13.33,-1.67,2,0,0.00,0,0,0,,0,,,,,,,0,,,,,
2,1954,1954-10-31,6,26.005,CHI,@,SFO,W 31-27,,1,1,100.00,66,1,0,158.3,0,0,66.00,86.00,0,0,,0,0,0,,0,,,,,,,0,,,,,
3,1954,1954-11-14,8,26.019,CHI,,CLE,L 10-39,,0,0,,0,0,,,,,,,1,-10,-10.00,0,0,0,,0,,,,,,,0,,,,,
4,1954,1954-11-21,9,26.026,CHI,@,BAL,W 28-13,,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,2,13,6.50,0,0,0,,0,,,,,,,0,,,,,
5,1954,1954-11-28,10,26.033,CHI,,RAM,W 24-13,,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0,,0,,,,,,,0,,,,,
6,1954,1954-12-05,11,26.040,CHI,@,CRD,W 29-7,,4,7,57.14,130,1,0,141.4,0,0,18.57,21.43,1,6,6.00,0,0,0,,0,,,,,,,0,,,,,
7,1954,1954-12-12,12,26.047,CHI,,DET,W 28-24,,3,3,100.00,38,1,0,158.3,0,0,12.67,19.33,3,27,9.00,0,0,0,,0,,,,,,,0,,,,,
8,1955,1955-09-25,1,26.334,CHI,@,BAL,L 17-23,*,11,21,52.38,141,0,2,34.1,0,0,6.71,2.43,6,10,1.67,0,0,0,,0,,,,,,,0,,,,,
9,1955,1955-10-02,2,26.341,CHI,@,GNB,L 3-24,*,5,16,31.25,93,0,4,12.8,0,0,5.81,-5.44,5,12,2.40,0,0,0,,0,,,,,,,0,,,,,
10,1955,1955-10-09,3,26.348,CHI,,SFO,L 19-20,*,12,22,54.55,169,0,0,79.5,0,0,7.68,7.68,3,5,1.67,0,0,0,,0,,,,,,,0,,,,,
11,1955,1955-10-16,4,26.355,CHI,,BAL,W 38-10,*,1,3,33.33,14,0,0,49.3,0,0,4.67,4.67,1,0,0.00,0,0,0,,0,,,,,,,0,,,,,
12,1955,1955-10-23,5,26.362,CHI,@,SFO,W 34-23,*,13,18,72.22,157,1,1,94.0,0,0,8.72,7.33,9,67,7.44,2,0,0,,0,,,,,,,2,,,,,
13,1955,1955-10-30,6,27.004,CHI,@,RAM,W 31-20,*,7,12,58.33,157,1,1,95.8,0,0,13.08,11.00,3,15,5.00,0,0,0,,0,,,,,,,0,,,,,
