ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,def_int,def_int_yds,def_int_td
1,1999,1999-09-12,1,21.363,MIN,@,ATL,W 17-14,,,,,
2,1999,1999-09-19,2,22.005,MIN,,OAK,L 17-22,,,,,
3,1999,1999-09-26,3,22.012,MIN,@,GNB,L 20-23,*,,,,
4,1999,1999-10-03,4,22.019,MIN,,TAM,W 21-14,,,,,
5,1999,1999-10-10,5,22.026,MIN,,CHI,L 22-24,,,,,
6,1999,1999-10-17,6,22.033,MIN,@,DET,L 23-25,*,,,,
7,1999,1999-10-24,7,22.040,MIN,,SFO,W 40-16,*,,,,
8,1999,1999-10-31,8,22.047,MIN,@,DEN,W 23-20,*,,,,
9,1999,1999-11-08,9,22.055,MIN,,DAL,W 27-17,*,,,,
10,1999,1999-11-14,10,22.061,MIN,@,CHI,W 27-24,*,,,,
11,1999,1999-11-28,11,22.075,MIN,,SDG,W 35-27,*,,,,
12,1999,1999-12-06,12,22.083,MIN,@,TAM,L 17-24,*,,,,
13,1999,1999-12-12,13,22.089,MIN,@,KAN,L 28-31,*,,,,
14,1999,1999-12-20,14,22.097,MIN,,GNB,W 24-20,*,0.0,1,11,0
15,1999,1999-12-26,15,22.103,MIN,@,NYG,W 34-17,*,,,,
16,1999,2000-01-02,16,22.110,MIN,,DET,W 24-17,*,,,,
17,2000,2000-09-03,1,22.355,MIN,,CHI,W 30-27,,,,,
18,2000,2000-09-10,2,22.362,MIN,,MIA,W 13-7,,,,,
19,2000,2000-09-17,3,23.003,MIN,@,NWE,W 21-13,,,,,
20,2000,2000-10-01,4,23.017,MIN,@,DET,W 31-24,,,,,
21,2000,2000-10-09,5,23.025,MIN,,TAM,W 30-23,,,,,
22,2000,2000-10-15,6,23.031,MIN,@,CHI,W 28-16,,,,,
23,2000,2000-10-22,7,23.038,MIN,,BUF,W 31-27,,,,,
24,2000,2000-10-29,8,23.045,MIN,@,TAM,L 13-41,,,,,
25,2000,2000-11-06,9,23.053,MIN,@,GNB,L 20-26,*,,,,
26,2000,2000-11-12,10,23.059,MIN,,ARI,W 31-14,*,,,,
