ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2014,2014-09-29,4,22.238,NWE,@,KAN,L 14-41,,3,3,15,5.00,0,100.0%,5.00,3,21,7.00,0,0,0,,0,0,0
2,2014,2014-10-26,8,22.265,NWE,,CHI,W 51-23,,0,0,0,,0,0.0%,,6,17,2.83,0,0,0,,0,0,0
3,2014,2014-12-28,16,22.328,NWE,,BUF,L 9-17,,2,2,8,4.00,0,100.0%,4.00,0,0,,0,0,0,,0,0,0
4,2015,2015-09-10,1,23.219,NWE,,PIT,W 28-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
5,2015,2015-09-27,3,23.236,NWE,,JAX,W 51-17,,4,4,26,6.50,0,100.0%,6.50,2,8,4.00,0,0,0,,0,0,0
6,2015,2015-10-11,4,23.250,NWE,@,DAL,W 30-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
7,2015,2015-10-18,5,23.257,NWE,@,IND,W 34-27,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
8,2015,2015-10-25,6,23.264,NWE,,NYJ,W 30-23,*,5,3,26,8.67,0,60.0%,5.20,2,4,2.00,0,0,0,,0,0,0
9,2015,2015-10-29,7,23.268,NWE,,MIA,W 36-7,,0,0,0,,0,0.0%,,3,3,1.00,0,0,0,,0,0,0
10,2015,2015-11-15,9,23.285,NWE,@,NYG,W 27-26,,1,1,6,6.00,0,100.0%,6.00,1,5,5.00,0,0,0,,0,0,0
11,2015,2015-11-23,10,23.293,NWE,,BUF,W 20-13,,3,2,32,16.00,1,66.7%,10.67,2,14,7.00,1,0,0,,0,2,12
12,2015,2015-11-29,11,23.299,NWE,@,DEN,L 24-30,,5,2,5,2.50,0,40.0%,1.00,3,1,0.33,0,0,0,,0,0,0
13,2015,2015-12-06,12,23.306,NWE,,PHI,L 28-35,,13,10,115,11.50,1,76.9%,8.85,2,4,2.00,0,0,0,,0,1,6
14,2015,2015-12-13,13,23.313,NWE,@,HOU,W 27-6,,6,4,38,9.50,0,66.7%,6.33,1,2,2.00,1,0,0,,0,1,6
15,2015,2015-12-20,14,23.320,NWE,,TEN,W 33-16,,8,7,71,10.14,1,87.5%,8.88,1,6,6.00,0,0,0,,0,1,6
16,2015,2015-12-27,15,23.327,NWE,@,NYJ,L 20-26,,5,5,28,5.60,1,100.0%,5.60,2,4,2.00,0,0,0,,0,1,6
17,2015,2016-01-03,16,23.334,NWE,@,MIA,L 10-20,,3,2,63,31.50,0,66.7%,21.00,3,5,1.67,0,0,0,,0,0,0
18,2016,2016-09-11,1,24.221,NWE,@,ARI,W 23-21,,7,5,40,8.00,0,71.4%,5.71,1,4,4.00,0,0,0,,0,0,0
19,2016,2016-09-18,2,24.228,NWE,,MIA,W 31-24,,4,2,10,5.00,0,50.0%,2.50,4,19,4.75,0,0,0,,0,0,0
20,2016,2016-09-22,3,24.232,NWE,,HOU,W 27-0,,2,1,2,2.00,0,50.0%,1.00,3,12,4.00,0,0,0,,0,0,0
21,2016,2016-10-02,4,24.242,NWE,,BUF,L 0-16,,5,5,50,10.00,0,100.0%,10.00,4,12,3.00,0,0,0,,0,0,0
22,2016,2016-10-09,5,24.249,NWE,@,CLE,W 33-13,,6,4,63,15.75,0,66.7%,10.50,5,26,5.20,0,0,0,,0,0,0
23,2016,2016-10-16,6,24.256,NWE,,CIN,W 35-17,,9,8,47,5.88,2,88.9%,5.22,7,19,2.71,0,0,0,,0,2,12
24,2016,2016-10-23,7,24.263,NWE,@,PIT,W 27-16,,5,2,32,16.00,1,40.0%,6.40,0,0,,0,0,0,,0,1,6
25,2016,2016-10-30,8,24.270,NWE,@,BUF,W 41-25,*,5,2,14,7.00,0,40.0%,2.80,2,15,7.50,0,0,0,,0,0,0
26,2016,2016-11-13,9,24.284,NWE,,SEA,L 24-31,*,4,4,32,8.00,0,100.0%,8.00,2,5,2.50,0,0,0,,0,0,0
27,2016,2016-11-20,10,24.291,NWE,@,SFO,W 30-17,,6,6,63,10.50,1,100.0%,10.50,0,0,,0,0,0,,0,1,6
28,2016,2016-11-27,11,24.298,NWE,@,NYJ,W 22-17,*,9,4,22,5.50,0,44.4%,2.44,0,0,,0,0,0,,0,0,0
29,2016,2016-12-04,12,24.305,NWE,,LAR,W 26-10,*,5,4,18,4.50,0,80.0%,3.60,3,17,5.67,0,1,10,10.00,0,0,0
30,2016,2016-12-12,13,24.313,NWE,,BAL,W 30-23,,3,3,81,27.00,0,100.0%,27.00,2,3,1.50,0,1,18,18.00,0,0,0
31,2016,2016-12-18,14,24.319,NWE,@,DEN,W 16-3,,8,3,24,8.00,0,37.5%,3.00,3,11,3.67,0,0,0,,0,0,0
32,2016,2016-12-24,15,24.325,NWE,,NYJ,W 41-3,,4,3,32,10.67,1,75.0%,8.00,1,14,14.00,0,0,0,,0,1,6
33,2016,2017-01-01,16,24.333,NWE,@,MIA,W 35-14,,4,4,21,5.25,0,100.0%,5.25,2,9,4.50,0,0,0,,0,0,0
34,2017,2017-09-07,1,25.216,NWE,,KAN,L 27-42,,5,3,30,10.00,0,60.0%,6.00,10,38,3.80,0,0,0,,0,0,0
35,2017,2017-09-17,2,25.226,NWE,@,NOR,W 36-20,,8,8,85,10.63,0,100.0%,10.63,2,11,5.50,0,0,0,,0,0,0
36,2017,2017-09-24,3,25.233,NWE,,HOU,W 36-33,,1,1,11,11.00,0,100.0%,11.00,5,17,3.40,0,0,0,,0,0,0
37,2017,2017-10-01,4,25.240,NWE,,CAR,L 30-33,*,12,10,47,4.70,0,83.3%,3.92,1,7,7.00,0,0,0,,0,0,0
38,2017,2017-10-05,5,25.244,NWE,@,TAM,W 19-14,,9,7,57,8.14,0,77.8%,6.33,2,3,1.50,0,0,0,,0,0,0
39,2017,2017-10-15,6,25.254,NWE,@,NYJ,W 24-17,,7,4,22,5.50,0,57.1%,3.14,3,23,7.67,0,0,0,,0,0,0
40,2017,2017-10-22,7,25.261,NWE,,ATL,W 23-7,,5,5,28,5.60,1,100.0%,5.60,4,19,4.75,0,0,0,,0,1,6
41,2017,2017-10-29,8,25.268,NWE,,LAC,W 21-13,,6,5,85,17.00,0,83.3%,14.17,1,2,2.00,0,0,0,,0,0,0
42,2017,2017-11-12,9,25.282,NWE,@,DEN,W 41-16,,3,3,11,3.67,1,100.0%,3.67,2,7,3.50,0,0,0,,0,1,6
43,2017,2017-11-19,10,25.289,NWE,@,OAK,W 33-8,,1,0,0,,0,0.0%,0.00,5,13,2.60,0,0,0,,0,0,0
44,2017,2017-11-26,11,25.296,NWE,,MIA,W 35-17,*,2,1,2,2.00,0,50.0%,1.00,3,13,4.33,0,0,0,,0,0,0
45,2017,2017-12-03,12,25.303,NWE,@,BUF,W 23-3,*,6,4,32,8.00,0,66.7%,5.33,5,18,3.60,0,0,0,,0,0,0
46,2017,2017-12-11,13,25.311,NWE,@,MIA,L 20-27,*,4,3,11,3.67,1,75.0%,2.75,0,0,,0,0,0,,0,1,6
47,2017,2017-12-17,14,25.317,NWE,@,PIT,W 27-24,,3,2,8,4.00,0,66.7%,2.67,0,0,,0,0,0,,0,0,0
48,2018,2018-09-09,1,26.218,NWE,,HOU,W 27-20,,9,4,38,9.50,1,44.4%,4.22,5,18,3.60,0,0,0,,0,1,6
49,2018,2018-09-16,2,26.225,NWE,@,JAX,L 20-31,,8,7,73,10.43,0,87.5%,9.13,4,11,2.75,0,0,0,,0,0,0
50,2018,2018-09-23,3,26.232,NWE,@,DET,L 10-26,,3,3,14,4.67,1,100.0%,4.67,4,37,9.25,0,0,0,,0,1,6
