ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1974,1974-09-15,1,22.237,HOU,,SDG,W 21-14,1,35,35.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
2,1974,1974-09-22,2,22.244,HOU,@,CLE,L 7-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,44,44.00,0,5,104,20.80,0,0,0
3,1974,1974-09-29,3,22.251,HOU,,KAN,L 7-17,4,57,14.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,86,28.67,0,3,23,7.67,0,0,0
4,1974,1974-10-06,4,22.258,HOU,,PIT,L 7-13,0,0,,0,2,38,19.00,1,0,0,,0,0,0,,0,0,,,2,47,23.50,0,1,37,37.00,0,1,6
5,1974,1974-10-13,5,22.265,HOU,@,MIN,L 10-51,3,52,17.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,57,19.00,0,1,3,3.00,0,0,0
6,1974,1974-10-20,6,22.272,HOU,,STL,L 27-31,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,144,36.00,0,3,32,10.67,0,0,0
7,1974,1974-10-27,7,22.279,HOU,@,CIN,W 34-21,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,62,31.00,0,0,0
8,1974,1974-11-03,8,22.286,HOU,@,NYJ,W 27-22,4,50,12.50,1,0,0,,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,2,28,14.00,0,1,6
9,1974,1974-11-10,9,22.293,HOU,@,BUF,W 21-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,108,27.00,0,1,13,13.00,0,0,0
10,1974,1974-11-17,10,22.300,HOU,,CIN,W 20-3,4,61,15.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,63,31.50,0,2,21,10.50,0,0,0
11,1974,1974-11-24,11,22.307,HOU,,DAL,L 0-10,2,6,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,3,11,3.67,0,0,0
12,1974,1974-12-01,12,22.314,HOU,@,PIT,W 13-10,1,1,1.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,77,25.67,0,4,36,9.00,0,0,0
13,1974,1974-12-08,13,22.321,HOU,@,DEN,L 14-37,6,97,16.17,0,1,25,25.00,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,0,0,,0,0,0
14,1974,1974-12-15,14,22.328,HOU,,CLE,W 28-24,3,20,6.67,1,1,3,3.00,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,3,39,13.00,0,1,6
15,1975,1975-09-21,1,23.243,HOU,@,NWE,W 7-0,3,32,10.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,16,8.00,0,0,0
16,1975,1975-09-28,2,23.250,HOU,,SDG,W 33-17,4,57,14.25,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,4,1,0.25,0,0,0
17,1975,1975-10-05,3,23.257,HOU,,CIN,L 19-21,2,19,9.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,136,34.00,0,6,127,21.17,1,1,6
18,1975,1975-10-12,4,23.264,HOU,@,CLE,W 40-10,3,37,12.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,81,81.00,1,1,3,3.00,0,1,6
19,1975,1975-10-19,5,23.271,HOU,,WAS,W 13-10,5,54,10.80,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,44,22.00,0,3,28,9.33,0,0,0
20,1975,1975-10-26,6,23.278,HOU,,DET,W 24-8,4,53,13.25,1,1,-12,-12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,52,52.00,1,2,12
21,1975,1975-11-02,7,23.285,HOU,@,KAN,W 17-13,1,-3,-3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,4,91,22.75,0,0,0
22,1975,1975-11-09,8,23.292,HOU,@,PIT,L 17-24,3,55,18.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,99,24.75,0,1,14,14.00,0,0,0
23,1975,1975-11-16,9,23.299,HOU,,MIA,W 20-19,2,10,5.00,0,1,19,19.00,0,0,0,,0,0,0,,0,0,,,3,70,23.33,0,2,99,49.50,1,1,6
24,1975,1975-11-24,10,23.307,HOU,,PIT,L 9-32,1,3,3.00,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,4,63,15.75,0,2,10,5.00,0,0,0
25,1975,1975-11-30,11,23.313,HOU,@,CIN,L 19-23,3,21,7.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,67,16.75,0,2,8,4.00,0,0,0
26,1975,1975-12-07,12,23.320,HOU,@,SFO,W 27-13,2,3,1.50,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,2,39,19.50,0,5,113,22.60,0,0,0
27,1975,1975-12-14,13,23.327,HOU,@,OAK,W 27-26,3,37,12.33,0,1,9,9.00,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,1,4,4.00,0,0,0
28,1975,1975-12-21,14,23.334,HOU,,CLE,W 21-10,1,15,15.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,74,24.67,0,6,46,7.67,0,0,0
29,1976,1976-09-12,1,24.235,HOU,,TAM,W 20-0,5,41,8.20,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,7,76,10.86,0,0,0
30,1976,1976-09-19,2,24.242,HOU,@,BUF,W 13-3,2,8,4.00,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,,,3,42,14.00,0,5,48,9.60,0,0,0
31,1976,1976-09-26,3,24.249,HOU,,OAK,L 13-14,3,16,5.33,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,12,12.00,0,3,25,8.33,0,0,0
32,1976,1976-10-03,4,24.256,HOU,@,NOR,W 31-26,4,35,8.75,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,60,20.00,0,3,65,21.67,0,1,6
33,1976,1976-10-10,5,24.263,HOU,,DEN,W 17-3,5,38,7.60,0,1,-4,-4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,26,6.50,0,0,0
