ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result
1,1984,1984-09-23,4,24.140,HOU,@,ATL,L 10-42
2,1984,1984-09-30,5,24.147,HOU,,NOR,L 10-27
3,1984,1984-10-07,6,24.154,HOU,@,CIN,L 3-13
4,1984,1984-10-14,7,24.161,HOU,@,MIA,L 10-28
5,1984,1984-10-21,8,24.168,HOU,,SFO,L 21-34
6,1984,1984-10-28,9,24.175,HOU,,CIN,L 13-31
7,1984,1984-11-04,10,24.182,HOU,@,PIT,L 7-35
8,1984,1984-11-11,11,24.189,HOU,@,KAN,W 17-16
