ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1990,1990-09-09,1,22.300,TAM,@,DET,W 38-21,,5,5,100.0,1,1,100.0,0,8,0,0,,0
2,1990,1990-09-16,2,22.307,TAM,,RAM,L 14-35,,2,2,100.0,,1,0.0,0,2,0,0,,0
3,1990,1990-09-23,3,22.314,TAM,,DET,W 23-20,,2,2,100.0,3,3,100.0,0,11,0,0,,0
4,1990,1990-09-30,4,22.321,TAM,@,MIN,W 23-20,,2,2,100.0,3,3,100.0,0,11,0,0,,0
5,1990,1990-10-07,5,22.328,TAM,@,DAL,L 10-14,,1,1,100.0,1,1,100.0,0,4,0,0,,0
6,1990,1990-10-14,6,22.335,TAM,,GNB,W 26-14,,2,2,100.0,4,4,100.0,0,14,0,0,,0
7,1990,1990-10-21,7,22.342,TAM,,DAL,L 13-17,,1,1,100.0,2,3,66.7,0,7,0,0,,0
8,1990,1990-10-28,8,22.349,TAM,@,SDG,L 10-41,,1,1,100.0,1,1,100.0,0,4,0,0,,0
9,1990,1990-11-04,9,22.356,TAM,,CHI,L 6-26,,,,,,,,,,,,,
10,1990,1990-11-11,10,22.363,TAM,@,NOR,L 7-35,,1,1,100.0,,,,0,1,,,,
11,1990,1990-11-18,11,23.005,TAM,@,SFO,L 7-31,,1,1,100.0,,1,0.0,0,1,0,0,,0
12,1990,1990-11-25,12,23.012,TAM,@,GNB,L 10-20,,1,1,100.0,1,1,100.0,0,4,0,0,,0
13,1990,1990-12-02,13,23.019,TAM,,ATL,W 23-17,,2,2,100.0,3,3,100.0,0,11,0,0,,0
14,1990,1990-12-16,14,23.033,TAM,,MIN,W 26-13,,2,2,100.0,4,4,100.0,0,14,0,0,,0
15,1990,1990-12-23,15,23.040,TAM,@,CHI,L 14-27,,2,2,100.0,,1,0.0,0,2,0,0,,0
16,1990,1990-12-30,16,23.047,TAM,,NYJ,L 14-16,,2,2,100.0,,,,0,2,,,,
17,1991,1991-09-01,1,23.292,TAM,@,NYJ,L 13-16,,1,1,100.0,2,3,66.7,0,7,0,0,,0
18,1991,1991-09-08,2,23.299,TAM,,CHI,L 20-21,,2,2,100.0,2,3,66.7,0,8,0,0,,0
19,1991,1991-09-15,3,23.306,TAM,@,GNB,L 13-15,,1,1,100.0,2,2,100.0,0,7,0,0,,0
20,1991,1991-09-22,4,23.313,TAM,,BUF,L 10-17,,1,1,100.0,1,2,50.0,0,4,0,0,,0
21,1991,1991-09-29,5,23.320,TAM,@,DET,L 3-31,,,,,1,1,100.0,0,3,0,0,,0
22,1991,1991-10-06,6,23.327,TAM,,PHI,W 14-13,,2,2,100.0,,1,0.0,0,2,0,0,,0
23,1991,1991-10-20,7,23.341,TAM,@,NOR,L 7-23,,1,1,100.0,,,,0,1,,,,
24,1991,1991-10-27,8,23.348,TAM,,GNB,L 0-27,,,,,,,,,,,,,
25,1991,1991-11-03,9,23.355,TAM,@,MIN,L 13-28,,1,1,100.0,2,2,100.0,0,7,0,0,,0
26,1991,1991-11-10,10,23.362,TAM,,DET,W 30-21,,3,3,100.0,3,4,75.0,0,12,0,0,,0
27,1991,1991-11-17,11,24.004,TAM,@,ATL,L 7-43,,1,1,100.0,,,,0,1,,,,
28,1991,1991-11-24,12,24.011,TAM,,NYG,L 14-21,,2,2,100.0,,,,0,2,,,,
29,1991,1991-12-01,13,24.018,TAM,@,MIA,L 14-33,,2,2,100.0,,,,0,2,,,,
30,1991,1991-12-08,14,24.025,TAM,,MIN,L 24-26,,3,3,100.0,1,1,100.0,0,6,0,0,,0
31,1991,1991-12-14,15,24.031,TAM,@,CHI,L 0-27,,,,,,,,,,,,,
32,1991,1991-12-22,16,24.039,TAM,,IND,W 17-3,,2,2,100.0,1,1,100.0,0,5,0,0,,0
33,1992,1992-09-06,1,24.298,BUF,,RAM,W 40-7,,4,5,80.0,2,2,100.0,0,10,0,0,,0
34,1992,1992-09-13,2,24.305,BUF,@,SFO,W 34-31,,4,4,100.0,2,2,100.0,0,10,0,0,,0
35,1992,1992-09-20,3,24.312,BUF,,IND,W 38-0,,5,5,100.0,1,2,50.0,0,8,0,0,,0
36,1992,1992-09-27,4,24.319,BUF,@,NWE,W 41-7,,5,5,100.0,2,2,100.0,0,11,0,0,,0
37,1992,1992-10-04,5,24.326,BUF,,MIA,L 10-37,,1,1,100.0,1,1,100.0,0,4,0,0,,0
38,1992,1992-10-11,6,24.333,BUF,@,RAI,L 3-20,,,,,1,3,33.3,0,3,0,0,,0
39,1992,1992-10-26,7,24.348,BUF,@,NYJ,W 24-20,,3,3,100.0,1,1,100.0,0,6,0,0,,0
40,1992,1992-11-01,8,24.354,BUF,,NWE,W 16-7,,2,2,100.0,,,,0,2,,,,
41,1992,1992-11-08,9,24.361,BUF,,PIT,W 28-20,,4,4,100.0,,,,0,4,,,,
42,1992,1992-11-16,10,25.003,BUF,@,MIA,W 26-20,,2,2,100.0,4,5,80.0,0,14,0,0,,0
43,1992,1992-11-22,11,25.009,BUF,,ATL,W 41-14,,5,5,100.0,2,2,100.0,0,11,0,0,,0
