ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring
1,2014,2014-09-07,1,23.040,KAN,,TEN,L 10-26,,,,,,,0.0%,,,,,,,,
2,2014,2014-09-14,2,23.047,KAN,@,DEN,L 17-24,,1,1,10,10.00,0,100.0%,10.00,0,0,,0,,0,0
3,2014,2014-09-21,3,23.054,KAN,@,MIA,W 34-15,*,,,,,,0.0%,,,,,,,,
4,2014,2014-09-29,4,23.062,KAN,,NWE,W 41-14,*,,,,,,0.0%,,,,,,,,
5,2014,2014-10-05,5,23.068,KAN,@,SFO,L 17-22,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
6,2014,2014-10-19,6,23.082,KAN,@,SDG,W 23-20,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
7,2014,2014-10-26,7,23.089,KAN,,STL,W 34-7,*,1,1,4,4.00,0,100.0%,4.00,0,0,,0,,0,0
8,2014,2014-11-02,8,23.096,KAN,,NYJ,W 24-10,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0
9,2015,2015-09-13,1,24.046,KAN,@,HOU,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,,0,0
10,2015,2015-09-17,2,24.050,KAN,,DEN,L 24-31,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
11,2015,2015-09-28,3,24.061,KAN,@,GNB,L 28-38,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
12,2015,2015-10-04,4,24.067,KAN,@,CIN,L 21-36,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
13,2015,2015-10-11,5,24.074,KAN,,CHI,L 17-18,,0,0,0,,0,0.0%,,0,0,,0,,0,0
14,2015,2015-10-18,6,24.081,KAN,@,MIN,L 10-16,*,2,2,15,7.50,0,100.0%,7.50,0,0,,0,,0,0
15,2015,2015-10-25,7,24.088,KAN,,PIT,W 23-13,,0,0,0,,0,0.0%,,0,0,,0,,0,0
16,2015,2015-11-01,8,24.095,KAN,,DET,W 45-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
17,2015,2015-11-15,9,24.109,KAN,@,DEN,W 29-13,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
18,2015,2015-11-22,10,24.116,KAN,@,SDG,W 33-3,*,2,2,26,13.00,0,100.0%,13.00,0,0,,0,,0,0
19,2015,2015-11-29,11,24.123,KAN,,BUF,W 30-22,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
20,2015,2015-12-06,12,24.130,KAN,@,OAK,W 34-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
21,2015,2015-12-13,13,24.137,KAN,,SDG,W 10-3,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,,0,0
22,2015,2015-12-20,14,24.144,KAN,@,BAL,W 34-14,,0,0,0,,0,0.0%,,0,0,,0,,0,0
23,2015,2015-12-27,15,24.151,KAN,,CLE,W 17-13,,0,0,0,,0,0.0%,,0,0,,0,,0,0
24,2015,2016-01-03,16,24.158,KAN,,OAK,W 23-17,,3,1,15,15.00,1,33.3%,5.00,0,0,,0,,1,6
25,2016,2016-09-11,1,25.044,KAN,,SDG,W 33-27,,3,2,20,10.00,0,66.7%,6.67,0,0,,0,,0,0
26,2016,2016-09-18,2,25.051,KAN,@,HOU,L 12-19,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
27,2016,2016-09-25,3,25.058,KAN,,NYJ,W 24-3,*,3,2,14,7.00,0,66.7%,4.67,0,0,,0,,1,6
28,2016,2016-10-02,4,25.065,KAN,@,PIT,L 14-43,*,1,1,12,12.00,0,100.0%,12.00,0,0,,0,,0,0
29,2016,2016-10-16,5,25.079,KAN,@,OAK,W 26-10,*,2,1,11,11.00,0,50.0%,5.50,0,0,,0,,0,0
30,2016,2016-10-23,6,25.086,KAN,,NOR,W 27-21,,3,1,10,10.00,0,33.3%,3.33,1,19,19.00,0,,0,0
31,2016,2016-10-30,7,25.093,KAN,@,IND,W 30-14,,4,3,13,4.33,0,75.0%,3.25,0,0,,0,,0,0
32,2016,2016-11-06,8,25.100,KAN,,JAX,W 19-14,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
33,2016,2016-11-13,9,25.107,KAN,@,CAR,W 20-17,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
34,2016,2016-11-20,10,25.114,KAN,,TAM,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
35,2016,2016-11-27,11,25.121,KAN,@,DEN,W 30-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,1,0,2
36,2016,2016-12-04,12,25.128,KAN,@,ATL,W 29-28,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,,0,0
37,2016,2016-12-08,13,25.132,KAN,,OAK,W 21-13,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
38,2016,2016-12-18,14,25.142,KAN,,TEN,L 17-19,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
39,2016,2016-12-25,15,25.149,KAN,,DEN,W 33-10,*,9,6,37,6.17,1,66.7%,4.11,0,0,,0,,1,6
40,2016,2017-01-01,16,25.156,KAN,@,SDG,W 37-27,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
41,2017,2017-09-07,1,26.040,KAN,@,NWE,W 42-27,*,2,2,15,7.50,1,100.0%,7.50,0,0,,0,,1,6
42,2017,2017-09-17,2,26.050,KAN,,PHI,W 27-20,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
43,2017,2017-09-24,3,26.057,KAN,@,LAC,W 24-10,*,0,0,0,,0,0.0%,,0,0,,0,,0,0
44,2017,2017-10-02,4,26.065,KAN,,WAS,W 29-20,,3,0,0,,0,0.0%,0.00,0,0,,0,,0,0
45,2017,2017-10-08,5,26.071,KAN,@,HOU,W 42-34,,3,3,21,7.00,0,100.0%,7.00,0,0,,0,,0,0
46,2017,2017-10-15,6,26.078,KAN,,PIT,L 13-19,,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0
47,2017,2017-10-19,7,26.082,KAN,@,OAK,L 30-31,*,3,2,16,8.00,0,66.7%,5.33,0,0,,0,,0,0
48,2017,2017-10-30,8,26.093,KAN,,DEN,W 29-19,*,2,0,0,,0,0.0%,0.00,0,0,,0,,0,0
49,2017,2017-11-05,9,26.099,KAN,@,DAL,L 17-28,,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
50,2017,2017-11-19,10,26.113,KAN,@,NYG,L 9-12,*,1,0,0,,0,0.0%,0.00,0,0,,0,,0,0
51,2017,2017-11-26,11,26.120,KAN,,BUF,L 10-16,,2,2,33,16.50,0,100.0%,16.50,0,0,,0,,0,0
52,2017,2017-12-03,12,26.127,KAN,@,NYJ,L 31-38,,0,0,0,,0,0.0%,,0,0,,0,,0,0
53,2017,2017-12-10,13,26.134,KAN,,OAK,W 26-15,,3,1,25,25.00,0,33.3%,8.33,0,0,,0,,0,0
54,2017,2017-12-16,14,26.140,KAN,,LAC,W 30-13,,2,1,7,7.00,0,50.0%,3.50,0,0,,0,,0,0
55,2017,2017-12-24,15,26.148,KAN,,MIA,W 29-13,,7,4,34,8.50,0,57.1%,4.86,0,0,,0,,0,0
56,2017,2017-12-31,16,26.155,KAN,@,DEN,W 27-24,*,4,3,73,24.33,0,75.0%,18.25,0,0,,0,,0,0
57,2018,2018-09-16,2,27.049,KAN,@,PIT,W 42-37,,0,0,0,,0,0.0%,,0,0,,0,,0,0
58,2018,2018-09-23,3,27.056,KAN,,SFO,W 38-27,,3,1,13,13.00,1,33.3%,4.33,0,0,,0,,1,6
