ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,22.285,STL,@,PHI,W 20-17,,,,
2,2001,2001-09-23,2,22.299,STL,@,SFO,W 30-26,,,,
3,2001,2001-09-30,3,22.306,STL,,MIA,W 42-10,,,,
4,2001,2001-10-08,4,22.314,STL,@,DET,W 35-0,,,,
5,2001,2001-10-14,5,22.320,STL,,NYG,W 15-14,,,,
6,2001,2001-10-21,6,22.327,STL,@,NYJ,W 34-14,,,,
7,2001,2001-10-28,7,22.334,STL,,NOR,L 31-34,,,,
8,2001,2001-11-11,8,22.348,STL,,CAR,W 48-14,,,,
9,2001,2001-11-18,9,22.355,STL,@,NWE,W 24-17,,,,
10,2001,2001-11-26,10,22.363,STL,,TAM,L 17-24,,,,
11,2001,2001-12-02,11,23.004,STL,@,ATL,W 35-6,,,,
12,2001,2001-12-09,12,23.011,STL,,SFO,W 27-14,,,,
13,2001,2001-12-17,13,23.019,STL,@,NOR,W 34-21,,,,
14,2001,2001-12-23,14,23.025,STL,@,CAR,W 38-32,,,,
15,2001,2001-12-30,15,23.032,STL,,IND,W 42-17,,,,
16,2001,2002-01-06,16,23.039,STL,,ATL,W 31-13,,,,
17,2002,2002-09-08,1,23.284,STL,@,DEN,L 16-23,,,,
18,2002,2002-09-15,2,23.291,STL,,NYG,L 21-26,,,,
19,2002,2002-09-23,3,23.299,STL,@,TAM,L 14-26,,,,
20,2002,2002-10-06,5,23.312,STL,@,SFO,L 13-37,,,,
21,2002,2002-11-03,8,23.340,STL,@,ARI,W 27-14,,,,
22,2002,2002-11-10,9,23.347,STL,,SDG,W 28-24,,,,
23,2002,2002-11-18,10,23.355,STL,,CHI,W 21-16,,,,
24,2002,2002-11-24,11,23.361,STL,@,WAS,L 17-20,,,,
25,2002,2002-12-22,15,24.024,STL,@,SEA,L 10-30,,,,
26,2003,2003-09-07,1,24.283,STL,@,NYG,L 13-23,*,,,
27,2003,2003-09-14,2,24.290,STL,,SFO,W 27-24,*,,,
28,2003,2003-09-21,3,24.297,STL,@,SEA,L 23-24,*,,,
29,2003,2003-09-28,4,24.304,STL,,ARI,W 37-13,*,,,
30,2003,2003-10-13,5,24.319,STL,,ATL,W 36-0,*,,,
31,2003,2003-10-19,6,24.325,STL,,GNB,W 34-24,*,,,
32,2003,2003-10-26,7,24.332,STL,@,PIT,W 33-21,*,,,
33,2003,2003-11-02,8,24.339,STL,@,SFO,L 10-30,*,,,
34,2003,2003-11-09,9,24.346,STL,,BAL,W 33-22,*,2,59,0
35,2003,2003-11-16,10,24.353,STL,@,CHI,W 23-21,*,1,0,0
36,2003,2003-11-23,11,24.360,STL,@,ARI,W 30-27,*,,,
37,2003,2003-11-30,12,25.002,STL,,MIN,W 48-17,*,,,
38,2003,2003-12-08,13,25.010,STL,@,CLE,W 26-20,*,,,
39,2003,2003-12-14,14,25.016,STL,,SEA,W 27-22,*,,,
40,2003,2003-12-21,15,25.023,STL,,CIN,W 27-10,,1,13,0
41,2003,2003-12-28,16,25.030,STL,@,DET,L 20-30,*,,,
42,2004,2004-09-12,1,25.289,STL,,ARI,W 17-10,*,,,
43,2004,2004-09-19,2,25.296,STL,@,ATL,L 17-34,*,,,
44,2004,2004-09-26,3,25.303,STL,,NOR,L 25-28,*,,,
45,2004,2004-10-03,4,25.310,STL,@,SFO,W 24-14,*,1,10,0
46,2004,2004-10-10,5,25.317,STL,@,SEA,W 33-27,*,,,
47,2004,2004-10-18,6,25.325,STL,,TAM,W 28-21,*,1,0,0
48,2004,2004-10-24,7,25.331,STL,@,MIA,L 14-31,*,,,
49,2004,2004-11-07,8,25.345,STL,,NWE,L 22-40,*,,,
50,2004,2004-11-14,9,25.352,STL,,SEA,W 23-12,*,1,0,0
51,2004,2004-11-21,10,25.359,STL,@,BUF,L 17-37,*,,,
52,2004,2004-11-29,11,26.001,STL,@,GNB,L 17-45,*,,,
53,2004,2004-12-05,12,26.007,STL,,SFO,W 16-6,*,1,-1,0
54,2004,2004-12-12,13,26.014,STL,@,CAR,L 7-20,*,1,6,0
55,2004,2004-12-19,14,26.021,STL,@,ARI,L 7-31,*,,,
56,2004,2004-12-27,15,26.029,STL,,PHI,W 20-7,*,,,
57,2004,2005-01-02,16,26.035,STL,,NYJ,W 32-29,*,,,
58,2006,2006-10-08,5,27.314,STL,@,GNB,W 23-20,,,,
59,2006,2006-10-15,6,27.321,STL,,SEA,L 28-30,,,,
60,2006,2006-11-19,10,27.356,STL,@,CAR,L 0-15,,,,
61,2006,2006-11-26,11,27.363,STL,,SFO,W 20-17,,,,
62,2006,2006-12-03,12,28.005,STL,,ARI,L 20-34,,,,
63,2006,2006-12-11,13,28.013,STL,,CHI,L 27-42,,,,
64,2007,2007-10-08,5,28.314,BUF,,DAL,L 24-25,,,,
65,2007,2007-10-21,6,28.327,BUF,,BAL,W 19-14,,,,
66,2007,2007-10-28,7,28.334,BUF,@,NYJ,W 13-3,,,,
67,2007,2007-11-04,8,28.341,BUF,,CIN,W 33-21,,,,
68,2007,2007-11-11,9,28.348,BUF,@,MIA,W 13-10,,,,
69,2007,2007-11-18,10,28.355,BUF,,NWE,L 10-56,*,,,
