ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1990,1990-09-09,1,25.117,PIT,@,CLE,L 3-13,,0,0,,0,0,0,,0,0,0,,,,,,8,316,39.50,0
2,1990,1990-09-16,2,25.124,PIT,,HOU,W 20-9,,1,9,9.00,0,0,0,,0,0,0,,,,,,8,300,37.50,0
3,1990,1990-09-23,3,25.131,PIT,@,RAI,L 3-20,,0,0,,0,0,0,,0,0,0,,,,,,5,197,39.40,0
4,1990,1990-09-30,4,25.138,PIT,,MIA,L 6-28,,0,0,,0,0,0,,0,0,0,,,,,,5,203,40.60,0
5,1990,1990-10-07,5,25.145,PIT,,SDG,W 36-14,,0,0,,0,0,0,,0,0,0,,,,,,2,73,36.50,0
6,1990,1990-10-14,6,25.152,PIT,@,DEN,W 34-17,,0,0,,0,0,0,,0,0,0,,,,,,2,86,43.00,0
7,1990,1990-10-21,7,25.159,PIT,@,SFO,L 7-27,,0,0,,0,0,0,,0,0,0,,,,,,3,110,36.67,0
8,1990,1990-10-29,8,25.167,PIT,,RAM,W 41-10,,0,0,,0,0,0,,0,0,0,,,,,,5,187,37.40,0
9,1990,1990-11-04,9,25.173,PIT,,ATL,W 21-9,,0,0,,0,0,0,,0,0,0,,,,,,5,196,39.20,0
10,1990,1990-11-18,10,25.187,PIT,@,CIN,L 3-27,,1,8,8.00,0,0,0,,0,0,0,,,,,,5,168,33.60,0
11,1990,1990-11-25,11,25.194,PIT,@,NYJ,W 24-7,,1,0,0.00,0,0,0,,0,0,0,,,,,,2,74,37.00,0
12,1990,1990-12-02,12,25.201,PIT,,CIN,L 12-16,,0,0,,0,0,0,,0,0,0,,,,,,1,18,18.00,0
13,1990,1990-12-09,13,25.208,PIT,,NWE,W 24-3,,0,0,,0,0,0,,0,0,0,,,,,,2,72,36.00,1
14,1990,1990-12-16,14,25.215,PIT,@,NOR,W 9-6,,0,0,,0,0,0,,0,0,0,,,,,,3,111,37.00,0
15,1990,1990-12-23,15,25.222,PIT,,CLE,W 35-0,,0,0,,0,0,0,,0,0,0,,,,,,6,211,35.17,0
16,1990,1990-12-30,16,25.229,PIT,@,HOU,L 14-34,,0,0,,0,0,0,,0,0,0,,,,,,3,132,44.00,0
