ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1973,1973-09-16,1,25.216,SDG,@,WAS,L 0-38,,,,,,,,,,,,,,,,,,,,,
2,1973,1973-09-23,2,25.223,SDG,,BUF,W 34-7,,,,,,,,,,,,,,,,,,,,,
3,1973,1973-09-30,3,25.230,SDG,,CIN,L 13-20,,,,,,,,,,,,,,,,,,,,,
4,1973,1973-10-07,4,25.237,SDG,@,PIT,L 21-38,2,36,18.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
5,1973,1973-10-14,5,25.244,SDG,,OAK,L 17-27,1,19,19.00,0,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0
6,1973,1973-10-21,6,25.251,SDG,,ATL,L 0-41,3,44,14.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
7,1973,1973-10-28,7,25.258,SDG,@,CLE,T 16-16,2,38,19.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,1
8,1973,1973-11-04,8,25.265,SDG,,KAN,L 0-19,1,0,0.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
9,1973,1973-11-11,9,25.272,SDG,@,DEN,L 19-30,0,0,,0,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0
10,1973,1973-11-18,10,25.279,SDG,,NOR,W 17-14,3,13,4.33,0,2,23,11.50,0,0,0,,0,0,0,,0,0,,,0,0
11,1973,1973-11-25,11,25.286,SDG,@,OAK,L 3-31,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0
12,1973,1973-12-02,12,25.293,SDG,@,NWE,L 14-30,0,0,,0,1,20,20.00,0,0,0,,0,0,0,,0,0,,,0,0
13,1973,1973-12-09,13,25.300,SDG,,DEN,L 28-42,1,23,23.00,0,2,13,6.50,0,0,0,,0,0,0,,0,0,,,0,0
14,1973,1973-12-16,14,25.307,SDG,@,KAN,L 6-33,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0
