ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,22.333,SEA,@,MIA,L 0-23,,,,,,,,,,,,,,,
2,2000,2000-09-10,2,22.340,SEA,,STL,L 34-37,,,,,,,,,,,,,,,
3,2000,2000-09-17,3,22.347,SEA,,NOR,W 20-10,,,,,,,,,,,,,,,
4,2000,2000-09-24,4,22.354,SEA,@,SDG,W 20-12,,,,,,,,,,,,,,,
5,2000,2000-10-02,5,22.362,SEA,@,KAN,L 17-24,,,,,,,,,,,,,,,
6,2000,2000-10-08,6,23.002,SEA,@,CAR,L 3-26,,,,,,,,,,,,,,,
7,2000,2000-10-15,7,23.009,SEA,,IND,L 24-37,,,,,,,,,,,,,,,
8,2000,2000-10-22,8,23.016,SEA,@,OAK,L 3-31,,,,,,,,,,,,,,,
9,2000,2000-10-29,9,23.023,SEA,,KAN,L 19-24,,,,,,,,,,,,,,,
10,2000,2000-11-05,10,23.030,SEA,,SDG,W 17-15,,,,,,,,,,,,,,,
11,2000,2000-11-12,11,23.037,SEA,@,JAX,W 28-21,,,,,,,,,,,,,,,
12,2000,2000-11-26,12,23.051,SEA,,DEN,L 31-38,,,,,,,,,,,,,,,
13,2000,2000-12-03,13,23.058,SEA,@,ATL,W 30-10,,,,,,,,,,,,,,,
14,2000,2000-12-10,14,23.065,SEA,@,DEN,L 24-31,,,,,,,,,,,,,,,
15,2000,2000-12-16,15,23.071,SEA,,OAK,W 27-24,,,,,,,,,,,,,,,
16,2000,2000-12-23,16,23.078,SEA,,BUF,L 23-42,,,,,,,,,,,,,,,
17,2001,2001-09-23,2,23.352,SEA,,PHI,L 3-27,,,,,,,,,,,,,,,
18,2001,2001-09-30,3,23.359,SEA,@,OAK,L 14-38,,,,,,,,,,,,,,,
19,2001,2001-10-07,4,24.001,SEA,,JAX,W 24-15,,,,,,,,,,,,,,,
20,2001,2001-10-14,5,24.008,SEA,,DEN,W 34-21,,,,,,,,,,,,,,,
21,2001,2001-10-28,6,24.022,SEA,,MIA,L 20-24,,,,,,,,,,,,,,,
22,2001,2001-11-04,7,24.029,SEA,@,WAS,L 14-27,,,,,,,,,,,,,,,
23,2001,2001-11-11,8,24.036,SEA,,OAK,W 34-27,,,,,,,,,,,,,,,
24,2001,2001-11-18,9,24.043,SEA,@,BUF,W 23-20,,,,,,,,,,,,,,,
25,2001,2001-11-25,10,24.050,SEA,@,KAN,L 7-19,,,,,,,,,,,,,,,
26,2001,2001-12-02,11,24.057,SEA,,SDG,W 13-10,,,,,,,,,,,,,,,
27,2001,2001-12-09,12,24.064,SEA,@,DEN,L 7-20,,,,,,,,,,,,,,,
28,2001,2001-12-16,13,24.071,SEA,,DAL,W 29-3,,0,0,,0,0,0,,0,1,6,1.0,1,38,1
29,2001,2001-12-23,14,24.078,SEA,@,NYG,L 24-27,*,,,,,,,,,,,,,,
30,2001,2001-12-30,15,24.085,SEA,@,SDG,W 25-22,,0,0,,0,0,0,,0,0,0,0.0,1,5,0
31,2001,2002-01-06,16,24.092,SEA,,KAN,W 21-18,,,,,,,,,,,,,,,
32,2002,2002-09-08,1,24.337,JAX,,IND,L 25-28,,0,0,,0,1,0,0.00,0,0,0,0.0,0,0,0
33,2002,2002-09-15,2,24.344,JAX,@,KAN,W 23-16,,,,,,,,,,,,,,,
34,2002,2002-09-29,3,24.358,JAX,,NYJ,W 28-3,,,,,,,,,,,,,,,
35,2002,2002-10-06,4,25.000,JAX,,PHI,W 28-25,,,,,,,,,,,,,,,
36,2002,2002-10-13,5,25.007,JAX,@,TEN,L 14-23,,,,,,,,,,,,,,,
37,2002,2002-10-20,6,25.014,JAX,@,BAL,L 10-17,,,,,,,,,,,,,,,
