ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2000,2000-09-03,1,24.098,NYG,,ARI,W 21-16,,0,0,0,,0,0.0%,,0,0,,0,2,27,13.50,0,0,0,,0,0,0
2,2000,2000-09-10,2,24.105,NYG,@,PHI,W 33-18,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,4,117,29.25,0,0,0,,0,0,0
3,2000,2000-09-17,3,24.112,NYG,@,CHI,W 14-7,,1,1,34,34.00,1,100.0%,34.00,1,12,12.00,0,0,0,,0,0,0,,0,1,6
4,2000,2000-09-24,4,24.119,NYG,,WAS,L 6-16,,4,1,14,14.00,0,25.0%,3.50,0,0,,0,4,64,16.00,0,0,0,,0,0,0
5,2000,2000-10-01,5,24.126,NYG,@,TEN,L 14-28,,4,0,0,,0,0.0%,0.00,0,0,,0,5,135,27.00,0,0,0,,0,0,0
6,2000,2000-10-08,6,24.133,NYG,@,ATL,W 13-6,,2,1,9,9.00,0,50.0%,4.50,0,0,,0,3,44,14.67,0,0,0,,0,0,0
7,2000,2000-10-15,7,24.140,NYG,,DAL,W 19-14,,1,0,0,,0,0.0%,0.00,0,0,,0,2,46,23.00,0,0,0,,0,0,0
8,2000,2000-10-29,8,24.154,NYG,,PHI,W 24-7,,1,0,0,,0,0.0%,0.00,0,0,,0,1,22,22.00,0,0,0,,0,0,0
9,2000,2000-11-26,12,24.182,NYG,@,ARI,W 31-7,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,2,36,18.00,0,0,0,,0,0,0
10,2000,2000-12-03,13,24.189,NYG,@,WAS,W 9-7,,4,1,7,7.00,0,25.0%,1.75,0,0,,0,1,18,18.00,0,0,0,,0,0,0
11,2000,2000-12-17,15,24.203,NYG,@,DAL,W 17-13,,2,0,0,,0,0.0%,0.00,1,1,1.00,0,4,91,22.75,0,0,0,,0,0,0
12,2000,2000-12-23,16,24.209,NYG,,JAX,W 28-25,,2,0,0,,0,0.0%,0.00,0,0,,0,3,58,19.33,0,0,0,,0,0,0
13,2001,2001-09-10,1,25.105,NYG,@,DEN,L 20-31,,3,1,19,19.00,0,33.3%,6.33,0,0,,0,4,89,22.25,0,0,0,,0,0,0
14,2001,2001-09-23,2,25.118,NYG,@,KAN,W 13-3,,0,0,0,,0,0.0%,,1,0,0.00,0,1,23,23.00,0,0,0,,0,0,0
15,2001,2001-09-30,3,25.125,NYG,,NOR,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,2,48,24.00,0,0,0,,0,0,0
16,2001,2001-10-07,4,25.132,NYG,,WAS,W 23-9,,0,0,0,,0,0.0%,,0,0,,0,2,32,16.00,0,0,0,,0,0,0
17,2001,2001-10-14,5,25.139,NYG,@,STL,L 14-15,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0,0,0,,0,0,0
18,2001,2001-10-28,7,25.153,NYG,@,WAS,L 21-35,,2,1,17,17.00,0,50.0%,8.50,0,0,,0,4,89,22.25,0,0,0,,0,0,0
19,2001,2001-11-04,8,25.160,NYG,,DAL,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,4,83,20.75,0,0,0,,0,0,0
20,2001,2001-11-11,9,25.167,NYG,@,ARI,W 17-10,,0,0,0,,0,0.0%,,0,0,,0,2,32,16.00,0,0,0,,0,0,0
21,2001,2001-11-19,10,25.175,NYG,@,MIN,L 16-28,,2,1,32,32.00,0,50.0%,16.00,0,0,,0,2,29,14.50,0,0,0,,0,0,0
22,2001,2001-11-25,11,25.181,NYG,,OAK,L 10-28,,4,1,10,10.00,0,25.0%,2.50,0,0,,0,3,52,17.33,0,0,0,,0,0,0
23,2001,2001-12-09,12,25.195,NYG,@,DAL,L 13-20,,1,0,0,,0,0.0%,0.00,0,0,,0,4,98,24.50,0,0,0,,0,0,0
24,2001,2001-12-15,13,25.201,NYG,,ARI,W 17-13,,1,1,26,26.00,1,100.0%,26.00,0,0,,0,1,11,11.00,0,0,0,,0,1,6
25,2001,2001-12-23,14,25.209,NYG,,SEA,W 27-24,,1,0,0,,0,0.0%,0.00,0,0,,0,4,47,11.75,0,0,0,,0,0,0
26,2001,2001-12-30,15,25.216,NYG,@,PHI,L 21-24,,1,0,62,,0,0.0%,62.00,0,0,,0,0,0,,0,0,0,,0,0,0
27,2001,2002-01-06,16,25.223,NYG,,GNB,L 25-34,,6,3,61,20.33,0,50.0%,10.17,0,0,,0,0,0,,0,1,-3,-3.00,0,0,0
28,2002,2002-09-05,1,26.100,NYG,,SFO,L 13-16,,3,3,40,13.33,0,100.0%,13.33,0,0,,0,2,61,30.50,0,0,0,,0,0,0
29,2002,2002-09-15,2,26.110,NYG,@,STL,W 26-21,,1,1,23,23.00,0,100.0%,23.00,0,0,,0,0,0,,0,0,0,,0,0,0
30,2002,2002-09-22,3,26.117,NYG,,SEA,W 9-6,,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,0,0,0,,0,0,0
31,2002,2002-09-29,4,26.124,NYG,@,ARI,L 7-21,,3,,,,,0.0%,,,,,,,,,,,,,,,
32,2002,2002-10-06,5,26.131,NYG,@,DAL,W 21-17,,1,,,,,0.0%,,,,,,,,,,,,,,,
33,2002,2002-10-13,6,26.138,NYG,,ATL,L 10-17,,3,2,29,14.50,0,66.7%,9.67,0,0,,0,0,0,,0,0,0,,0,0,0
34,2002,2002-10-28,7,26.153,NYG,@,PHI,L 3-17,,4,2,43,21.50,0,50.0%,10.75,0,0,,0,0,0,,0,0,0,,0,0,0
35,2002,2002-11-03,8,26.159,NYG,,JAX,W 24-17,*,6,4,46,11.50,1,66.7%,7.67,0,0,,0,0,0,,0,0,0,,0,1,6
36,2002,2002-11-10,9,26.166,NYG,@,MIN,W 27-20,*,5,4,107,26.75,0,80.0%,21.40,0,0,,0,0,0,,0,0,0,,0,0,0
37,2002,2002-12-01,12,26.187,NYG,,TEN,L 29-32,*,9,5,93,18.60,1,55.6%,10.33,0,0,,0,0,0,,0,0,0,,0,1,6
