ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-09-07,1,23.119,CLE,,SDG,L 14-44,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,193,38.60,0
2,1981,1981-09-13,2,23.125,CLE,,HOU,L 3-9,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,276,46.00,0
3,1981,1981-09-20,3,23.132,CLE,@,CIN,W 20-17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,130,43.33,0
4,1981,1981-09-27,4,23.139,CLE,,ATL,W 28-17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,175,43.75,0
5,1981,1981-10-04,5,23.146,CLE,@,RAM,L 16-27,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,220,44.00,0
6,1981,1981-10-11,6,23.153,CLE,@,PIT,L 7-13,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,5,212,42.40,0
7,1981,1981-10-18,7,23.160,CLE,,NOR,W 20-17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,246,41.00,0
8,1981,1981-10-25,8,23.167,CLE,,BAL,W 42-28,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,93,46.50,1
9,1981,1981-11-01,9,23.174,CLE,@,BUF,L 13-22,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,8,360,45.00,0
10,1981,1981-11-08,10,23.181,CLE,@,DEN,L 20-23,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,290,48.33,0
11,1981,1981-11-15,11,23.188,CLE,@,SFO,W 15-12,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,212,42.40,0
12,1981,1981-11-22,12,23.195,CLE,,PIT,L 10-32,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,37,37.00,0
13,1981,1981-11-29,13,23.202,CLE,,CIN,L 21-41,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,187,37.40,0
14,1981,1981-12-03,14,23.206,CLE,@,HOU,L 13-17,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,34,34.00,1
15,1981,1981-12-12,15,23.215,CLE,,NYJ,L 13-14,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,182,36.40,0
16,1981,1981-12-20,16,23.223,CLE,@,SEA,L 21-42,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,37,37.00,0
17,1982,1982-09-12,1,24.124,CLE,@,SEA,W 21-7,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,89,44.50,0
18,1982,1982-09-19,2,24.131,CLE,,PHI,L 21-24,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,152,38.00,0
19,1982,1982-11-21,3,24.194,CLE,,NWE,W 10-7,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,8,298,37.25,0
20,1982,1982-11-25,4,24.198,CLE,@,DAL,L 14-31,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,9,393,43.67,0
21,1982,1982-12-05,5,24.208,CLE,,SDG,L 13-30,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,88,44.00,0
22,1982,1982-12-12,6,24.215,CLE,@,CIN,L 10-23,1,0,0.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,194,38.80,0
23,1982,1982-12-19,7,24.222,CLE,,PIT,W 10-9,1,-11,-11.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,251,35.86,0
24,1982,1982-12-26,8,24.229,CLE,@,HOU,W 20-14,0,0,,0,0,0,,0,0,0,,,,,,,,,,1,0.0,0,0,5,197,39.40,0
25,1982,1983-01-02,9,24.236,CLE,@,PIT,L 21-37,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,215,35.83,1
