ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring
1,1975,1975-09-21,1,24.211,CLE,@,CIN,L 17-24,1,1,1.00,0,0,0,,0,0,0
2,1975,1975-09-28,2,24.218,CLE,,MIN,L 10-42,8,46,5.75,0,4,26,6.50,0,0,0
3,1975,1975-10-05,3,24.225,CLE,,PIT,L 6-42,5,10,2.00,0,0,0,,0,0,0
4,1975,1975-10-12,4,24.232,CLE,,HOU,L 10-40,2,2,1.00,0,0,0,,0,0,0
5,1975,1975-10-19,5,24.239,CLE,@,DEN,L 15-16,12,38,3.17,0,0,0,,0,0,0
6,1975,1975-10-26,6,24.246,CLE,,WAS,L 7-23,4,17,4.25,0,0,0,,0,0,0
7,1975,1975-11-02,7,24.253,CLE,@,BAL,L 7-21,3,0,0.00,0,3,21,7.00,0,0,0
8,1975,1975-11-09,8,24.260,CLE,@,DET,L 10-21,8,14,1.75,0,1,8,8.00,0,0,0
9,1975,1975-11-16,9,24.267,CLE,@,OAK,L 17-38,4,2,0.50,0,1,4,4.00,0,0,0
10,1975,1975-11-23,10,24.274,CLE,,CIN,W 35-23,13,40,3.08,0,2,10,5.00,0,0,0
11,1975,1975-11-30,11,24.281,CLE,,NOR,W 17-16,8,18,2.25,0,1,3,3.00,0,0,0
12,1975,1975-12-07,12,24.288,CLE,@,PIT,L 17-31,2,6,3.00,0,1,18,18.00,0,0,0
13,1975,1975-12-14,13,24.295,CLE,,KAN,W 40-14,1,-1,-1.00,0,2,18,9.00,0,0,0
14,1975,1975-12-21,14,24.302,CLE,@,HOU,L 10-21,4,6,1.50,0,1,1,1.00,0,0,0
15,1976,1976-11-07,9,25.259,ATL,@,SEA,L 13-30,,,,,,,,,,
16,1976,1976-11-14,10,25.266,ATL,,SFO,W 21-16,2,3,1.50,0,0,0,,0,0,0
17,1976,1976-11-21,11,25.273,ATL,,DAL,W 17-10,2,8,4.00,0,0,0,,0,0,0
18,1976,1976-11-28,12,25.280,ATL,@,HOU,L 14-20,0,0,,0,1,1,1.00,0,0,0
19,1976,1976-12-04,13,25.286,ATL,@,RAM,L 0-59,,,,,,,,,,
20,1976,1976-12-12,14,25.294,ATL,,GNB,L 20-24,10,63,6.30,1,0,0,,0,1,6
21,1977,1977-10-23,6,26.243,ATL,@,CHI,W 16-10,,,,,,,,,,
22,1977,1977-10-30,7,26.250,ATL,,MIN,L 7-14,,,,,,,,,,
23,1977,1977-11-06,8,26.257,ATL,,SFO,L 3-10,1,2,2.00,0,0,0,,0,0,0
24,1977,1977-11-13,9,26.264,ATL,,DET,W 17-6,1,-1,-1.00,0,0,0,,0,0,0
25,1977,1977-11-20,10,26.271,ATL,@,NOR,L 20-21,,,,,,,,,,
26,1977,1977-11-27,11,26.278,ATL,@,TAM,W 17-0,1,6,6.00,0,0,0,,0,0,0
27,1977,1977-12-04,12,26.285,ATL,,NWE,L 10-16,,,,,,,,,,
28,1977,1977-12-11,13,26.292,ATL,@,RAM,L 7-23,,,,,,,,,,
29,1977,1977-12-18,14,26.299,ATL,,NOR,W 35-7,,,,,,,,,,
