ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2004,2004-09-19,2,22.201,PIT,@,BAL,L 13-30,,12,20,60.00,176,2,2,82.5,2,16,8.80,6.30,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
2,2004,2004-09-26,3,22.208,PIT,@,MIA,W 13-3,*,12,22,54.55,163,1,1,74.6,1,2,7.41,6.27,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
3,2004,2004-10-03,4,22.215,PIT,,CIN,W 28-17,*,17,25,68.00,174,1,0,101.1,1,6,6.96,7.76,4,2,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
4,2004,2004-10-10,5,22.222,PIT,,CLE,W 34-23,*,16,21,76.19,231,1,1,107.4,0,0,11.00,9.81,6,13,2.17,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
5,2004,2004-10-17,6,22.229,PIT,@,DAL,W 24-20,*,21,25,84.00,193,2,0,125.5,3,21,7.72,9.32,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
6,2004,2004-10-31,7,22.243,PIT,,NWE,W 34-20,*,18,24,75.00,196,2,0,126.4,0,0,8.17,9.83,5,3,0.60,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
7,2004,2004-11-07,8,22.250,PIT,,PHI,W 27-3,*,11,18,61.11,183,2,1,109.3,2,15,10.17,9.89,6,10,1.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
8,2004,2004-11-14,9,22.257,PIT,@,CLE,W 24-10,*,10,16,62.50,134,0,1,63.0,2,14,8.38,5.56,7,38,5.43,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
9,2004,2004-11-21,10,22.264,PIT,@,CIN,W 19-14,*,15,21,71.43,138,1,0,104.9,7,54,6.57,7.52,9,16,1.78,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
10,2004,2004-11-28,11,22.271,PIT,,WAS,W 16-7,*,9,20,45.00,131,0,0,66.9,4,31,6.55,6.55,6,4,0.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
11,2004,2004-12-05,12,22.278,PIT,@,JAX,W 17-16,*,14,17,82.35,221,2,0,158.0,3,25,13.00,15.35,3,40,13.33,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
12,2004,2004-12-12,13,22.285,PIT,,NYJ,W 17-6,*,9,19,47.37,144,0,2,33.6,2,12,7.58,2.84,4,-2,-0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
13,2004,2004-12-18,14,22.291,PIT,@,NYG,W 33-30,*,18,28,64.29,316,1,2,84.8,3,17,11.29,8.79,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
14,2004,2004-12-26,15,22.299,PIT,,BAL,W 20-7,*,14,19,73.68,221,2,1,125.1,0,0,11.63,11.37,2,11,5.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
15,2005,2005-09-11,1,23.193,PIT,,TEN,W 34-7,*,9,11,81.82,218,2,0,158.3,0,0,19.82,23.45,3,5,1.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
16,2005,2005-09-18,2,23.200,PIT,@,HOU,W 27-7,*,14,21,66.67,254,2,0,139.8,1,1,12.10,14.00,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
17,2005,2005-09-25,3,23.207,PIT,,NWE,L 20-23,*,12,28,42.86,216,2,0,93.7,4,26,7.71,9.14,3,17,5.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,1,39,39.00,0
18,2005,2005-10-10,4,23.222,PIT,@,SDG,W 24-22,*,17,26,65.38,225,1,0,105.4,3,18,8.65,9.42,2,15,7.50,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
19,2005,2005-10-23,6,23.235,PIT,@,CIN,W 27-13,*,9,14,64.29,93,2,1,93.2,1,10,6.64,6.29,4,-5,-1.25,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
20,2005,2005-10-31,7,23.243,PIT,,BAL,W 20-19,*,18,30,60.00,177,2,1,85.0,2,17,5.90,5.73,4,4,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,1,33,33.00,0
21,2005,2005-11-28,11,23.271,PIT,@,IND,L 7-26,*,17,26,65.38,133,1,2,58.7,3,22,5.12,2.42,3,21,7.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
22,2005,2005-12-04,12,23.277,PIT,,CIN,L 31-38,*,29,41,70.73,386,3,3,94.2,2,7,9.41,7.59,1,2,2.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
23,2005,2005-12-11,13,23.284,PIT,,CHI,W 21-9,*,13,20,65.00,173,1,0,109.0,0,0,8.65,9.65,2,-2,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
24,2005,2005-12-18,14,23.291,PIT,@,MIN,W 18-3,*,10,15,66.67,149,0,0,99.0,4,16,9.93,9.93,6,7,1.17,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
25,2005,2005-12-24,15,23.297,PIT,@,CLE,W 41-0,*,13,20,65.00,226,1,0,120.0,2,9,11.30,12.30,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
26,2005,2006-01-01,16,23.305,PIT,,DET,W 35-21,*,7,16,43.75,135,0,2,34.1,1,3,8.44,2.81,3,5,1.67,1,0,0,0,,0,0.0%,,1,6,0.0,,,0,0,,0
27,2006,2006-09-18,2,24.200,PIT,@,JAX,L 0-9,*,17,32,53.13,141,0,2,38.7,2,14,4.41,1.59,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
28,2006,2006-09-24,3,24.206,PIT,,CIN,L 20-28,*,18,39,46.15,208,0,3,30.7,3,13,5.33,1.87,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
29,2006,2006-10-08,4,24.220,PIT,@,SDG,L 13-23,*,20,31,64.52,220,0,2,58.5,5,23,7.10,4.19,0,0,,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
30,2006,2006-10-15,5,24.227,PIT,,KAN,W 45-7,*,16,19,84.21,238,2,0,153.8,1,6,12.53,14.63,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
31,2006,2006-10-22,6,24.234,PIT,@,ATL,L 38-41,*,16,22,72.73,238,3,0,147.3,3,15,10.82,13.55,3,-2,-0.67,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
32,2006,2006-10-29,7,24.241,PIT,@,OAK,L 13-20,*,25,37,67.57,301,1,4,61.7,5,30,8.14,3.81,1,5,5.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
33,2006,2006-11-05,8,24.248,PIT,,DEN,L 20-31,*,38,54,70.37,433,1,3,77.2,4,30,8.02,5.89,3,9,3.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
34,2006,2006-11-12,9,24.255,PIT,,NOR,W 38-31,*,17,28,60.71,264,3,0,127.7,2,14,9.43,11.57,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
35,2006,2006-11-19,10,24.262,PIT,@,CLE,W 24-20,*,25,44,56.82,272,2,3,61.9,2,11,6.18,4.02,2,20,10.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
36,2006,2006-11-26,11,24.269,PIT,@,BAL,L 0-27,*,21,41,51.22,214,0,2,46.2,9,73,5.22,3.02,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
37,2006,2006-12-03,12,24.276,PIT,,TAM,W 20-3,*,12,25,48.00,198,2,1,85.1,1,7,7.92,7.72,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,0.0,,,0,0,,0
