ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,2016,2016-09-11,1,23.338,NOR,,OAK,L 34-35,,0,0,,0,0,0,0,,0,0.0%,
2,2016,2016-09-18,2,23.345,NOR,@,NYG,L 13-16,,0,0,,0,0,0,0,,0,0.0%,
3,2016,2016-09-26,3,23.353,NOR,,ATL,L 32-45,,0,0,,0,0,0,0,,0,0.0%,
4,2016,2016-10-02,4,23.359,NOR,@,SDG,W 35-34,,4,12,3.00,0,2,1,7,7.00,0,50.0%,3.50
5,2016,2016-10-16,5,24.007,NOR,,CAR,W 41-38,,2,5,2.50,0,2,1,4,4.00,0,50.0%,2.00
6,2016,2016-10-30,7,24.021,NOR,,SEA,W 25-20,,5,15,3.00,0,0,0,0,,0,0.0%,
7,2016,2016-12-11,13,24.063,NOR,@,TAM,L 11-16,,0,0,,0,0,0,0,,0,0.0%,
8,2017,2017-10-22,6,25.013,NOR,@,GNB,W 26-17,,0,0,,0,0,0,0,,0,0.0%,
9,2017,2017-11-05,8,25.027,NOR,,TAM,W 30-10,,0,0,,0,0,0,0,,0,0.0%,
10,2017,2017-11-12,9,25.034,NOR,@,BUF,W 47-10,,0,0,,0,0,0,0,,0,0.0%,
