ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-11-27,11,22.181,BUF,@,NYJ,L 24-28,,,,,,,0.0%,,,,,,
2,2011,2011-12-24,15,22.208,BUF,,DEN,W 40-14,,0,0,0,,0,0.0%,,0,0,0.0,0,0
3,2012,2012-12-23,15,23.207,NWE,@,JAX,W 23-16,,,,,,,0.0%,,,,,,
4,2014,2014-09-07,1,25.100,BAL,,CIN,L 16-23,,4,4,30,7.50,0,100.0%,7.50,0,0,0.0,0,0
5,2014,2014-09-11,2,25.104,BAL,,PIT,W 26-6,,,,,,,0.0%,,,,,,
6,2014,2014-09-21,3,25.114,BAL,@,CLE,W 23-21,,,,,,,0.0%,,,,,,
7,2014,2014-09-28,4,25.121,BAL,,CAR,W 38-10,,1,1,22,22.00,0,100.0%,22.00,0,0,0.0,0,0
8,2014,2014-10-05,5,25.128,BAL,@,IND,L 13-20,,1,1,8,8.00,0,100.0%,8.00,0,0,0.0,0,0
9,2014,2014-10-12,6,25.135,BAL,@,TAM,W 48-17,,2,2,20,10.00,1,100.0%,10.00,1,6,0.0,0,0
10,2014,2014-10-19,7,25.142,BAL,,ATL,W 29-7,,1,1,18,18.00,0,100.0%,18.00,0,0,0.0,0,0
11,2014,2014-10-26,8,25.149,BAL,@,CIN,L 24-27,,6,2,15,7.50,0,33.3%,2.50,0,0,0.0,0,0
12,2014,2014-11-02,9,25.156,BAL,@,PIT,L 23-43,,1,1,12,12.00,0,100.0%,12.00,0,0,0.0,0,1
13,2014,2014-11-09,10,25.163,BAL,,TEN,W 21-7,,1,1,13,13.00,0,100.0%,13.00,0,0,0.0,0,0
14,2014,2014-11-24,11,25.178,BAL,@,NOR,W 34-27,,,,,,,0.0%,,,,,,
15,2014,2014-11-30,12,25.184,BAL,,SDG,L 33-34,,4,3,51,17.00,0,75.0%,12.75,0,0,0.0,0,0
16,2014,2014-12-07,13,25.191,BAL,@,MIA,W 28-13,,7,6,65,10.83,1,85.7%,9.29,1,6,0.0,0,0
17,2014,2014-12-14,14,25.198,BAL,,JAX,W 20-12,,1,0,0,,0,0.0%,0.00,0,0,0.0,2,0
18,2014,2014-12-21,15,25.205,BAL,@,HOU,L 13-25,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,1
19,2014,2014-12-28,16,25.212,BAL,,CLE,W 20-10,,2,2,13,6.50,1,100.0%,6.50,1,6,0.0,0,0
20,2015,2015-09-13,1,26.106,BAL,@,DEN,L 13-19,*,3,1,-1,-1.00,0,33.3%,-0.33,0,0,0.0,0,0
21,2015,2015-09-20,2,26.113,BAL,@,OAK,L 33-37,*,7,5,89,17.80,0,71.4%,12.71,0,0,0.0,0,0
22,2015,2015-09-27,3,26.120,BAL,,CIN,L 24-28,*,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
23,2015,2015-10-01,4,26.124,BAL,@,PIT,W 23-20,,7,5,77,15.40,1,71.4%,11.00,1,6,0.0,0,0
24,2015,2015-10-11,5,26.134,BAL,,CLE,L 30-33,*,9,4,78,19.50,0,44.4%,8.67,0,0,0.0,0,0
25,2015,2015-10-18,6,26.141,BAL,@,SFO,L 20-25,*,8,3,22,7.33,1,37.5%,2.75,1,6,0.0,0,0
26,2015,2015-10-26,7,26.149,BAL,@,ARI,L 18-26,*,3,1,6,6.00,0,33.3%,2.00,0,0,0.0,0,0
27,2015,2015-11-01,8,26.155,BAL,,SDG,W 29-26,*,6,6,62,10.33,0,100.0%,10.33,0,0,0.0,0,0
28,2015,2015-11-15,9,26.169,BAL,,JAX,L 20-22,,14,7,73,10.43,0,50.0%,5.21,0,0,0.0,0,0
29,2015,2015-11-22,10,26.176,BAL,,STL,W 16-13,*,8,5,50,10.00,1,62.5%,6.25,1,6,0.0,0,0
30,2015,2015-11-30,11,26.184,BAL,@,CLE,W 33-27,*,10,6,80,13.33,1,60.0%,8.00,1,6,0.0,0,0
31,2015,2015-12-06,12,26.190,BAL,@,MIA,L 13-15,*,11,6,48,8.00,0,54.5%,4.36,0,0,0.0,0,0
32,2015,2015-12-13,13,26.197,BAL,,SEA,L 6-35,*,7,5,90,18.00,0,71.4%,12.86,0,0,0.0,0,0
33,2015,2015-12-20,14,26.204,BAL,,KAN,L 14-34,*,12,8,128,16.00,1,66.7%,10.67,1,6,0.0,0,0
34,2015,2015-12-27,15,26.211,BAL,,PIT,W 20-17,*,8,8,66,8.25,0,100.0%,8.25,0,0,0.0,0,0
35,2015,2016-01-03,16,26.218,BAL,@,CIN,L 16-24,*,13,5,76,15.20,0,38.5%,5.85,0,0,0.0,0,0
36,2016,2016-09-11,1,27.104,BAL,,BUF,W 13-7,,2,2,14,7.00,0,100.0%,7.00,0,0,0.0,0,0
37,2016,2016-09-18,2,27.111,BAL,@,CLE,W 25-20,,1,0,0,,0,0.0%,0.00,0,0,0.0,0,0
38,2016,2016-09-25,3,27.118,BAL,@,JAX,W 19-17,,1,1,5,5.00,0,100.0%,5.00,0,0,0.0,0,0
39,2016,2016-10-02,4,27.125,BAL,,OAK,L 27-28,,4,3,9,3.00,0,75.0%,2.25,0,0,0.0,0,0
40,2016,2016-10-09,5,27.132,BAL,,WAS,L 10-16,,3,0,0,,0,0.0%,0.00,0,0,0.0,0,0
41,2016,2016-10-16,6,27.139,BAL,@,NYG,L 23-27,*,6,4,64,16.00,0,66.7%,10.67,0,0,0.0,0,0
42,2016,2016-10-23,7,27.146,BAL,@,NYJ,L 16-24,*,6,3,55,18.33,0,50.0%,9.17,0,0,0.0,0,0
43,2016,2016-11-06,8,27.160,BAL,,PIT,W 21-14,,2,1,9,9.00,0,50.0%,4.50,0,0,0.0,0,0
44,2016,2016-11-10,9,27.164,BAL,,CLE,W 28-7,,4,2,15,7.50,0,50.0%,3.75,0,0,0.0,0,0
45,2016,2016-11-20,10,27.174,BAL,@,DAL,L 17-27,,5,3,35,11.67,0,60.0%,7.00,0,0,0.0,0,0
46,2016,2016-11-27,11,27.181,BAL,,CIN,W 19-14,*,2,2,30,15.00,0,100.0%,15.00,0,0,0.0,0,0
47,2016,2016-12-04,12,27.188,BAL,,MIA,W 38-6,*,3,3,41,13.67,0,100.0%,13.67,0,0,0.0,0,0
48,2016,2016-12-12,13,27.196,BAL,@,NWE,L 23-30,*,4,1,10,10.00,0,25.0%,2.50,0,0,0.0,0,0
49,2016,2016-12-18,14,27.202,BAL,,PHI,W 27-26,*,2,2,19,9.50,1,100.0%,9.50,1,6,0.0,0,0
50,2016,2016-12-25,15,27.209,BAL,@,PIT,L 27-31,,2,0,0,,0,0.0%,0.00,0,0,0.0,0,0
51,2016,2017-01-01,16,27.216,BAL,@,CIN,L 10-27,,3,2,22,11.00,0,66.7%,7.33,0,0,0.0,0,0
52,2017,2017-09-10,1,28.103,IND,@,LAR,L 9-46,,2,1,3,3.00,0,50.0%,1.50,0,0,0.0,0,0
53,2017,2017-09-17,2,28.110,IND,,ARI,L 13-16,*,9,3,31,10.33,0,33.3%,3.44,0,0,0.0,0,0
54,2017,2017-09-24,3,28.117,IND,,CLE,W 31-28,*,1,1,9,9.00,0,100.0%,9.00,0,0,0.0,0,0
55,2017,2017-10-01,4,28.124,IND,@,SEA,L 18-46,,5,1,4,4.00,0,20.0%,0.80,0,0,0.0,0,0
56,2017,2017-10-08,5,28.131,IND,,SFO,W 26-23,*,7,2,22,11.00,0,28.6%,3.14,0,0,0.0,0,0
