ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1987,1987-10-04,3,22.148,CIN,,SDG,L 9-10,14,95,6.79,0,,2,-4,-2.00,0,,,3,31,10.33,0,0,0
2,1987,1987-10-11,4,22.155,CIN,@,SEA,W 17-10,16,103,6.44,1,,0,0,,0,,,0,0,,0,1,6
3,1987,1987-10-18,5,22.162,CIN,,CLE,L 0-34,7,5,0.71,0,,1,18,18.00,0,,,0,0,,0,0,0
4,1988,1988-10-09,6,23.153,CIN,,NYJ,W 36-19,0,0,,0,,0,0,,0,,,0,0,,0,0,
5,1988,1988-10-16,7,23.160,CIN,@,NWE,L 21-27,0,0,,0,,0,0,,0,,,0,0,,0,0,
6,1988,1988-10-23,8,23.167,CIN,,HOU,W 44-21,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0
7,1988,1988-10-30,9,23.174,CIN,@,CLE,L 16-23,0,0,,0,,0,0,,0,,,2,32,16.00,0,0,0
8,1988,1988-11-06,10,23.181,CIN,,PIT,W 42-7,1,9,9.00,0,,2,20,10.00,0,,,1,24,24.00,0,0,0
9,1988,1988-11-13,11,23.188,CIN,@,KAN,L 28-31,0,0,,0,,0,0,,0,,,1,24,24.00,0,0,0
10,1988,1988-11-20,12,23.195,CIN,@,DAL,W 38-24,0,0,,0,,0,0,,0,,,0,0,,0,0,
11,1988,1988-11-27,13,23.202,CIN,,BUF,W 35-21,0,0,,0,,0,0,,0,,,0,0,,0,0,
12,1988,1988-12-11,15,23.216,CIN,@,HOU,L 6-41,0,0,,0,,0,0,,0,,,0,0,,0,0,
13,1989,1989-09-10,1,24.124,MIA,,BUF,L 24-27,0,0,,0,,0,0,,0,,,3,77,25.67,0,0,0
14,1989,1989-09-17,2,24.131,MIA,@,NWE,W 24-10,8,31,3.88,0,,0,0,,0,,,1,17,17.00,0,0,0
15,1989,1989-09-24,3,24.138,MIA,,NYJ,L 33-40,10,52,5.20,0,,0,0,,0,,,5,141,28.20,0,0,0
16,1989,1989-10-01,4,24.145,MIA,@,HOU,L 7-39,2,4,2.00,0,,0,0,,0,,,3,138,46.00,1,1,6
17,1989,1989-10-08,5,24.152,MIA,,CLE,W 13-10,2,10,5.00,0,,0,0,,0,,,1,21,21.00,0,0,0
18,1989,1989-10-15,6,24.159,MIA,@,CIN,W 20-13,2,4,2.00,0,,0,0,,0,,,2,41,20.50,0,0,0
19,1989,1989-10-22,7,24.166,MIA,,GNB,W 23-20,9,33,3.67,0,,0,0,,0,,,3,75,25.00,0,0,0
20,1989,1989-12-10,14,24.215,MIA,,NWE,W 31-10,16,45,2.81,0,,2,21,10.50,0,,,2,21,10.50,0,0,0
21,1989,1989-12-17,15,24.222,MIA,@,IND,L 13-42,3,5,1.67,0,,1,6,6.00,0,,,4,82,20.50,0,0,0
22,1989,1989-12-24,16,24.229,MIA,,KAN,L 24-27,5,17,3.40,0,,2,7,3.50,0,,,0,0,,0,0,0
23,1990,1990-09-09,1,25.123,MIA,@,NWE,W 27-24,3,16,5.33,0,,1,12,12.00,0,,,0,0,,0,0,0
24,1990,1990-09-16,2,25.130,MIA,,BUF,W 30-7,7,42,6.00,0,,2,12,6.00,0,,,1,18,18.00,0,0,0
25,1990,1990-09-23,3,25.137,MIA,@,NYG,L 3-20,3,9,3.00,0,,0,0,,0,,,1,22,22.00,0,0,0
26,1990,1990-09-30,4,25.144,MIA,@,PIT,W 28-6,8,36,4.50,0,,0,0,,0,,,0,0,,0,0,0
27,1990,1990-10-07,5,25.151,MIA,,NYJ,W 20-16,7,19,2.71,1,,0,0,,0,,,2,46,23.00,0,1,6
28,1990,1990-10-18,6,25.162,MIA,,NWE,W 17-10,8,21,2.63,0,,1,7,7.00,0,,,1,22,22.00,0,0,0
29,1990,1990-10-28,7,25.172,MIA,@,IND,W 27-7,10,61,6.10,0,,0,0,,0,,,1,16,16.00,0,0,0
30,1990,1990-11-04,8,25.179,MIA,,PHO,W 23-3,14,62,4.43,0,,0,0,,0,,,1,22,22.00,0,0,0
31,1990,1990-11-11,9,25.186,MIA,@,NYJ,W 17-3,8,14,1.75,1,,1,7,7.00,0,,,0,0,,0,1,6
32,1990,1990-11-19,10,25.194,MIA,,RAI,L 10-13,0,0,,0,,0,0,,0,,,0,0,,0,0,
33,1990,1990-11-25,11,25.200,MIA,@,CLE,W 30-13,0,0,,0,,0,0,,0,,,0,0,,0,0,
34,1990,1990-12-02,12,25.207,MIA,@,WAS,L 20-42,0,0,,0,,1,5,5.00,0,,,5,77,15.40,0,0,0
35,1990,1990-12-09,13,25.214,MIA,,PHI,W 23-20,2,3,1.50,0,,1,11,11.00,0,,,2,49,24.50,0,0,0
36,1990,1990-12-16,14,25.221,MIA,,SEA,W 24-17,5,20,4.00,0,,0,0,,0,,,2,31,15.50,0,0,0
37,1990,1990-12-23,15,25.228,MIA,@,BUF,L 14-24,3,7,2.33,0,,0,0,,0,,,3,48,16.00,0,0,0
38,1990,1990-12-30,16,25.235,MIA,,IND,W 23-17,1,7,7.00,0,,0,0,,0,,,1,16,16.00,0,0,0
39,1991,1991-09-01,1,26.115,MIA,@,BUF,L 31-35,0,0,,0,,,,,,,,0,0,,0,,
40,1991,1991-09-08,2,26.122,MIA,,IND,W 17-6,0,0,,0,,,,,,,,0,0,,0,,
41,1991,1991-09-15,3,26.129,MIA,@,DET,L 13-17,0,0,,0,,,,,,,,0,0,,0,,
42,1991,1991-09-22,4,26.136,MIA,,GNB,W 16-13,0,0,,0,,0,0,,0,,,1,18,18.00,0,0,0
43,1991,1991-09-29,5,26.143,MIA,@,NYJ,L 23-41,0,0,,0,,0,0,,0,,,1,25,25.00,0,0,0
44,1991,1991-10-06,6,26.150,MIA,@,NWE,W 20-10,0,0,,0,,,,,,,,0,0,,0,,
45,1991,1991-10-13,7,26.157,MIA,@,KAN,L 7-42,0,0,,0,,0,0,,0,,,1,16,16.00,0,0,0
46,1991,1991-10-20,8,26.164,MIA,,HOU,L 13-17,0,0,,0,,,,,,,,0,0,,0,,
47,1991,1991-11-03,9,26.178,MIA,@,IND,W 10-6,0,0,,0,,0,0,,0,,,1,18,18.00,0,0,0
48,1991,1991-11-10,10,26.185,MIA,,NWE,W 30-20,0,0,,0,,0,0,,0,,,2,27,13.50,0,0,0
49,1991,1991-11-18,11,26.193,MIA,,BUF,L 27-41,0,0,,0,,0,0,,0,,,1,22,22.00,0,0,0
50,1991,1991-11-24,12,26.199,MIA,@,CHI,W 16-13,0,0,,0,,0,0,,0,,,1,15,15.00,0,0,0
51,1991,1991-12-01,13,26.206,MIA,,TAM,W 33-14,2,4,2.00,0,,0,0,,0,,,0,0,,0,0,0
52,1991,1991-12-09,14,26.214,MIA,,CIN,W 37-13,2,1,0.50,0,,0,0,,0,,,1,31,31.00,0,0,0
53,1991,1991-12-15,15,26.220,MIA,@,SDG,L 30-38,0,0,,0,,0,0,,0,,,1,13,13.00,0,0,0
54,1991,1991-12-22,16,26.227,MIA,,NYJ,L 20-23,0,0,,0,,0,0,,0,,,2,6,3.00,0,0,0
55,1992,1992-09-06,1,27.120,SFO,@,NYG,W 31-14,0,0,,0,,0,0,,0,0.0%,,2,45,22.50,0,0,0
56,1992,1992-09-13,2,27.127,SFO,,BUF,L 31-34,0,0,,0,,0,0,,0,0.0%,,1,19,19.00,0,0,0
57,1992,1992-09-20,3,27.134,SFO,@,NYJ,W 31-14,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
58,1992,1992-09-27,4,27.141,SFO,@,NOR,W 16-10,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
59,1992,1992-10-04,5,27.148,SFO,,RAM,W 27-24,0,0,,0,,0,0,,0,0.0%,,2,43,21.50,0,0,0
60,1992,1992-10-11,6,27.155,SFO,@,NWE,W 24-12,0,0,,0,,0,0,,0,0.0%,,4,44,11.00,0,0,0
61,1992,1992-10-18,7,27.162,SFO,,ATL,W 56-17,2,26,13.00,0,,0,0,,0,0.0%,,0,0,,0,0,0
62,1992,1992-11-01,8,27.176,SFO,@,PHO,L 14-24,0,0,,0,,0,0,,0,0.0%,,1,18,18.00,0,0,0
63,1992,1992-11-09,9,27.184,SFO,@,ATL,W 41-3,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
64,1992,1992-11-15,10,27.190,SFO,,NOR,W 21-20,0,0,,0,,0,0,,0,0.0%,,1,16,16.00,0,0,0
65,1992,1992-11-22,11,27.197,SFO,@,RAM,W 27-10,0,0,,0,,0,0,,0,0.0%,,1,16,16.00,0,0,0
66,1992,1992-11-29,12,27.204,SFO,,PHI,W 20-14,0,0,,0,,0,0,,0,0.0%,,1,11,11.00,0,0,0
67,1992,1992-12-06,13,27.211,SFO,,MIA,W 27-3,2,7,3.50,0,,0,0,,0,0.0%,,2,110,55.00,0,0,0
68,1992,1992-12-13,14,27.218,SFO,@,MIN,W 20-17,0,0,,0,,0,0,,0,0.0%,,2,48,24.00,0,0,0
69,1992,1992-12-19,15,27.224,SFO,,TAM,W 21-14,0,0,,0,,0,0,,0,0.0%,,3,71,23.67,0,0,0
70,1992,1992-12-28,16,27.233,SFO,,DET,W 24-6,4,11,2.75,1,2,2,17,8.50,0,100.0%,8.50,2,37,18.50,0,1,6
71,1993,1993-09-05,1,28.119,SFO,@,PIT,W 24-13,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
72,1993,1993-09-13,2,28.127,SFO,@,CLE,L 13-23,6,33,5.50,1,2,2,30,15.00,0,100.0%,15.00,0,0,,0,1,6
73,1993,1993-09-19,3,28.133,SFO,,ATL,W 37-30,5,57,11.40,0,5,5,57,11.40,0,100.0%,11.40,0,0,,0,0,0
74,1993,1993-09-26,4,28.140,SFO,@,NOR,L 13-16,2,26,13.00,1,6,5,23,4.60,0,83.3%,3.83,0,0,,0,1,6
75,1993,1993-10-03,5,28.147,SFO,,MIN,W 38-19,8,18,2.25,1,3,3,15,5.00,0,100.0%,5.00,0,0,,0,1,6
76,1993,1993-10-17,6,28.161,SFO,@,DAL,L 17-26,8,67,8.38,0,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0
77,1993,1993-10-24,7,28.168,SFO,,PHO,W 28-14,6,12,2.00,1,7,3,27,9.00,0,42.9%,3.86,0,0,,0,1,6
78,1993,1993-10-31,8,28.175,SFO,,RAM,W 40-17,7,16,2.29,2,5,4,34,8.50,0,80.0%,6.80,0,0,,0,2,12
79,1993,1993-11-14,9,28.189,SFO,@,TAM,W 45-21,3,10,3.33,0,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0
80,1993,1993-11-22,10,28.197,SFO,,NOR,W 42-7,2,7,3.50,1,1,0,0,,0,0.0%,0.00,0,0,,0,1,6
81,1993,1993-11-28,11,28.203,SFO,@,RAM,W 35-10,3,12,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
82,1993,1993-12-05,12,28.210,SFO,,CIN,W 21-8,2,4,2.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
83,1993,1993-12-11,13,28.216,SFO,@,ATL,L 24-27,1,3,3.00,0,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0
84,1993,1994-01-03,16,28.239,SFO,,PHI,L 34-37,5,15,3.00,0,6,5,60,12.00,0,83.3%,10.00,0,0,,0,0,0
85,1994,1994-09-05,1,29.119,SFO,,RAI,W 44-14,7,31,4.43,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0
86,1994,1994-09-11,2,29.125,SFO,@,KAN,L 17-24,5,16,3.20,1,4,3,22,7.33,0,75.0%,5.50,0,0,,0,1,6
87,1994,1994-09-18,3,29.132,SFO,@,RAM,W 34-19,1,3,3.00,0,4,4,27,6.75,0,100.0%,6.75,0,0,,0,0,0
88,1994,1994-09-25,4,29.139,SFO,,NOR,W 24-13,3,25,8.33,0,6,4,36,9.00,0,66.7%,6.00,0,0,,0,0,0
89,1994,1994-10-02,5,29.146,SFO,,PHI,L 8-40,0,0,,0,5,2,6,3.00,0,40.0%,1.20,0,0,,0,0,0
90,1994,1994-10-09,6,29.153,SFO,@,DET,W 27-21,3,16,5.33,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
91,1994,1994-10-16,7,29.160,SFO,@,ATL,W 42-3,4,9,2.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0
92,1994,1994-10-23,8,29.167,SFO,,TAM,W 41-16,3,4,1.33,0,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
93,1994,1994-11-06,9,29.181,SFO,@,WAS,W 37-22,7,39,5.57,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
94,1994,1994-11-13,10,29.188,SFO,,DAL,W 21-14,0,0,,0,,0,0,,0,0.0%,,,,,,0,
95,1995,1995-09-03,1,30.117,WAS,,ARI,W 27-7,2,8,4.00,0,4,4,44,11.00,0,100.0%,11.00,0,0,,0,0,0
96,1995,1995-09-10,2,30.124,WAS,,OAK,L 8-20,0,0,,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
97,1995,1995-09-17,3,30.131,WAS,@,DEN,L 31-38,1,1,1.00,0,3,3,31,10.33,1,100.0%,10.33,0,0,,0,1,6
98,1995,1995-09-24,4,30.138,WAS,@,TAM,L 6-14,2,8,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
99,1995,1995-10-01,5,30.145,WAS,,DAL,W 27-23,1,4,4.00,0,4,3,31,10.33,1,75.0%,7.75,0,0,,0,1,6
100,1995,1995-10-08,6,30.152,WAS,@,PHI,L 34-37,0,0,,0,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0
101,1995,1995-10-15,7,30.159,WAS,@,ARI,L 20-24,0,0,,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0
102,1995,1995-10-22,8,30.166,WAS,,DET,W 36-30,3,14,4.67,0,6,4,33,8.25,0,66.7%,5.50,0,0,,0,0,0
103,1995,1995-10-29,9,30.173,WAS,,NYG,L 15-24,3,8,2.67,1,5,2,43,21.50,0,40.0%,8.60,0,0,,0,1,6
104,1995,1995-11-05,10,30.180,WAS,@,KAN,L 3-24,1,0,0.00,0,5,2,11,5.50,0,40.0%,2.20,0,0,,0,0,0
105,1995,1995-11-19,11,30.194,WAS,,SEA,L 20-27,2,15,7.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
106,1995,1995-11-26,12,30.201,WAS,,PHI,L 7-14,2,5,2.50,0,1,1,32,32.00,0,100.0%,32.00,0,0,,0,0,0
107,1995,1995-12-03,13,30.208,WAS,@,DAL,W 24-17,2,4,2.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
108,1995,1995-12-10,14,30.215,WAS,@,NYG,L 13-20,1,2,2.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0
109,1995,1995-12-17,15,30.222,WAS,@,STL,W 35-23,1,1,1.00,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
110,1995,1995-12-24,16,30.229,WAS,,CAR,W 20-17,2,2,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
111,1996,1996-09-08,2,31.122,WAS,,CHI,W 10-3,0,0,,0,4,2,17,8.50,0,50.0%,4.25,0,0,,0,0,0
112,1996,1996-09-15,3,31.129,WAS,@,NYG,W 31-10,5,13,2.60,1,3,2,35,17.50,0,66.7%,11.67,0,0,,0,1,6
113,1996,1996-09-22,4,31.136,WAS,@,STL,W 17-10,1,2,2.00,0,4,3,50,16.67,0,75.0%,12.50,0,0,,0,0,0
114,1996,1996-09-29,5,31.143,WAS,,NYJ,W 31-16,3,12,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
115,1996,1996-10-13,6,31.157,WAS,@,NWE,W 27-22,0,0,,0,4,4,63,15.75,0,100.0%,15.75,0,0,,0,0,0
116,1996,1996-10-20,7,31.164,WAS,,NYG,W 31-21,0,0,,0,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0
117,1996,1996-10-27,8,31.171,WAS,,IND,W 31-16,5,43,8.60,0,4,3,30,10.00,0,75.0%,7.50,0,0,,0,0,0
