ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1995,1995-09-03,1,25.274,ARI,@,WAS,L 7-27,,,,,,,,,,,,,,,,,,,
2,1995,1995-09-10,2,25.281,ARI,,PHI,L 19-31,,1,1,1.00,0,0,0,,0,0,0,,0,0,0,0.0,0,0,0
3,1995,1995-09-17,3,25.288,ARI,@,DET,W 20-17,,,,,,,,,,,,,,,,,,,
4,1995,1995-09-24,4,25.295,ARI,@,DAL,L 20-34,,,,,,,,,,,,,,,,,,,
5,1995,1995-10-01,5,25.302,ARI,,KAN,L 3-24,,,,,,,,,,,,,,,,,,,
6,1996,1996-09-15,3,26.287,ARI,@,NWE,L 0-31,,,,,,,,,,,,,,,,,,,
7,1996,1996-09-22,4,26.294,ARI,@,NOR,W 28-14,,,,,,,,,,,,,,,,,,,
8,1996,1996-09-29,5,26.301,ARI,,STL,W 31-28,,,,,,,,,,,,,,,,,,,
9,1996,1996-10-13,6,26.315,ARI,@,DAL,L 3-17,,,,,,,,,,,,,,,,,,,
10,1996,1996-10-20,7,26.322,ARI,,TAM,W 13-9,,,,,,,,,,,,,,,,,,,
11,1996,1996-10-27,8,26.329,ARI,,NYJ,L 21-31,,,,,,,,,,,,,,,,,,,
12,1996,1996-11-03,9,26.336,ARI,@,NYG,L 8-16,,,,,,,,,,,,,,,,,,,
13,1996,1996-11-10,10,26.343,ARI,@,WAS,W 37-34,,0,0,,0,0,0,,0,0,0,,0,0,0,0.0,1,20,0
14,1996,1996-11-17,11,26.350,ARI,,NYG,W 31-23,,,,,,,,,,,,,,,,,,,
15,1996,1996-11-24,12,26.357,ARI,,PHI,W 36-30,,,,,,,,,,,,,,,,,,,
16,1996,1996-12-01,13,26.364,ARI,@,MIN,L 17-41,,,,,,,,,,,,,,,,,,,
17,1996,1996-12-08,14,27.005,ARI,,DAL,L 6-10,,,,,,,,,,,,,,,,,,,
18,1996,1996-12-15,15,27.012,ARI,,WAS,W 27-26,,,,,,,,,,,,,,,,,,,
19,1996,1996-12-22,16,27.019,ARI,@,PHI,L 19-29,,,,,,,,,,,,,,,,,,,
20,1997,1997-08-31,1,27.271,ARI,@,CIN,L 21-24,,,,,,,,,,,,,,,,,,,
21,1997,1997-09-07,2,27.278,ARI,,DAL,W 25-22,,,,,,,,,,,,,,,,,,,
