ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1990,1990-09-09,1,22.090,PHO,@,WAS,L 0-31,14,54,3.86,0,,6,99,16.50,0,,,0,0,,0,0,0,,0,,,,0,0
2,1990,1990-09-16,2,22.097,PHO,@,PHI,W 23-21,22,88,4.00,1,,1,7,7.00,0,,,0,0,,0,0,0,,0,,,,1,6
3,1990,1990-09-23,3,22.104,PHO,@,NOR,L 7-28,22,68,3.09,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
4,1990,1990-09-30,4,22.111,PHO,,WAS,L 10-38,16,93,5.81,0,,3,15,5.00,0,,,0,0,,0,0,0,,0,,,,0,0
5,1990,1990-10-14,5,22.125,PHO,,DAL,W 20-3,19,120,6.32,1,,3,7,2.33,0,,,0,0,,0,0,0,,0,,,,1,6
6,1990,1990-10-21,6,22.132,PHO,@,NYG,L 19-20,30,108,3.60,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
7,1990,1990-10-28,7,22.139,PHO,,CHI,L 21-31,16,74,4.63,1,,3,20,6.67,0,,,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,1,6
8,1990,1990-11-04,8,22.146,PHO,@,MIA,L 3-23,11,27,2.45,0,,4,29,7.25,0,,,0,0,,0,0,0,,0,,,,0,0
9,1990,1990-11-11,9,22.153,PHO,@,BUF,L 14-45,20,66,3.30,1,,0,0,,0,,,0,0,,0,0,0,,0,,,,1,6
10,1990,1990-11-18,10,22.160,PHO,,GNB,L 21-24,15,103,6.87,0,,2,17,8.50,0,,,0,0,,0,0,0,,0,,,,0,0
11,1990,1990-12-02,12,22.174,PHO,,IND,W 20-17,6,22,3.67,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
12,1990,1990-12-16,14,22.188,PHO,@,DAL,L 10-41,13,22,1.69,1,,1,12,12.00,0,,,0,0,,0,0,0,,0,,,,1,6
13,1990,1990-12-23,15,22.195,PHO,,NYG,L 21-24,15,50,3.33,0,,2,35,17.50,0,,,0,0,,0,0,0,,0,,,,0,0
14,1990,1990-12-29,16,22.201,PHO,,PHI,L 21-23,15,31,2.07,0,,0,0,,0,,,0,0,,0,0,0,,0,,,,0,0
15,1991,1991-09-08,2,23.089,PHO,@,PHI,W 26-10,19,54,2.84,0,,1,51,51.00,1,,,0,0,,0,0,0,,,,,,1,6
16,1991,1991-09-15,3,23.096,PHO,@,WAS,L 0-34,8,27,3.38,0,,3,15,5.00,0,,,0,0,,0,0,0,,,,,,0,0
17,1991,1991-09-22,4,23.103,PHO,,DAL,L 9-17,24,93,3.88,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0
18,1991,1991-09-29,5,23.110,PHO,,NWE,W 24-10,8,22,2.75,0,,1,15,15.00,1,,,0,0,,0,0,0,,,,,,1,6
19,1991,1991-10-06,6,23.117,PHO,@,NYG,L 9-20,14,73,5.21,0,,5,32,6.40,0,,,0,0,,0,0,0,,,,,,0,0
20,1991,1991-10-13,7,23.124,PHO,@,MIN,L 7-34,8,18,2.25,0,,4,26,6.50,0,,,0,0,,0,0,0,,,,,,0,0
21,1991,1991-10-20,8,23.131,PHO,,ATL,W 16-10,25,83,3.32,0,,1,7,7.00,0,,,0,0,,0,0,0,,,,,,0,0
22,1991,1991-10-27,9,23.138,PHO,,MIN,L 0-28,7,10,1.43,0,,4,11,2.75,0,,,0,0,,0,0,0,,,,,,0,0
23,1991,1991-11-03,10,23.145,PHO,@,DAL,L 7-27,19,89,4.68,1,,0,0,,0,,,0,0,,0,0,0,,,,,,1,6
24,1991,1991-11-10,11,23.152,PHO,,NYG,L 14-21,14,37,2.64,1,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,1,6
25,1991,1991-11-17,12,23.159,PHO,@,SFO,L 10-14,12,32,2.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
26,1991,1991-11-24,13,23.166,PHO,,PHI,L 14-34,4,17,4.25,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
27,1991,1991-12-08,14,23.180,PHO,,WAS,L 14-20,13,48,3.69,2,,3,16,5.33,0,,,0,0,,0,0,0,,,,,,2,12
28,1991,1991-12-15,15,23.187,PHO,@,DEN,L 19-24,13,37,2.85,0,,3,24,8.00,0,,,0,0,,0,0,0,,,,,,0,0
29,1991,1991-12-22,16,23.194,PHO,,NOR,L 3-27,8,26,3.25,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0
30,1992,1992-09-13,2,24.094,PHO,,PHI,L 14-31,0,0,,0,,0,0,,0,0.0%,,,,,,,,,,,,,0,
31,1992,1992-09-20,3,24.101,PHO,@,DAL,L 20-31,0,0,,0,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,,,,,0,0
32,1992,1992-10-04,4,24.115,PHO,,WAS,W 27-24,4,20,5.00,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0
33,1992,1992-10-11,5,24.122,PHO,@,NYG,L 21-31,1,2,2.00,0,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
34,1992,1992-11-01,8,24.143,PHO,,SFO,W 24-14,26,102,3.92,0,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0
35,1992,1992-11-08,9,24.150,PHO,@,RAM,W 20-14,24,91,3.79,2,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,,,,,,2,12
36,1992,1992-11-15,10,24.157,PHO,@,ATL,L 17-20,12,33,2.75,0,2,1,26,26.00,0,50.0%,13.00,0,0,,0,0,0,,,,,,0,0
37,1992,1992-11-22,11,24.164,PHO,,DAL,L 10-16,12,45,3.75,0,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
38,1992,1992-12-06,13,24.178,PHO,,SDG,L 21-27,15,48,3.20,1,2,1,9,9.00,0,50.0%,4.50,0,0,,0,0,0,,,,,,1,6
39,1992,1992-12-12,14,24.184,PHO,,NYG,W 19-0,36,156,4.33,2,3,3,13,4.33,0,100.0%,4.33,0,0,,0,0,0,,,,,,2,12
40,1992,1992-12-20,15,24.192,PHO,@,IND,L 13-16,28,146,5.21,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6
41,1992,1992-12-27,16,24.199,PHO,,TAM,L 3-7,20,91,4.55,0,3,3,22,7.33,0,100.0%,7.33,0,0,,0,0,0,,,,,,0,0
42,1993,1993-09-05,1,25.086,NYJ,,DEN,L 20-26,3,13,4.33,0,7,6,52,8.67,0,85.7%,7.43,0,0,,0,0,0,,,,,,0,0
43,1993,1993-09-12,2,25.093,NYJ,@,MIA,W 24-14,8,31,3.88,0,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,,,,,0,0
