ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1981,1981-09-06,1,21.292,GNB,@,CHI,W 16-9,0,0,,0
2,1981,1981-09-13,2,21.299,GNB,,ATL,L 17-31,0,0,,0
3,1981,1981-09-20,3,21.306,GNB,@,RAM,L 23-35,0,0,,0
4,1981,1981-09-27,4,21.313,GNB,,MIN,L 13-30,0,0,,0
5,1981,1981-10-04,5,21.320,GNB,@,NYG,W 27-14,0,0,,0
6,1981,1981-10-11,6,21.327,GNB,,TAM,L 10-21,0,0,,0
7,1981,1981-10-18,7,21.334,GNB,,SFO,L 3-13,0,0,,0
8,1981,1981-10-25,8,21.341,GNB,@,DET,L 27-31,0,0,,0
9,1981,1981-11-01,9,21.348,GNB,,SEA,W 34-24,0,0,,0
10,1981,1981-11-08,10,21.355,GNB,,NYG,W 26-24,0,0,,0
11,1981,1981-11-15,11,21.362,GNB,,CHI,W 21-17,0,0,,0
12,1981,1981-11-22,12,22.004,GNB,@,TAM,L 3-37,0,0,,0
13,1981,1981-11-29,13,22.011,GNB,@,MIN,W 35-23,2,1,0.50,0
14,1981,1981-12-06,14,22.018,GNB,,DET,W 31-17,0,0,,0
15,1981,1981-12-13,15,22.025,GNB,@,NOR,W 35-7,0,0,,0
16,1981,1981-12-20,16,22.032,GNB,@,NYJ,L 3-28,0,0,,0
17,1982,1982-09-12,1,22.298,GNB,,RAM,W 35-23,,,,
18,1982,1982-09-20,2,22.306,GNB,@,NYG,W 27-19,,,,
19,1982,1982-11-21,3,23.003,GNB,,MIN,W 26-7,,,,
20,1982,1982-11-28,4,23.010,GNB,@,NYJ,L 13-15,,,,
21,1982,1982-12-05,5,23.017,GNB,,BUF,W 33-21,,,,
22,1982,1982-12-12,6,23.024,GNB,,DET,L 10-30,,,,
23,1982,1982-12-19,7,23.031,GNB,@,BAL,T 20-20,,,,
24,1982,1982-12-26,8,23.038,GNB,@,ATL,W 38-7,,,,
25,1982,1983-01-02,9,23.045,GNB,@,DET,L 24-27,,,,
26,1983,1983-11-06,10,23.353,STL,@,WAS,L 7-45,,,,
27,1983,1983-11-13,11,23.360,STL,,SEA,W 33-28,,,,
28,1983,1983-11-20,12,24.002,STL,,SDG,W 44-14,,,,
29,1983,1983-11-24,13,24.006,STL,@,DAL,L 17-35,,,,
30,1983,1983-12-04,14,24.016,STL,@,NYG,W 10-6,,,,
31,1983,1983-12-11,15,24.023,STL,@,RAI,W 34-24,,,,
32,1983,1983-12-18,16,24.030,STL,,PHI,W 31-7,,,,
33,1984,1984-09-30,5,24.317,STL,,MIA,L 28-36,,,,
34,1984,1984-10-07,6,24.324,STL,@,DAL,W 31-20,,,,
35,1984,1984-10-14,7,24.331,STL,,CHI,W 38-21,,,,
36,1984,1984-10-21,8,24.338,STL,,WAS,W 26-24,,,,
37,1984,1984-10-28,9,24.345,STL,@,PHI,W 34-14,,,,
38,1984,1984-11-04,10,24.352,STL,,RAM,L 13-16,,,,
39,1984,1984-11-11,11,24.359,STL,,DAL,L 17-24,,,,
