ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1973,1973-09-30,3,24.061,STL,@,DAL,L 10-45,4,39,9.75,0,4,11,2.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
2,1973,1973-10-07,4,24.068,STL,,OAK,L 10-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,16,16.00,0,0,0,,0
3,1973,1973-11-04,8,24.096,STL,,DEN,T 17-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,42,21.00,0,0,0,,0
4,1973,1973-11-11,9,24.103,STL,@,GNB,L 21-25,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,53,26.50,0,2,4,2.00,0
5,1973,1973-11-18,10,24.110,STL,@,NYG,L 13-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,47,47.00,0,2,56,28.00,0
6,1973,1973-11-25,11,24.117,STL,@,CIN,L 24-42,0,0,,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,51,25.50,0,1,1,1.00,0
7,1973,1973-12-02,12,24.124,STL,,DET,L 16-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,2,13,6.50,0
8,1973,1973-12-09,13,24.131,STL,@,ATL,W 32-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,6,2.00,0
9,1973,1973-12-16,14,24.138,STL,,DAL,L 3-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,1,0,0.00,0
10,1974,1974-09-15,1,25.046,STL,,PHI,W 7-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,6,48,8.00,0
11,1974,1974-10-06,4,25.067,STL,@,SFO,W 34-9,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,8,2.67,0
12,1974,1974-10-13,5,25.074,STL,,DAL,W 31-28,0,0,,0,0,0,,0,1,1,100.00,81,0,0,118.7,0,0,81.00,81.00,0,0,,0,0,0,,0
13,1974,1974-10-20,6,25.081,STL,@,HOU,W 31-27,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1974,1974-10-27,7,25.088,STL,,WAS,W 23-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0
15,1974,1974-11-03,8,25.095,STL,@,DAL,L 14-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,75,25.00,0,2,14,7.00,0
16,1974,1974-11-11,9,25.103,STL,,MIN,L 24-28,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,2,4,2.00,0
17,1974,1974-11-17,10,25.109,STL,@,PHI,W 13-3,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1974,1974-11-24,11,25.116,STL,@,NYG,W 23-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1974,1974-12-01,12,25.123,STL,,KAN,L 13-17,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,1,6,6.00,0
20,1974,1974-12-08,13,25.130,STL,@,NOR,L 0-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,45,15.00,0
21,1974,1974-12-15,14,25.137,STL,,NYG,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,25,25.00,0,0,0,,0
22,1975,1975-09-21,1,26.052,STL,,ATL,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1975,1975-09-28,2,26.059,STL,@,DAL,L 31-37,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
24,1975,1975-10-05,3,26.066,STL,,NYG,W 26-14,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,10,10.00,0
25,1975,1975-10-13,4,26.074,STL,@,WAS,L 17-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,46,23.00,0,2,12,6.00,0
26,1975,1975-10-19,5,26.080,STL,,PHI,W 31-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,41,20.50,0,0,0,,0
27,1975,1975-10-25,6,26.086,STL,@,NYG,W 20-13,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1975,1975-11-02,7,26.094,STL,,NWE,W 24-17,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,2,13,6.50,0
29,1975,1975-11-09,8,26.101,STL,@,PHI,W 24-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,38,19.00,0,0,0,,0
30,1975,1975-11-16,9,26.108,STL,,WAS,W 20-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,19,19.00,0,0,0,,0
31,1975,1975-11-23,10,26.115,STL,@,NYJ,W 37-6,0,0,,0,3,13,4.33,0,0,0,,0,0,0,,0,0,,,1,4,4.00,0,1,0,0.00,0
32,1975,1975-11-27,11,26.119,STL,,BUF,L 14-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,21,21.00,0,0,0,,0
33,1975,1975-12-07,12,26.129,STL,,DAL,W 31-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,0,0,,0
34,1975,1975-12-14,13,26.136,STL,@,CHI,W 34-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,2,5,2.50,0
35,1975,1975-12-21,14,26.143,STL,@,DET,W 24-13,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,30,30.00,0
36,1976,1976-09-12,1,27.043,STL,@,SEA,W 30-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,16,5.33,0
37,1976,1976-09-19,2,27.050,STL,,GNB,W 29-0,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1976,1976-09-26,3,27.057,STL,@,SDG,L 24-43,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1976,1976-10-03,4,27.064,STL,,NYG,W 27-21,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1976,1976-10-10,5,27.071,STL,,PHI,W 33-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,1976,1976-10-17,6,27.078,STL,,DAL,W 21-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,1976,1976-10-25,7,27.086,STL,@,WAS,L 10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,1976,1976-10-31,8,27.092,STL,,SFO,W 23-20,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,1976,1976-11-07,9,27.099,STL,@,PHI,W 17-14,1,5,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0
45,1976,1976-11-14,10,27.106,STL,@,RAM,W 30-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,36,18.00,0,0,0,,0
46,1976,1976-11-21,11,27.113,STL,,WAS,L 10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,1976,1976-11-25,12,27.117,STL,@,DAL,L 14-19,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1976,1976-12-04,13,27.126,STL,,BAL,W 24-17,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1976,1976-12-12,14,27.134,STL,@,NYG,W 17-14,,,,,,,,,,,,,,,,,,,,,,,,,,,
