ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td
1,2014,2014-09-14,2,25.138,CLE,,NOR,W 26-24,,,,,
2,2014,2014-09-21,3,25.145,CLE,,BAL,L 21-23,,,,,
3,2014,2014-10-12,5,25.166,CLE,,PIT,W 31-10,,,,,
4,2014,2014-11-23,11,25.208,CLE,@,ATL,W 26-24,,,,,
5,2014,2014-11-30,12,25.215,CLE,@,BUF,L 10-26,,,,,
6,2015,2015-11-15,10,26.200,CLE,@,PIT,L 9-30,,0,0,,0
7,2015,2015-11-30,11,26.215,CLE,,BAL,L 27-33,,0,0,,0
8,2015,2015-12-13,13,26.228,CLE,,SFO,W 24-10,,1,-8,-8.00,0
