ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1958,1958-09-28,1,23.082,CRD,,NYG,L 7-37,8,22,2.75,0,2,32,16.00,0,0,0,,0,0,,,,,,,,,,,0,
2,1958,1958-10-04,2,23.088,CRD,,WAS,W 37-10,9,96,10.67,2,3,37,12.33,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,,,,2,
3,1958,1958-10-12,3,23.096,CRD,@,CLE,L 28-35,6,38,6.33,0,4,152,38.00,2,0,0,,0,0,,,,,,,,,,,2,
4,1958,1958-10-19,4,23.103,CRD,@,NYG,W 23-6,19,56,2.95,0,4,48,12.00,0,0,0,,0,0,,,,,,,,,,,0,
5,1958,1958-10-26,5,23.110,CRD,,CLE,L 24-38,3,10,3.33,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
6,1958,1958-11-30,10,23.145,CRD,,RAM,L 14-20,2,-1,-0.50,0,7,93,13.29,1,0,0,,0,0,,,,,,,,,,,1,
7,1958,1958-12-07,11,23.152,CRD,@,CHI,L 14-30,5,0,0.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,0,
8,1959,1959-09-27,1,24.081,CRD,,WAS,W 49-21,8,46,5.75,0,4,75,18.75,1,0,0,,0,0,,,,,,,,,,,1,
9,1959,1959-10-04,2,24.088,CRD,,CLE,L 7-34,7,60,8.57,0,2,22,11.00,0,0,0,,0,0,,,,,,,,,,,0,
10,1959,1959-10-11,3,24.095,CRD,@,WAS,L 14-23,0,0,,0,4,29,7.25,0,0,0,,0,0,,,,,,,,,,,0,
11,1959,1959-10-18,4,24.102,CRD,@,CLE,L 7-17,18,71,3.94,0,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,0,
12,1959,1959-10-25,5,24.109,CRD,,PHI,L 24-28,16,74,4.63,0,4,51,12.75,1,0,0,,0,0,,,,,,,,,,,1,
13,1959,1959-11-01,6,24.116,CRD,,PIT,W 45-24,18,83,4.61,1,0,0,,0,0,0,,0,0,,,,,,,,,,,1,
14,1959,1959-11-08,7,24.123,CRD,@,NYG,L 3-9,7,91,13.00,0,2,11,5.50,0,0,0,,0,0,,,,,,,,,,,0,
15,1959,1959-11-15,8,24.130,CRD,@,PHI,L 17-27,11,55,5.00,0,0,5,,0,0,0,,0,0,,,,,,,,,,,0,
16,1959,1959-11-22,9,24.137,CRD,,NYG,L 20-30,16,54,3.38,1,3,19,6.33,0,0,0,,0,0,,,,,,,,,,,1,
17,1959,1959-11-29,10,24.144,CRD,,CHI,L 7-31,13,55,4.23,0,1,11,11.00,0,0,0,,0,0,,,,,,,,,,,0,
18,1959,1959-12-06,11,24.151,CRD,@,DET,L 21-45,12,42,3.50,1,3,61,20.33,1,0,0,,0,0,,,,,,,,,,,2,
19,1959,1959-12-13,12,24.158,CRD,@,PIT,L 20-35,14,35,2.50,0,3,35,11.67,1,0,0,,0,0,,,,,,,,,,,1,
20,1960,1960-09-23,1,25.077,STL,@,RAM,W 43-21,3,1,0.33,0,5,125,25.00,2,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
21,1960,1960-10-02,2,25.086,STL,,NYG,L 14-35,10,40,4.00,0,3,54,18.00,1,1,2,50.00,51,0,0,95.8,0,0,25.50,25.50,0,0,,0,1,6
22,1960,1960-10-09,3,25.093,STL,@,PHI,L 27-31,16,134,8.38,1,3,65,21.67,0,1,2,50.00,23,1,0,131.2,0,0,11.50,21.50,0,0,,0,1,6
23,1960,1960-10-16,4,25.100,STL,@,PIT,L 14-27,15,66,4.40,1,1,25,25.00,0,1,1,100.00,14,0,0,118.7,0,0,14.00,14.00,0,0,,0,1,6
24,1960,1960-10-23,5,25.107,STL,,DAL,W 12-10,24,143,5.96,1,1,12,12.00,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
25,1960,1960-10-30,6,25.114,STL,@,NYG,W 20-13,21,56,2.67,0,2,19,9.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
26,1960,1960-11-06,7,25.121,STL,,WAS,W 44-7,18,84,4.67,2,2,43,21.50,0,2,3,66.67,75,0,0,109.7,0,0,25.00,25.00,0,0,,0,2,12
27,1960,1960-11-13,8,25.128,STL,@,CLE,L 27-28,8,42,5.25,0,3,32,10.67,0,1,1,100.00,52,1,0,158.3,0,0,52.00,72.00,0,0,,0,0,0
28,1960,1960-11-20,9,25.135,STL,@,WAS,W 26-14,17,157,9.24,0,2,27,13.50,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
29,1960,1960-11-27,10,25.142,STL,,CLE,T 17-17,12,71,5.92,1,1,30,30.00,0,1,1,100.00,8,0,0,100.0,0,0,8.00,8.00,0,0,,0,1,6
30,1960,1960-12-04,11,25.149,STL,,PHI,L 6-20,15,74,4.93,0,0,0,,0,1,3,33.33,15,0,1,11.1,0,0,5.00,-10.00,0,0,,0,0,0
31,1960,1960-12-18,12,25.163,STL,,PIT,W 38-7,24,203,8.46,0,2,30,15.00,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,0,0,,0,0,0
32,1961,1961-10-15,5,26.099,STL,,PHI,L 7-20,0,0,,0,5,69,13.80,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
33,1961,1961-10-22,6,26.106,STL,@,WAS,W 24-0,6,28,4.67,0,0,0,,0,1,1,100.00,17,0,0,118.7,0,0,17.00,17.00,0,0,,0,0,0
34,1961,1961-10-29,7,26.113,STL,,CLE,L 10-21,8,40,5.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
35,1961,1961-11-26,11,26.141,STL,@,PIT,L 27-30,5,9,1.80,0,3,36,12.00,1,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
36,1961,1961-12-03,12,26.148,STL,,WAS,W 38-24,8,29,3.63,0,4,84,21.00,0,2,6,33.33,41,1,1,58.3,0,0,6.83,2.67,0,0,,0,0,0
37,1961,1961-12-10,13,26.155,STL,,DAL,W 31-13,11,53,4.82,1,4,76,19.00,1,0,3,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,12
38,1961,1961-12-17,14,26.162,STL,,PIT,W 20-0,10,33,3.30,0,4,41,10.25,1,1,2,50.00,18,0,0,81.2,0,0,9.00,9.00,0,0,,0,1,6
39,1962,1962-09-16,1,27.070,STL,@,PHI,W 27-21,22,70,3.18,2,2,13,6.50,1,1,3,33.33,16,0,0,52.1,0,0,5.33,5.33,0,0,,0,3,18
40,1962,1962-09-23,2,27.077,STL,@,GNB,L 0-17,9,9,1.00,0,2,8,4.00,0,2,3,66.67,32,0,0,102.1,0,0,10.67,10.67,0,0,,0,0,0
41,1962,1962-09-30,3,27.084,STL,@,WAS,L 14-24,13,37,2.85,2,3,16,5.33,0,1,2,50.00,17,0,0,79.2,0,0,8.50,8.50,0,0,,0,2,12
42,1962,1962-10-07,4,27.091,STL,,NYG,L 14-31,12,47,3.92,2,1,15,15.00,0,1,1,100.00,57,0,0,118.7,0,0,57.00,57.00,0,0,,0,2,12
43,1962,1962-10-14,5,27.098,STL,,WAS,T 17-17,9,19,2.11,1,2,22,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
44,1962,1962-10-21,6,27.105,STL,,CLE,L 7-34,9,28,3.11,0,3,15,5.00,1,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,0,0,,0,1,6
45,1962,1962-10-28,7,27.112,STL,@,DAL,W 28-24,13,46,3.54,0,1,9,9.00,0,1,1,100.00,50,0,0,118.7,0,0,50.00,50.00,0,0,,0,0,0
46,1962,1962-11-04,8,27.119,STL,@,NYG,L 28-31,19,56,2.95,1,2,38,19.00,0,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00,1,2,2.00,0,1,6
47,1962,1962-11-11,9,27.126,STL,,PIT,L 17-26,15,91,6.07,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,4,4.00,0,1,6
48,1962,1962-11-18,10,27.133,STL,@,CLE,L 14-38,14,65,4.64,0,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
49,1962,1962-11-25,11,27.140,STL,,SFO,L 17-24,9,39,4.33,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
50,1962,1962-12-02,12,27.147,STL,@,PIT,L 7-19,9,31,3.44,0,4,80,20.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
51,1962,1962-12-09,13,27.154,STL,,DAL,W 52-20,18,118,6.56,1,0,0,,0,2,3,66.67,26,0,0,93.7,0,0,8.67,8.67,0,0,,0,1,6
52,1962,1962-12-16,14,27.161,STL,,PHI,W 45-35,21,95,4.52,3,1,16,16.00,1,2,3,66.67,29,0,0,97.9,0,0,9.67,9.67,0,0,,0,4,24
53,1963,1963-10-13,5,28.097,STL,,PIT,W 24-23,5,18,3.60,0,0,0,,0,1,1,100.00,10,1,0,147.9,0,0,10.00,30.00,0,0,,0,0,0
54,1963,1963-10-20,6,28.104,STL,,GNB,L 7-30,1,5,5.00,0,0,0,,0,1,2,50.00,17,0,0,79.2,0,0,8.50,8.50,0,0,,0,0,0
55,1963,1963-10-27,7,28.111,STL,@,WAS,W 21-7,3,11,3.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
56,1964,1964-09-12,1,29.066,STL,@,DAL,W 16-6,4,12,3.00,0,1,22,22.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
57,1964,1964-09-20,2,29.074,STL,@,CLE,T 33-33,11,58,5.27,0,3,29,9.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
58,1964,1964-09-27,3,29.081,STL,@,SFO,W 23-13,20,39,1.95,1,3,44,14.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
59,1964,1964-10-04,4,29.088,STL,@,WAS,W 23-17,19,95,5.00,1,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
60,1964,1964-10-12,5,29.096,STL,@,BAL,L 27-47,11,26,2.36,1,1,-7,-7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
61,1964,1964-10-18,6,29.102,STL,,WAS,W 38-24,16,53,3.31,1,3,43,14.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
62,1964,1964-10-25,7,29.109,STL,,DAL,L 13-31,12,30,2.50,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
63,1964,1964-11-01,8,29.116,STL,@,NYG,L 17-34,4,7,1.75,1,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
64,1964,1964-11-08,9,29.123,STL,,PIT,W 34-30,5,18,3.60,0,3,26,8.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
65,1964,1964-11-22,11,29.137,STL,@,PHI,W 38-13,12,64,5.33,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
66,1964,1964-11-29,12,29.144,STL,@,PIT,W 21-20,11,17,1.55,1,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
67,1964,1964-12-06,13,29.151,STL,,CLE,W 28-19,21,72,3.43,0,2,20,10.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
68,1964,1964-12-13,14,29.158,STL,,PHI,W 36-34,17,63,3.71,0,2,31,15.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
69,1965,1965-09-19,1,30.073,SFO,,CHI,W 52-24,6,39,6.50,1,0,0,,0,1,1,100.00,16,0,0,118.7,0,0,16.00,16.00,0,0,,0,1,6
70,1965,1965-09-26,2,30.080,SFO,,PIT,W 27-17,9,25,2.78,0,3,90,30.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
71,1965,1965-10-03,3,30.087,SFO,@,BAL,L 24-27,6,13,2.17,0,1,6,6.00,0,1,1,100.00,45,1,0,158.3,0,0,45.00,65.00,0,0,,0,0,0
72,1965,1965-10-10,4,30.094,SFO,@,GNB,L 10-27,13,61,4.69,0,5,28,5.60,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
73,1965,1965-10-17,5,30.101,SFO,@,RAM,W 45-21,5,13,2.60,1,2,41,20.50,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,2,12
74,1965,1965-10-24,6,30.108,SFO,,MIN,L 41-42,10,51,5.10,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
75,1965,1965-10-31,7,30.115,SFO,,BAL,L 28-34,11,55,5.00,0,4,101,25.25,1,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,1,6
76,1965,1965-11-07,8,30.122,SFO,@,DAL,L 31-39,10,27,2.70,0,2,74,37.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
77,1965,1965-11-14,9,30.129,SFO,@,DET,W 27-21,12,26,2.17,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
78,1965,1965-11-21,10,30.136,SFO,,RAM,W 30-27,7,10,1.43,0,3,31,10.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
79,1965,1965-11-28,11,30.143,SFO,@,MIN,W 45-24,11,48,4.36,0,2,56,28.00,2,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
80,1965,1965-12-05,12,30.150,SFO,,DET,W 17-14,14,79,5.64,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
81,1965,1965-12-12,13,30.157,SFO,@,CHI,L 20-61,6,23,3.83,0,1,15,15.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
82,1965,1965-12-19,14,30.164,SFO,,GNB,T 24-24,12,44,3.67,0,3,48,16.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
83,1966,1966-09-11,1,31.065,SFO,,MIN,T 20-20,14,77,5.50,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
84,1966,1966-09-25,2,31.079,SFO,@,BAL,L 14-36,7,25,3.57,0,4,27,6.75,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
85,1966,1966-09-30,3,31.084,SFO,@,RAM,L 3-34,5,16,3.20,0,2,9,4.50,0,1,1,100.00,15,0,0,118.7,0,0,15.00,15.00,0,0,,0,0,0
86,1966,1966-10-09,4,31.093,SFO,,GNB,W 21-20,9,23,2.56,0,5,53,10.60,2,0,0,,0,0,0,,0,0,,,0,0,,0,2,12
87,1966,1966-10-16,5,31.100,SFO,@,ATL,W 44-7,10,50,5.00,0,2,19,9.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
88,1966,1966-10-23,6,31.107,SFO,,DET,W 27-24,16,69,4.31,1,1,7,7.00,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,1,6
89,1966,1966-10-30,7,31.114,SFO,@,MIN,L 3-28,6,2,0.33,0,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
90,1966,1966-11-06,8,31.121,SFO,,RAM,W 21-13,6,7,1.17,0,3,15,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
91,1966,1966-11-13,9,31.128,SFO,@,CHI,T 30-30,12,55,4.58,0,2,40,20.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
92,1966,1966-11-20,10,31.135,SFO,,PHI,L 34-35,10,30,3.00,0,4,48,12.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
93,1966,1966-11-24,11,31.139,SFO,@,DET,W 41-14,4,8,2.00,0,1,54,54.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
94,1966,1966-12-04,12,31.149,SFO,@,GNB,L 7-20,9,52,5.78,0,2,27,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
95,1966,1966-12-11,13,31.156,SFO,,CHI,W 41-14,12,50,4.17,0,1,7,7.00,0,1,1,100.00,46,0,0,118.7,0,0,46.00,46.00,0,0,,0,0,0
96,1966,1966-12-18,14,31.163,SFO,,BAL,L 14-30,1,13,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
97,1967,1967-09-17,1,32.071,SFO,@,MIN,W 27-21,13,68,5.23,1,1,15,15.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
98,1967,1967-09-24,2,32.078,SFO,,ATL,W 38-7,11,53,4.82,1,2,45,22.50,0,1,1,100.00,21,0,0,118.7,0,0,21.00,21.00,0,0,,0,1,6
99,1967,1967-10-01,3,32.085,SFO,@,BAL,L 7-41,9,15,1.67,0,3,19,6.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
100,1967,1967-10-08,4,32.092,SFO,@,RAM,W 27-24,6,9,1.50,0,2,61,30.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
101,1967,1967-10-15,5,32.099,SFO,@,PHI,W 28-27,9,18,2.00,0,3,35,11.67,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
102,1967,1967-10-22,6,32.106,SFO,,NOR,W 27-13,11,52,4.73,0,5,47,9.40,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
103,1967,1967-10-29,7,32.113,SFO,,DET,L 3-45,6,25,4.17,0,1,4,4.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
104,1967,1967-11-05,8,32.120,SFO,,RAM,L 7-17,6,41,6.83,0,2,27,13.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
105,1967,1967-11-12,9,32.127,SFO,@,WAS,L 28-31,5,20,4.00,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
106,1967,1967-11-19,10,32.134,SFO,@,GNB,L 0-13,9,45,5.00,0,4,41,10.25,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0
107,1967,1967-11-26,11,32.141,SFO,,BAL,L 9-26,4,12,3.00,0,3,22,7.33,0,1,1,100.00,25,0,0,118.7,0,0,25.00,25.00,0,0,,0,0,0
108,1967,1967-12-03,12,32.148,SFO,,CHI,L 14-28,7,23,3.29,0,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
109,1967,1967-12-10,13,32.155,SFO,@,ATL,W 34-28,7,49,7.00,0,1,16,16.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
110,1967,1967-12-16,14,32.161,SFO,,DAL,W 24-16,10,49,4.90,0,1,18,18.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,6
111,1968,1968-09-15,1,33.069,SFO,@,BAL,L 10-27,1,0,0.00,0,4,54,13.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
112,1968,1968-09-22,2,33.076,SFO,,STL,W 35-17,0,0,,0,3,77,25.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
113,1968,1968-09-29,3,33.083,SFO,,ATL,W 28-13,0,0,,0,2,35,17.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
114,1968,1968-10-06,4,33.090,SFO,@,RAM,L 10-24,0,0,,0,1,8,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
115,1968,1968-10-13,5,33.097,SFO,,BAL,L 14-42,0,0,,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
116,1968,1968-10-20,6,33.104,SFO,@,NYG,W 26-10,0,0,,0,2,37,18.50,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
117,1968,1968-10-27,7,33.111,SFO,@,DET,W 14-7,0,0,,0,3,16,5.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
118,1968,1968-11-03,8,33.118,SFO,,CLE,L 21-33,0,0,,0,3,23,7.67,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
119,1968,1968-11-17,10,33.132,SFO,,RAM,T 20-20,1,3,3.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
120,1968,1968-11-24,11,33.139,SFO,@,PIT,W 45-28,0,0,,0,4,144,36.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6
121,1968,1968-12-01,12,33.146,SFO,,GNB,W 27-20,2,1,0.50,0,3,54,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
122,1968,1968-12-08,13,33.153,SFO,,MIN,L 20-30,0,0,,0,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
123,1968,1968-12-15,14,33.160,SFO,@,ATL,W 14-12,0,0,,0,3,54,18.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0
