ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-17,1,23.259,DET,@,GNB,W 45-7,2,2,1.00,0,3,85,28.33,0,0,0,,0,0,,,,,,
2,1950,1950-09-24,2,23.266,DET,,PIT,W 10-7,16,87,5.44,0,3,30,10.00,1,0,0,,0,0,,,,,,
3,1950,1950-09-29,3,23.271,DET,@,NYY,L 21-44,6,28,4.67,1,1,13,13.00,0,0,0,,0,0,,,,,,
4,1950,1950-10-08,4,23.280,DET,,SFO,W 24-7,8,30,3.75,0,6,71,11.83,1,0,0,,0,0,,,,,,
5,1950,1950-10-15,5,23.287,DET,,RAM,L 28-30,12,21,1.75,1,1,6,6.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
6,1950,1950-10-22,6,23.294,DET,@,SFO,L 27-28,7,52,7.43,0,3,73,24.33,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
7,1950,1950-11-05,8,23.308,DET,,CHI,L 21-35,4,-1,-0.25,0,6,134,22.33,0,0,0,,0,0,,,,,,
8,1950,1950-11-19,9,23.322,DET,,GNB,W 24-21,9,47,5.22,0,4,67,16.75,3,1,2,50.00,6,0,0,56.2,0,0,3.00,3.00
9,1950,1950-11-23,10,23.326,DET,,NYY,W 49-14,6,69,11.50,1,2,3,1.50,0,0,2,0.00,0,0,0,39.6,0,0,0.00,0.00
10,1950,1950-12-03,11,23.336,DET,@,BAL,W 45-21,10,43,4.30,2,2,13,6.50,0,0,0,,0,0,,,,,,
11,1950,1950-12-10,12,23.343,DET,@,CHI,L 3-6,3,8,2.67,0,4,39,9.75,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
12,1951,1951-09-30,1,24.272,DET,,WAS,W 35-17,8,35,4.38,1,1,-1,-1.00,0,0,0,,0,0,,,,,,
13,1951,1951-10-08,2,24.280,DET,,NYY,W 37-10,6,14,2.33,0,3,88,29.33,2,0,0,,0,0,,,,,,
14,1951,1951-10-14,3,24.286,DET,,RAM,L 21-27,9,39,4.33,0,0,0,,0,1,1,100.00,7,0,0,95.8,0,0,7.00,7.00
15,1951,1951-10-21,4,24.293,DET,,NYY,T 24-24,6,5,0.83,0,5,64,12.80,0,0,0,,0,0,,,,,,
16,1951,1951-10-28,5,24.300,DET,,CHI,L 23-28,3,2,0.67,0,1,34,34.00,0,0,0,,0,0,,,,,,
17,1951,1951-11-04,6,24.307,DET,@,GNB,W 24-17,8,45,5.63,0,1,47,47.00,1,0,0,,0,0,,,,,,
