ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring
1,1980,1980-09-07,1,23.232,RAM,,DET,L 20-41,,,,,,,,,,
2,1980,1980-09-11,2,23.236,RAM,@,TAM,L 9-10,,,,,,,,,,
3,1980,1980-09-21,3,23.246,RAM,,GNB,W 51-21,,,,,,,,,,
4,1980,1980-09-28,4,23.253,RAM,@,NYG,W 28-7,1,9,9.00,0,0,0,,0,0,0
5,1980,1980-10-05,5,23.260,RAM,,SFO,W 48-26,2,41,20.50,0,0,0,,0,0,0
6,1980,1980-10-12,6,23.267,RAM,@,STL,W 21-13,2,20,10.00,0,0,0,,0,0,0
7,1980,1980-10-19,7,23.274,RAM,@,SFO,W 31-17,2,37,18.50,0,0,0,,0,0,0
8,1980,1980-10-26,8,23.281,RAM,@,ATL,L 10-13,,,,,,,,,,
9,1980,1980-11-02,9,23.288,RAM,,NOR,W 45-31,1,22,22.00,0,0,0,,0,0,0
10,1980,1980-11-09,10,23.295,RAM,,MIA,L 14-35,3,55,18.33,1,1,19,19.00,0,1,6
11,1980,1980-11-16,11,23.302,RAM,@,NWE,W 17-14,2,13,6.50,1,0,0,,0,1,6
12,1980,1980-11-24,12,23.310,RAM,@,NOR,W 27-7,2,42,21.00,0,0,0,,0,0,0
13,1980,1980-11-30,13,23.316,RAM,,NYJ,W 38-13,4,45,11.25,0,0,0,,0,0,0
14,1980,1980-12-07,14,23.323,RAM,@,BUF,L 7-10,2,12,6.00,0,0,0,,0,0,0
15,1980,1980-12-15,15,23.331,RAM,,DAL,W 38-14,2,22,11.00,1,0,0,,0,1,6
16,1980,1980-12-21,16,23.337,RAM,,ATL,W 20-17,0,0,,0,0,0,,0,0,
