ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1968,1968-09-22,2,23.197,DAL,,CLE,W 28-7,,0,0,,0,0,0,,0,0,,,4,189,47.25,0
2,1968,1968-09-29,3,23.204,DAL,@,PHI,W 45-13,,0,0,,0,0,0,,0,0,,,4,152,38.00,0
3,1968,1968-10-06,4,23.211,DAL,@,STL,W 27-10,,0,0,,0,0,0,,0,0,,,3,124,41.33,0
4,1968,1968-10-13,5,23.218,DAL,,PHI,W 34-14,,0,0,,0,0,0,,0,0,,,5,212,42.40,0
5,1968,1968-10-20,6,23.225,DAL,@,MIN,W 20-7,,0,0,,0,0,0,,0,0,,,3,127,42.33,0
6,1968,1968-10-28,7,23.233,DAL,,GNB,L 17-28,,0,0,,0,0,0,,0,0,,,5,225,45.00,0
7,1968,1968-11-03,8,23.239,DAL,@,NOR,W 17-3,,0,0,,0,0,0,,0,0,,,5,267,53.40,0
8,1968,1968-11-10,9,23.246,DAL,,NYG,L 21-27,,0,0,,0,0,0,,0,0,,,3,125,41.67,0
9,1968,1968-11-17,10,23.253,DAL,@,WAS,W 44-24,,0,0,,0,0,0,,0,0,,,4,182,45.50,0
10,1968,1968-11-24,11,23.260,DAL,@,CHI,W 34-3,,0,0,,0,0,0,,0,0,,,2,73,36.50,0
11,1968,1968-11-28,12,23.264,DAL,,WAS,W 29-20,,0,0,,0,0,0,,0,0,,,8,324,40.50,0
12,1968,1968-12-08,13,23.274,DAL,,PIT,W 28-7,,0,0,,0,0,0,,0,0,,,7,211,30.14,0
13,1968,1968-12-15,14,23.281,DAL,@,NYG,W 28-10,,0,0,,0,0,0,,0,0,,,6,204,34.00,0
14,1969,1969-09-21,1,24.196,DAL,,STL,W 24-3,,0,0,,0,0,0,,0,0,,,6,242,40.33,0
15,1969,1969-09-28,2,24.203,DAL,@,NOR,W 21-17,,0,0,,0,0,0,,0,0,,,6,278,46.33,0
16,1969,1969-10-05,3,24.210,DAL,@,PHI,W 38-7,,0,0,,0,0,0,,0,0,,,4,173,43.25,0
17,1969,1969-10-12,4,24.217,DAL,@,ATL,W 24-17,,0,0,,0,0,0,,0,0,,,5,195,39.00,0
