ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2000,2000-09-10,1,24.025,CIN,,CLE,L 7-24,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
2,2000,2000-09-17,2,24.032,CIN,@,JAX,L 0-13,,0,0,,0,,,,,2,0.0,0,0,0.0,,,0,0,,0
3,2000,2000-09-24,3,24.039,CIN,@,BAL,L 0-37,,,,,,,,,,,,,,,,,,,,
4,2000,2000-10-01,4,24.046,CIN,,MIA,L 16-31,,0,0,,0,1,1,100.0,3,3,100.0,0,10,0.0,,,0,0,,0
5,2000,2000-10-08,5,24.053,CIN,,TEN,L 14-23,,0,0,,0,2,2,100.0,,2,0.0,0,2,0.0,,,0,0,,0
6,2000,2000-10-15,6,24.060,CIN,@,PIT,L 0-15,,1,-5,-5.00,0,,,,,,,0,0,0.0,,,0,0,,0
7,2000,2000-10-22,7,24.067,CIN,,DEN,W 31-21,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
8,2000,2000-10-29,8,24.074,CIN,@,CLE,W 12-3,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
9,2000,2000-11-05,9,24.081,CIN,,BAL,L 7-27,,0,0,,0,1,1,100.0,,,,0,1,,,,,,,
10,2000,2000-11-12,10,24.088,CIN,@,DAL,L 6-23,,0,0,,0,,,,2,2,100.0,0,6,0.0,,,0,0,,0
11,2000,2000-11-19,11,24.095,CIN,@,NWE,L 13-16,,0,0,,0,1,1,100.0,2,3,66.7,0,7,0.0,,,0,0,,0
12,2000,2000-11-26,12,24.102,CIN,,PIT,L 28-48,,0,0,,0,4,4,100.0,,,,0,4,,,,,,,
13,2000,2000-12-03,13,24.109,CIN,,ARI,W 24-13,,0,0,,0,3,3,100.0,1,3,33.3,0,6,0.0,,,0,0,,0
14,2000,2000-12-10,14,24.116,CIN,@,TEN,L 3-35,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
15,2000,2000-12-17,15,24.123,CIN,,JAX,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
16,2000,2000-12-24,16,24.130,CIN,@,PHI,L 7-16,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
17,2001,2001-09-09,1,25.024,CIN,,NWE,W 23-17,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
18,2001,2001-09-23,2,25.038,CIN,,BAL,W 21-10,,0,0,,0,3,3,100.0,,3,0.0,0,3,0.0,,,0,0,,0
19,2001,2001-09-30,3,25.045,CIN,@,SDG,L 14-28,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
20,2001,2001-10-07,4,25.052,CIN,@,PIT,L 7-16,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
21,2001,2001-10-14,5,25.059,CIN,,CLE,W 24-14,,0,0,,0,1,1,100.0,3,4,75.0,0,10,0.0,,,0,0,,0
22,2001,2001-10-21,6,25.066,CIN,,CHI,L 0-24,,0,0,,0,,,,,1,0.0,0,0,0.0,,,0,0,,0
23,2001,2001-10-28,7,25.073,CIN,@,DET,W 31-27,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
24,2001,2001-11-11,8,25.087,CIN,@,JAX,L 13-30,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
25,2001,2001-11-18,9,25.094,CIN,,TEN,L 7-20,,0,0,,0,1,1,100.0,,,,0,1,0.0,,,1,32,32.00,0
26,2001,2001-11-25,10,25.101,CIN,@,CLE,L 0-18,,0,0,,0,,,,,2,0.0,0,0,0.0,,,0,0,,0
27,2001,2001-12-02,11,25.108,CIN,,TAM,L 13-16,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
28,2001,2001-12-09,12,25.115,CIN,,JAX,L 10-14,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
29,2001,2001-12-16,13,25.122,CIN,@,NYJ,L 14-15,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
30,2001,2001-12-30,15,25.136,CIN,,PIT,W 26-23,,0,0,,0,2,3,66.7,2,4,50.0,0,8,0.0,,,0,0,,0
31,2001,2002-01-06,16,25.143,CIN,@,TEN,W 23-21,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
32,2002,2002-09-08,1,26.023,CIN,,SDG,L 6-34,,0,0,,0,,,,2,2,100.0,0,6,0.0,,,0,0,,0
33,2002,2002-09-15,2,26.030,CIN,@,CLE,L 7-20,,0,0,,0,1,1,100.0,,,,0,1,0.0,,,1,-2,-2.00,0
34,2002,2002-09-22,3,26.037,CIN,@,ATL,L 3-30,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
35,2002,2002-09-29,4,26.044,CIN,,TAM,L 7-35,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
36,2002,2002-10-06,5,26.051,CIN,@,IND,L 21-28,,0,0,,0,3,3,100.0,,,,0,3,,,,,,,
37,2002,2002-10-13,6,26.058,CIN,,PIT,L 7-34,,0,0,,0,1,1,100.0,,1,0.0,0,1,0.0,,,0,0,,0
38,2002,2002-10-27,7,26.072,CIN,,TEN,L 24-30,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
39,2002,2002-11-03,8,26.079,CIN,@,HOU,W 38-3,,0,0,,0,5,5,100.0,1,1,100.0,0,8,0.0,,,0,0,,0
40,2002,2002-11-10,9,26.086,CIN,@,BAL,L 27-38,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
41,2002,2002-11-17,10,26.093,CIN,,CLE,L 20-27,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
42,2002,2002-11-24,11,26.100,CIN,@,PIT,L 21-29,,0,0,,0,3,3,100.0,,,,0,3,0.0,,,1,19,19.00,0
43,2002,2002-12-01,12,26.107,CIN,,BAL,L 23-27,,0,0,,0,2,3,66.7,1,1,100.0,0,5,0.0,,,0,0,,0
44,2002,2002-12-08,13,26.114,CIN,@,CAR,L 31-52,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
45,2002,2002-12-15,14,26.121,CIN,,JAX,L 15-29,,0,0,,0,,,,3,3,100.0,0,9,0.0,,,0,0,,0
46,2002,2002-12-22,15,26.128,CIN,,NOR,W 20-13,,0,0,,0,2,3,66.7,,,,0,2,,,,,,,
47,2002,2002-12-29,16,26.135,CIN,@,BUF,L 9-27,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
48,2003,2003-11-16,10,27.092,ARI,@,CLE,L 6-44,,0,0,,0,,,,2,2,100.0,0,6,0.0,,,0,0,,0
49,2003,2003-11-23,11,27.099,ARI,,STL,L 27-30,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
50,2003,2003-11-30,12,27.106,ARI,@,CHI,L 3-28,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
51,2003,2003-12-07,13,27.113,ARI,@,SFO,L 14-50,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
52,2003,2003-12-14,14,27.120,ARI,,CAR,L 17-20,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
53,2003,2003-12-21,15,27.127,ARI,@,SEA,L 10-28,,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,,,0,0,,0
54,2003,2003-12-28,16,27.134,ARI,,MIN,W 18-17,,0,0,,0,,,,2,2,100.0,0,6,0.0,,,0,0,,0
55,2004,2004-09-12,1,28.027,ARI,@,STL,L 10-17,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
56,2004,2004-09-19,2,28.034,ARI,,NWE,L 12-23,,0,0,,0,,,,2,3,66.7,0,6,0.0,,,0,0,,0
57,2004,2004-09-26,3,28.041,ARI,@,ATL,L 3-6,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
58,2004,2004-10-03,4,28.048,ARI,,NOR,W 34-10,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
59,2004,2004-10-10,5,28.055,ARI,@,SFO,L 28-31,,0,0,,0,4,4,100.0,,,,0,4,,,,,,,
60,2004,2004-10-24,6,28.069,ARI,,SEA,W 25-17,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,,,0,0,,0
61,2004,2004-10-31,7,28.076,ARI,@,BUF,L 14-38,,0,0,,0,2,2,100.0,,1,0.0,0,2,0.0,,,0,0,,0
62,2004,2004-11-07,8,28.083,ARI,@,MIA,W 24-23,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,,,0,0,,0
63,2004,2004-11-14,9,28.090,ARI,,NYG,W 17-14,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
64,2004,2004-11-21,10,28.097,ARI,@,CAR,L 10-35,,0,0,,0,1,1,100.0,1,2,50.0,0,4,0.0,,,0,0,,0
65,2004,2004-11-28,11,28.104,ARI,,NYJ,L 3-13,,0,0,,0,,,,1,1,100.0,0,3,0.0,,,0,0,,0
66,2004,2004-12-05,12,28.111,ARI,@,DET,L 12-26,,0,0,,0,,,,2,2,100.0,0,6,0.0,,,0,0,,0
67,2004,2004-12-12,13,28.118,ARI,,SFO,L 28-31,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
68,2004,2004-12-19,14,28.125,ARI,,STL,W 31-7,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
69,2004,2004-12-26,15,28.132,ARI,@,SEA,L 21-24,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
70,2004,2005-01-02,16,28.139,ARI,,TAM,W 12-7,,0,0,,0,,,,4,6,66.7,0,12,0.0,,,0,0,,0
71,2005,2005-09-11,1,29.026,ARI,@,NYG,L 19-42,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
72,2005,2005-09-18,2,29.033,ARI,,STL,L 12-17,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
73,2005,2005-09-25,3,29.040,ARI,@,SEA,L 12-37,,0,0,,0,,,,4,4,100.0,0,12,0.0,,,0,0,,0
74,2005,2005-10-02,4,29.047,ARI,,SFO,W 31-14,,0,0,,0,1,1,100.0,6,6,100.0,0,19,0.0,,,0,0,,0
75,2005,2005-10-09,5,29.054,ARI,,CAR,L 20-24,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
76,2005,2005-10-23,6,29.068,ARI,,TEN,W 20-10,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
77,2005,2005-10-30,7,29.075,ARI,@,DAL,L 13-34,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
78,2005,2005-11-06,8,29.082,ARI,,SEA,L 19-33,,0,0,,0,1,1,100.0,4,4,100.0,0,13,0.0,,,0,0,,0
79,2005,2005-11-13,9,29.089,ARI,@,DET,L 21-29,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
80,2005,2005-11-20,10,29.096,ARI,@,STL,W 38-28,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
81,2005,2005-11-27,11,29.103,ARI,,JAX,L 17-24,,0,0,,0,2,2,100.0,1,2,50.0,0,5,0.0,,,0,0,,0
82,2005,2005-12-11,13,29.117,ARI,,WAS,L 13-17,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
83,2005,2005-12-18,14,29.124,ARI,@,HOU,L 19-30,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
84,2005,2005-12-24,15,29.130,ARI,,PHI,W 27-21,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
85,2005,2006-01-01,16,29.138,ARI,@,IND,L 13-17,,0,0,,0,1,1,100.0,2,2,100.0,0,7,0.0,,,0,0,,0
86,2006,2006-09-10,1,30.025,ARI,,SFO,W 34-27,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
87,2006,2006-09-17,2,30.032,ARI,@,SEA,L 10-21,,0,0,,0,1,1,100.0,1,3,33.3,0,4,0.0,,,0,0,,0
88,2006,2006-09-24,3,30.039,ARI,,STL,L 14-16,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
89,2006,2006-10-01,4,30.046,ARI,@,ATL,L 10-32,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
90,2006,2006-10-08,5,30.053,ARI,,KAN,L 20-23,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
91,2006,2006-10-16,6,30.061,ARI,,CHI,L 23-24,,0,0,,0,2,2,100.0,3,5,60.0,0,11,0.0,,,0,0,,0
92,2006,2006-10-22,7,30.067,ARI,@,OAK,L 9-22,,0,0,,0,,,,3,4,75.0,0,9,0.0,,,0,0,,0
93,2006,2006-10-29,8,30.074,ARI,@,GNB,L 14-31,,0,0,,0,2,2,100.0,,,,0,2,,,,,,,
94,2006,2006-11-12,9,30.088,ARI,,DAL,L 10-27,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
95,2006,2006-11-19,10,30.095,ARI,,DET,W 17-10,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
96,2006,2006-11-26,11,30.102,ARI,@,MIN,L 26-31,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
97,2006,2006-12-03,12,30.109,ARI,@,STL,W 34-20,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,,,0,0,,0
98,2006,2006-12-10,13,30.116,ARI,,SEA,W 27-21,,0,0,,0,3,3,100.0,2,3,66.7,0,9,0.0,,,0,0,,0
99,2006,2006-12-17,14,30.123,ARI,,DEN,L 20-37,,0,0,,0,2,2,100.0,2,3,66.7,0,8,0.0,,,0,0,,0
100,2006,2006-12-24,15,30.130,ARI,@,SFO,W 26-20,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,,,0,0,,0
101,2006,2006-12-31,16,30.137,ARI,@,SDG,L 20-27,,0,0,,0,2,2,100.0,2,2,100.0,0,8,0.0,,,0,0,,0
102,2007,2007-09-10,1,31.025,ARI,@,SFO,L 17-20,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,,,0,0,,0
103,2007,2007-09-16,2,31.031,ARI,,SEA,W 23-20,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,,,0,0,,0
104,2007,2007-09-23,3,31.038,ARI,@,BAL,L 23-26,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,,,0,0,,0
105,2007,2007-09-30,4,31.045,ARI,,PIT,W 21-14,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
106,2007,2007-10-07,5,31.052,ARI,@,STL,W 34-31,,0,0,,0,4,4,100.0,2,3,66.7,0,10,0.0,,,0,0,,0
107,2007,2007-10-14,6,31.059,ARI,,CAR,L 10-25,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
108,2007,2007-10-21,7,31.066,ARI,@,WAS,L 19-21,,0,0,,0,1,2,50.0,,1,0.0,0,1,0.0,,,0,0,,0
109,2007,2007-11-04,8,31.080,ARI,@,TAM,L 10-17,,0,0,,0,1,1,100.0,1,1,100.0,0,4,0.0,,,0,0,,0
110,2007,2007-11-11,9,31.087,ARI,,DET,W 31-21,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,,,0,0,,0
111,2007,2007-11-18,10,31.094,ARI,@,CIN,W 35-27,,0,0,,0,5,5,100.0,,1,0.0,0,5,0.0,,,0,0,,0
112,2007,2007-11-25,11,31.101,ARI,,SFO,L 31-37,,0,0,,0,4,4,100.0,1,2,50.0,0,7,0.0,,,0,0,,0
113,2007,2007-12-02,12,31.108,ARI,,CLE,W 27-21,,0,0,,0,3,3,100.0,2,2,100.0,0,9,0.0,,,0,0,,0
114,2007,2007-12-09,13,31.115,ARI,@,SEA,L 21-42,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,,,0,0,,0
115,2007,2007-12-16,14,31.122,ARI,@,NOR,L 24-31,,0,0,,0,3,3,100.0,1,2,50.0,0,6,0.0,,,0,0,,0
116,2007,2007-12-23,15,31.129,ARI,,ATL,W 30-27,,0,0,,0,3,3,100.0,3,3,100.0,0,12,0.0,,,0,0,,0
117,2007,2007-12-30,16,31.136,ARI,,STL,W 48-19,,0,0,,0,6,6,100.0,2,2,100.0,0,12,0.0,,,0,0,,0
118,2008,2008-09-07,1,32.022,ARI,@,SFO,W 23-13,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,,0
119,2008,2008-09-14,2,32.029,ARI,,MIA,W 31-10,,0,0,,0,4,4,100.0,1,1,100.0,0,7,0.0,0,0,0,0,,0
120,2008,2008-09-21,3,32.036,ARI,@,WAS,L 17-24,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,1,0,0,,0
121,2008,2008-09-28,4,32.043,ARI,@,NYJ,L 35-56,,0,0,,0,3,3,100.0,,1,0.0,0,3,0.0,0,0,0,0,,0
122,2008,2008-10-05,5,32.050,ARI,,BUF,W 41-17,,0,0,,0,5,5,100.0,2,2,100.0,0,11,0.0,0,0,0,0,,0
123,2008,2008-10-12,6,32.057,ARI,,DAL,W 30-24,,0,0,,0,3,3,100.0,1,1,100.0,0,6,0.0,0,0,0,0,,0
124,2008,2008-10-26,7,32.071,ARI,@,CAR,L 23-27,,0,0,,0,2,2,100.0,1,1,100.0,0,5,0.0,0,0,0,0,,0
125,2008,2008-11-02,8,32.078,ARI,@,STL,W 34-13,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0
126,2008,2008-11-10,9,32.086,ARI,,SFO,W 29-24,,0,0,,0,2,2,100.0,3,3,100.0,0,11,0.0,0,0,0,0,,0
127,2008,2008-11-16,10,32.092,ARI,@,SEA,W 26-20,,0,0,,0,2,2,100.0,4,4,100.0,0,14,0.0,0,0,0,0,,0
128,2008,2008-11-23,11,32.099,ARI,,NYG,L 29-37,,0,0,,0,2,2,100.0,3,4,75.0,0,11,0.0,0,0,0,0,,0
129,2008,2008-11-27,12,32.103,ARI,@,PHI,L 20-48,,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
130,2008,2008-12-07,13,32.113,ARI,,STL,W 34-10,,0,0,,0,4,4,100.0,2,2,100.0,0,10,0.0,0,0,0,0,,0
131,2008,2008-12-14,14,32.120,ARI,,MIN,L 14-35,,0,0,,0,2,2,100.0,,,,0,2,0.0,0,0,0,0,,0
