ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,22.225,NWE,,BUF,W 19-17,,2,2,100.0,1,1,100.0,0,5,0.0,,
2,2006,2006-09-17,2,22.232,NWE,@,NYJ,W 24-17,,3,3,100.0,1,2,50.0,0,6,0.0,,
3,2006,2006-09-24,3,22.239,NWE,,DEN,L 7-17,,1,1,100.0,,1,0.0,0,1,0.0,,
4,2006,2006-10-01,4,22.246,NWE,@,CIN,W 38-13,,5,5,100.0,1,2,50.0,0,8,0.0,,
5,2006,2006-10-08,5,22.253,NWE,,MIA,W 20-10,,2,2,100.0,2,2,100.0,0,8,0.0,,
6,2006,2006-10-22,6,22.267,NWE,@,BUF,W 28-6,,4,4,100.0,,,,0,4,,,
7,2006,2006-10-30,7,22.275,NWE,@,MIN,W 31-7,,4,4,100.0,1,1,100.0,0,7,0.0,,
8,2006,2006-11-05,8,22.281,NWE,,IND,L 20-27,,2,2,100.0,2,3,66.7,0,8,0.0,,
9,2006,2006-11-12,9,22.288,NWE,,NYJ,L 14-17,,,,,2,2,100.0,0,6,0.0,,
10,2006,2006-11-19,10,22.295,NWE,@,GNB,W 35-0,,5,5,100.0,,,,0,5,,,
11,2006,2006-11-26,11,22.302,NWE,,CHI,W 17-13,,2,2,100.0,1,1,100.0,0,5,0.0,,
12,2006,2006-12-03,12,22.309,NWE,,DET,W 28-21,,2,2,100.0,2,2,100.0,0,8,0.0,,
13,2006,2006-12-10,13,22.316,NWE,@,MIA,L 0-21,,,,,,,,,,,,
14,2006,2006-12-17,14,22.323,NWE,,HOU,W 40-7,,4,4,100.0,4,4,100.0,0,16,0.0,,
15,2006,2006-12-24,15,22.330,NWE,@,JAX,W 24-21,,3,3,100.0,1,2,50.0,0,6,0.0,,
16,2006,2006-12-31,16,22.337,NWE,@,TEN,W 40-23,,4,5,80.0,2,3,66.7,0,10,0.0,,
17,2007,2007-09-09,1,23.224,NWE,@,NYJ,W 38-14,,5,5,100.0,1,1,100.0,0,8,0.0,,
18,2007,2007-09-16,2,23.231,NWE,,SDG,W 38-14,,5,5,100.0,1,2,50.0,0,8,0.0,,
19,2007,2007-09-23,3,23.238,NWE,,BUF,W 38-7,,5,5,100.0,1,1,100.0,0,8,0.0,,
