ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,tackles_solo,tackles_assists
1,2009,2009-09-27,3,23.083,DET,,WAS,W 19-14,,,,,,,0.0%,,,,,,,,,,,,
2,2009,2009-10-11,5,23.097,DET,,PIT,L 20-28,,3,2,37,18.50,0,66.7%,12.33,0,0,,0,5,109,21.80,0,0.0,0,0
3,2009,2009-10-18,6,23.104,DET,@,GNB,L 0-26,,3,1,7,7.00,0,33.3%,2.33,0,0,,0,6,96,16.00,0,0.0,0,0
4,2009,2009-11-01,7,23.118,DET,,STL,L 10-17,,1,0,0,,0,0.0%,0.00,0,0,,0,3,66,22.00,0,0.0,0,0
5,2009,2009-11-08,8,23.125,DET,@,SEA,L 20-32,,0,0,0,,0,0.0%,,0,0,,0,8,178,22.25,0,0.0,1,0
6,2009,2009-11-15,9,23.132,DET,@,MIN,L 10-27,,2,2,3,1.50,0,100.0%,1.50,0,0,,0,3,74,24.67,0,0.0,0,0
7,2009,2009-12-06,12,23.153,DET,@,CIN,L 13-23,,0,,,,,0.0%,,,,,,,,,,,,
8,2009,2009-12-13,13,23.160,DET,@,BAL,L 3-48,,0,0,0,,0,0.0%,,0,0,,0,4,86,21.50,0,0.0,0,0
9,2009,2009-12-20,14,23.167,DET,,ARI,L 24-31,,3,1,5,5.00,0,33.3%,1.67,0,0,,0,6,154,25.67,0,0.0,0,0
10,2009,2009-12-27,15,23.174,DET,@,SFO,L 6-20,,1,0,0,,0,0.0%,0.00,1,4,4.00,0,0,0,,0,0.0,0,0
11,2009,2010-01-03,16,23.181,DET,,CHI,L 23-37,,0,0,0,,0,0.0%,,0,0,,0,7,168,24.00,0,0.0,0,0
12,2010,2010-09-26,3,24.082,DET,@,MIN,L 10-24,,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,0,0.0,0,0
13,2010,2010-10-03,4,24.089,DET,@,GNB,L 26-28,,0,,,,,0.0%,,,,,,,,,,,,
14,2010,2010-10-10,5,24.096,DET,,STL,W 44-6,,,,,,,0.0%,,,,,,,,,,,,
15,2010,2010-11-07,8,24.124,DET,,NYJ,L 20-23,,0,,,,,0.0%,,,,,,,,,,,,
16,2010,2010-11-21,10,24.138,DET,@,DAL,L 19-35,,0,,,,,0.0%,,,,,,,,,,,,
17,2010,2010-11-25,11,24.142,DET,,NWE,L 24-45,*,3,1,7,7.00,0,33.3%,2.33,0,0,,0,0,0,,0,0.0,0,0
18,2010,2010-12-05,12,24.152,DET,,CHI,L 20-24,,,,,,,0.0%,,,,,,,,,,,,
