ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1990,1990-10-28,7,23.312,NWE,,BUF,L 10-27,,,,,,,,
2,1990,1990-11-04,8,23.319,NWE,@,PHI,L 20-48,,,,,,,,
3,1990,1990-11-11,9,23.326,NWE,,IND,L 10-13,,,,,,,,
4,1990,1990-11-18,10,23.333,NWE,@,BUF,L 0-14,,,,,,,,
5,1990,1990-11-25,11,23.340,NWE,@,PHO,L 14-34,,,,,,,,
6,1990,1990-12-02,12,23.347,NWE,,KAN,L 7-37,,,,,,,,
7,1990,1990-12-09,13,23.354,NWE,@,PIT,L 3-24,,,,,,,,
8,1990,1990-12-15,14,23.360,NWE,,WAS,L 10-25,,,,,,,,
9,1990,1990-12-23,15,24.003,NWE,@,NYJ,L 7-42,,,,,,,,
10,1990,1990-12-30,16,24.010,NWE,,NYG,L 10-13,,,,,,,,
11,1991,1991-09-01,1,24.255,GNB,,PHI,L 3-20,,,,,,,,
12,1991,1991-09-08,2,24.262,GNB,@,DET,L 14-23,,,,,,,,
13,1991,1991-09-15,3,24.269,GNB,,TAM,W 15-13,,,,,,,,
14,1991,1991-09-22,4,24.276,GNB,@,MIA,L 13-16,,,,,,,,
15,1991,1991-09-29,5,24.283,GNB,@,RAM,L 21-23,,,,,,,,
16,1991,1991-10-06,6,24.290,GNB,,DAL,L 17-20,,,,,,,,
17,1991,1991-10-17,7,24.301,GNB,,CHI,L 0-10,,,,,,,,
18,1991,1991-10-27,8,24.311,GNB,@,TAM,W 27-0,,,,,,,,
19,1991,1991-11-03,9,24.318,GNB,@,NYJ,L 16-19,,,,,,,,
20,1991,1991-11-10,10,24.325,GNB,,BUF,L 24-34,,,,,,,,
21,1991,1991-11-17,11,24.332,GNB,,MIN,L 21-35,,,,,,,,
22,1991,1991-11-24,12,24.339,GNB,,IND,W 14-10,,,,,,,,
23,1991,1991-12-01,13,24.346,GNB,@,ATL,L 31-35,,,,,,,,
24,1991,1991-12-08,14,24.353,GNB,@,CHI,L 13-27,,,,,,,,
25,1991,1991-12-15,15,24.360,GNB,,DET,L 17-21,,,,,,,,
26,1991,1991-12-21,16,25.001,GNB,@,MIN,W 27-7,,,,,,,,
27,1992,1992-09-06,1,25.261,GNB,,MIN,L 20-23,,0,0,,0,,,
28,1992,1992-09-13,2,25.268,GNB,@,TAM,L 3-31,,0,0,,0,,,
29,1992,1992-09-20,3,25.275,GNB,,CIN,W 24-23,,0,0,,0,,,
30,1992,1992-09-27,4,25.282,GNB,,PIT,W 17-3,,1,2,2.00,0,0,0,0
