ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2003,2003-09-07,1,21.124,DAL,,ATL,L 13-27,*,4,1,13,13.00,0,25.0%,3.25,0,0,,0,0,0,,,,,,,0,0,0.0,,
2,2003,2003-09-15,2,21.132,DAL,@,NYG,W 35-32,*,3,2,25,12.50,0,66.7%,8.33,0,0,,0,0,0,,,,,,,0,0,0.0,,
3,2003,2003-09-28,3,21.145,DAL,@,NYJ,W 17-6,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
4,2003,2003-10-05,4,21.152,DAL,,ARI,W 24-7,*,6,4,41,10.25,0,66.7%,6.83,0,0,,0,0,0,,,,,,,0,0,0.0,,
5,2003,2003-10-19,6,21.166,DAL,@,DET,W 38-7,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
6,2003,2003-10-26,7,21.173,DAL,@,TAM,L 0-16,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,,,,,,,0,0,0.0,,
7,2003,2003-11-02,8,21.180,DAL,,WAS,W 21-14,,1,,,,,0.0%,,,,,,,,,,,,,,,,,,
8,2003,2003-11-09,9,21.187,DAL,,BUF,W 10-6,,4,3,24,8.00,0,75.0%,6.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
9,2003,2003-11-16,10,21.194,DAL,@,NWE,L 0-12,*,2,1,6,6.00,0,50.0%,3.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
10,2003,2003-11-23,11,21.201,DAL,,CAR,W 24-20,,6,6,49,8.17,0,100.0%,8.17,0,0,,0,0,0,,,,,,,0,0,0.0,,
11,2003,2003-11-27,12,21.205,DAL,,MIA,L 21-40,*,11,8,58,7.25,0,72.7%,5.27,0,0,,0,0,0,,,,,,,0,0,0.0,,
12,2003,2003-12-07,13,21.215,DAL,@,PHI,L 10-36,*,4,3,35,11.67,0,75.0%,8.75,0,0,,0,0,0,,,,,,,0,0,0.0,,
13,2003,2003-12-14,14,21.222,DAL,@,WAS,W 27-0,,2,,,,,0.0%,,,,,,,,,,,,,,,,,,
14,2003,2003-12-21,15,21.229,DAL,,NYG,W 19-3,,2,1,36,36.00,1,50.0%,18.00,0,0,,0,0,0,,,,,,,1,6,0.0,,
15,2003,2003-12-28,16,21.236,DAL,@,NOR,L 7-13,*,5,5,45,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,,0,0,0.0,,
16,2004,2004-09-12,1,22.129,DAL,@,MIN,L 17-35,,8,3,17,5.67,0,37.5%,2.13,0,0,,0,0,0,,,,,,,0,0,0.0,,
17,2004,2004-09-19,2,22.136,DAL,,CLE,W 19-12,*,6,6,82,13.67,0,100.0%,13.67,0,0,,0,0,0,,,,,,,0,0,0.0,,
18,2004,2004-09-27,3,22.144,DAL,@,WAS,W 21-18,*,4,3,22,7.33,1,75.0%,5.50,0,0,,0,0,0,,,,,,,1,6,0.0,,
19,2004,2004-10-10,4,22.157,DAL,,NYG,L 10-26,*,8,5,35,7.00,0,62.5%,4.38,0,0,,0,0,0,,,,,,,0,0,0.0,,
20,2004,2004-10-17,5,22.164,DAL,,PIT,L 20-24,*,6,5,39,7.80,0,83.3%,6.50,0,0,,0,0,0,,,,,,,0,0,0.0,,
21,2004,2004-10-24,6,22.171,DAL,@,GNB,L 20-41,*,10,8,112,14.00,1,80.0%,11.20,0,0,,0,0,0,,,,,,,1,6,0.0,,
22,2004,2004-10-31,7,22.178,DAL,,DET,W 31-21,*,9,9,84,9.33,1,100.0%,9.33,0,0,,0,0,0,,,,,,,1,6,0.0,,
23,2004,2004-11-07,8,22.185,DAL,@,CIN,L 3-26,*,6,6,97,16.17,0,100.0%,16.17,0,0,,0,0,0,,,,,,,0,0,0.0,,
24,2004,2004-11-15,9,22.193,DAL,,PHI,L 21-49,*,11,9,133,14.78,2,81.8%,12.09,0,0,,0,0,0,,,,,,,2,12,0.0,,
