ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1976,1976-09-12,1,22.306,DEN,@,CIN,L 7-17,,,,,,,,,,,,,
2,1976,1976-09-19,2,22.313,DEN,,NYJ,W 46-3,0,0,,0,1,5,5.00,0,0,0,0,0,0
3,1976,1976-09-26,3,22.320,DEN,,CLE,W 44-13,,,,,,,,,,,,,
4,1976,1976-10-03,4,22.327,DEN,,SDG,W 26-0,0,0,,0,1,11,11.00,0,0,0,0,0,0
5,1976,1976-10-10,5,22.334,DEN,@,HOU,L 3-17,,,,,,,,,,,,,
6,1976,1976-10-17,6,22.341,DEN,,OAK,L 10-17,0,0,,0,1,16,16.00,0,0,0,0,0,0
7,1976,1976-10-24,7,22.348,DEN,@,KAN,W 35-26,,,,,,,,,,,,,
8,1976,1976-10-31,8,22.355,DEN,@,OAK,L 6-19,0,0,,0,1,0,0.00,0,0,0,0,0,0
9,1976,1976-11-07,9,22.362,DEN,,TAM,W 48-13,,,,,,,,,,,,,
10,1976,1976-11-14,10,23.003,DEN,@,SDG,W 17-0,0,0,,0,0,0,,0,0,0,2,38,0
11,1976,1976-11-21,11,23.010,DEN,,NYG,W 14-13,0,0,,0,1,10,10.00,0,0,0,2,57,0
12,1976,1976-11-28,12,23.017,DEN,@,NWE,L 14-38,,,,,,,,,,,,,
13,1976,1976-12-05,13,23.024,DEN,,KAN,W 17-16,,,,,,,,,,,,,
14,1976,1976-12-12,14,23.031,DEN,@,CHI,W 28-14,,,,,,,,,,,,,
15,1977,1977-09-18,1,23.311,DEN,,STL,W 7-0,,,,,,,,,,,,,
16,1977,1977-09-25,2,23.318,DEN,,BUF,W 26-6,0,0,,0,0,0,,0,0,0,1,22,0
17,1977,1977-10-02,3,23.325,DEN,@,SEA,W 24-13,0,0,,0,0,0,,0,0,0,1,0,0
18,1977,1977-10-16,5,23.339,DEN,@,OAK,W 30-7,,,,,,,,,,,,,
19,1977,1977-10-23,6,23.346,DEN,@,CIN,W 24-13,,,,,,,,,,,,,
20,1977,1977-10-30,7,23.353,DEN,,OAK,L 14-24,,,,,,,,,,,,,
21,1977,1977-11-06,8,23.360,DEN,,PIT,W 21-7,,,,,,,,,,,,,
22,1977,1977-11-13,9,24.002,DEN,@,SDG,W 17-14,,,,,,,,,,,,,
23,1977,1977-11-20,10,24.009,DEN,@,KAN,W 14-7,,,,,,,,,,,,,
24,1977,1977-11-27,11,24.016,DEN,,BAL,W 27-13,,,,,,,,,,,,,
25,1977,1977-12-04,12,24.023,DEN,@,HOU,W 24-14,,,,,,,,,,,,,
26,1977,1977-12-11,13,24.030,DEN,,SDG,W 17-9,0,0,,0,0,0,,0,0,0,1,0,0
27,1977,1977-12-18,14,24.037,DEN,@,DAL,L 6-14,,,,,,,,,,,,,
28,1978,1978-09-03,1,24.296,DEN,,OAK,W 14-6,,,,,,,,,,,,,
29,1978,1978-09-11,2,24.304,DEN,@,MIN,L 9-12,,,,,,,,,,,,,
30,1978,1978-09-17,3,24.310,DEN,,SDG,W 27-14,0,0,,0,0,0,,0,0,0,1,3,0
31,1978,1978-09-24,4,24.317,DEN,@,KAN,W 23-17,,,,,,,,,,,,,
32,1978,1978-10-01,5,24.324,DEN,,SEA,W 28-7,0,0,,0,0,0,,0,0,0,1,28,0
33,1978,1978-10-08,6,24.331,DEN,@,SDG,L 0-23,,,,,,,,,,,,,
34,1978,1978-10-16,7,24.339,DEN,,CHI,W 16-7,1,14,14.00,0,0,0,,0,0,0,2,0,0
35,1978,1978-10-22,8,24.345,DEN,@,BAL,L 6-7,,,,,,,,,,,,,
36,1978,1978-10-29,9,24.352,DEN,@,SEA,W 20-17,0,0,,0,0,0,,0,0,0,1,30,0
37,1978,1978-11-05,10,24.359,DEN,,NYJ,L 28-31,,,,,,,,,,,,,
38,1978,1978-11-12,11,25.001,DEN,@,CLE,W 19-7,,,,,,,,,,,,,
39,1978,1978-11-19,12,25.008,DEN,,GNB,W 16-3,,,,,,,,,,,,,
40,1978,1978-11-23,13,25.012,DEN,@,DET,L 14-17,,,,,,,,,,,,,
41,1978,1978-12-03,14,25.022,DEN,@,OAK,W 21-6,0,0,,0,0,0,,0,0,0,1,23,0
42,1978,1978-12-10,15,25.029,DEN,,KAN,W 24-3,,,,,,,,,,,,,
