ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-12-03,12,23.218,DEN,,SEA,L 20-23,*,10,21,47.62,143,2,2,62.3,3,22,6.81,4.43,4,10,2.50,0,,0,0,0.0,,
2,2006,2006-12-10,13,23.225,DEN,@,SDG,L 20-48,*,17,30,56.67,188,2,0,97.6,4,22,6.27,7.60,1,0,0.00,0,,0,0,0.0,,
3,2006,2006-12-17,14,23.232,DEN,@,ARI,W 37-20,*,21,31,67.74,261,2,1,101.7,1,5,8.42,8.26,3,10,3.33,0,,0,0,0.0,,
4,2006,2006-12-24,15,23.239,DEN,,CIN,W 24-23,*,12,23,52.17,179,2,1,88.9,3,19,7.78,7.57,2,-1,-0.50,0,,0,0,0.0,,
5,2006,2006-12-31,16,23.246,DEN,,SFO,L 23-26,*,21,32,65.63,230,1,1,84.1,2,17,7.19,6.41,2,-1,-0.50,0,,0,0,0.0,,
6,2007,2007-09-09,1,24.133,DEN,@,BUF,W 15-14,*,23,39,58.97,304,1,1,81.6,1,5,7.79,7.15,4,18,4.50,0,,0,0,0.0,,
7,2007,2007-09-16,2,24.140,DEN,,OAK,W 23-20,*,23,33,69.70,269,1,2,79.0,2,9,8.15,6.03,2,-2,-1.00,0,,0,0,0.0,,
8,2007,2007-09-23,3,24.147,DEN,,JAX,L 14-23,*,16,23,69.57,222,1,1,96.6,1,4,9.65,8.57,2,-1,-0.50,0,,0,0,0.0,,
9,2007,2007-09-30,4,24.154,DEN,@,IND,L 20-38,*,13,21,61.90,131,1,1,75.7,1,0,6.24,5.05,2,11,5.50,1,,1,6,0.0,,
10,2007,2007-10-07,5,24.161,DEN,,SDG,L 3-41,*,23,36,63.89,232,0,1,70.6,1,8,6.44,5.19,3,7,2.33,0,,0,0,0.0,,
11,2007,2007-10-21,6,24.175,DEN,,PIT,W 31-28,*,22,29,75.86,248,3,2,106.7,2,14,8.55,7.52,3,41,13.67,0,,0,0,0.0,,
12,2007,2007-10-29,7,24.183,DEN,,GNB,L 13-19,*,21,34,61.76,264,1,0,95.7,2,17,7.76,8.35,3,7,2.33,0,,0,0,0.0,,
13,2007,2007-11-04,8,24.189,DEN,@,DET,L 7-44,*,3,4,75.00,20,0,0,85.4,2,13,5.00,5.00,0,0,,0,,0,0,0.0,,
14,2007,2007-11-11,9,24.196,DEN,@,KAN,W 27-11,*,17,29,58.62,192,1,1,75.6,1,6,6.62,5.76,3,21,7.00,0,,0,0,0.0,,
15,2007,2007-11-19,10,24.204,DEN,,TEN,W 34-20,*,16,21,76.19,200,2,0,137.0,1,7,9.52,11.43,4,7,1.75,0,,0,0,0.0,,
