ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks
1,2001,2001-11-05,7,21.352,OAK,,DEN,W 38-28,,
2,2001,2001-11-11,8,21.358,OAK,@,SEA,L 27-34,,
3,2002,2002-09-08,1,22.294,OAK,,SEA,W 31-17,,
4,2002,2002-09-15,2,22.301,OAK,@,PIT,W 30-17,*,
5,2002,2002-09-29,3,22.315,OAK,,TEN,W 52-25,*,
6,2002,2002-10-06,4,22.322,OAK,@,BUF,W 49-31,*,1.0
7,2002,2002-10-13,5,22.329,OAK,@,STL,L 13-28,,1.0
8,2002,2002-10-20,6,22.336,OAK,,SDG,L 21-27,*,
9,2002,2002-10-27,7,22.343,OAK,@,KAN,L 10-20,*,
10,2002,2002-11-03,8,22.350,OAK,,SFO,L 20-23,*,
11,2002,2002-11-11,9,22.358,OAK,@,DEN,W 34-10,*,
12,2002,2002-11-17,10,22.364,OAK,,NWE,W 27-20,*,1.0
13,2002,2002-11-24,11,23.006,OAK,@,ARI,W 41-20,*,
14,2002,2002-12-02,12,23.014,OAK,,NYJ,W 26-20,*,
15,2002,2002-12-08,13,23.020,OAK,@,SDG,W 27-7,*,
16,2002,2002-12-15,14,23.027,OAK,@,MIA,L 17-23,*,
17,2002,2002-12-22,15,23.034,OAK,,DEN,W 28-16,*,
18,2002,2002-12-28,16,23.040,OAK,,KAN,W 24-0,*,
19,2003,2003-09-07,1,23.293,OAK,@,TEN,L 20-25,*,
20,2003,2003-09-14,2,23.300,OAK,,CIN,W 23-20,*,
21,2003,2003-09-22,3,23.308,OAK,@,DEN,L 10-31,*,
22,2003,2003-09-28,4,23.314,OAK,,SDG,W 34-31,,
23,2003,2003-10-12,6,23.328,OAK,@,CLE,L 7-13,,
24,2003,2003-10-20,7,23.336,OAK,,KAN,L 10-17,,1.0
25,2003,2003-11-02,8,23.349,OAK,@,DET,L 13-23,,
26,2003,2003-11-09,9,23.356,OAK,,NYJ,L 24-27,,
27,2003,2003-11-16,10,23.363,OAK,,MIN,W 28-18,,
28,2003,2003-11-23,11,24.005,OAK,@,KAN,L 24-27,*,
29,2003,2003-11-30,12,24.012,OAK,,DEN,L 8-22,,
30,2003,2003-12-07,13,24.019,OAK,@,PIT,L 7-27,,
31,2003,2003-12-14,14,24.026,OAK,,BAL,W 20-12,,
32,2004,2004-09-12,1,24.299,OAK,@,PIT,L 21-24,*,
33,2004,2004-09-19,2,24.306,OAK,,BUF,W 13-10,*,2.0
34,2004,2004-09-26,3,24.313,OAK,,TAM,W 30-20,*,
35,2004,2004-10-03,4,24.320,OAK,@,HOU,L 17-30,*,
36,2004,2004-10-10,5,24.327,OAK,@,IND,L 14-35,*,
37,2004,2004-10-17,6,24.334,OAK,,DEN,L 3-31,*,
38,2004,2004-10-24,7,24.341,OAK,,NOR,L 26-31,*,
39,2004,2004-10-31,8,24.348,OAK,@,SDG,L 14-42,*,
40,2004,2004-11-07,9,24.355,OAK,@,CAR,W 27-24,*,
41,2005,2005-09-08,1,25.294,OAK,@,NWE,L 20-30,,
42,2005,2005-09-18,2,25.304,OAK,,KAN,L 17-23,,
43,2005,2005-09-25,3,25.311,OAK,@,PHI,L 20-23,,1.0
44,2005,2005-10-02,4,25.318,OAK,,DAL,W 19-13,,
45,2005,2005-10-16,5,25.332,OAK,,SDG,L 14-27,,
46,2005,2005-11-27,11,26.009,OAK,,MIA,L 21-33,,
47,2005,2005-12-04,12,26.016,OAK,@,SDG,L 10-34,,
48,2005,2005-12-24,15,26.036,OAK,@,DEN,L 3-22,,
49,2005,2005-12-31,16,26.043,OAK,,NYG,L 21-30,,
